13:21; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SX (N/m^2)
26  ;0  ;0  ;1  ;1,58458e+04
44  ;-10  ;0  ;1  ;1,53111e+04
151  ;0  ;10  ;1  ;1,48993e+04
267  ;-10  ;10  ;1  ;1,48113e+04
291  ;-8,48424  ;10  ;0,869364  ;9,09228e+03
290  ;-6,5  ;10  ;0,866025  ;8,20664e+03
288  ;-5,5  ;10  ;0,866025  ;8,06832e+03
49  ;-4,5  ;0  ;0,866025  ;7,80485e+03
74  ;-6,5  ;0  ;0,866025  ;7,55471e+03
284  ;-1,51671  ;10  ;0,86941  ;7,47419e+03
53  ;-7,5  ;0  ;0,866025  ;7,00943e+03
287  ;-4,5  ;10  ;0,866025  ;6,92857e+03
57  ;-3,5  ;0  ;0,866025  ;6,67378e+03
59  ;-1,39548  ;0  ;0,85933  ;6,50195e+03
58  ;-2,4898  ;0  ;0,872178  ;6,42509e+03
286  ;-3,5  ;10  ;0,866025  ;6,39811e+03
285  ;-2,47125  ;10  ;0,909964  ;6,16983e+03
282  ;-7,52923  ;10  ;0,909966  ;6,05803e+03
7679  ;-0,378856  ;9,6301  ;0,8892  ;6,00382e+03
61  ;-8,47037  ;0  ;0,844334  ;5,79959e+03
2277  ;-9,64601  ;0,417622  ;0,866678  ;4,74377e+03
6223  ;-2,98562  ;10  ;0,887995  ;4,60137e+03
5846  ;-8,79407  ;0  ;1,11732  ;4,54836e+03
9838  ;-0,697738  ;0  ;0,929665  ;4,48504e+03
55  ;-5,5  ;0  ;0,866025  ;4,46521e+03
3655  ;-4  ;10  ;0,866025  ;4,37616e+03
6229  ;-1,18799  ;10  ;1,13247  ;4,37284e+03
6485  ;-9,57043  ;10  ;1,19783  ;4,33742e+03
9520  ;-0,434674  ;0  ;1,25845  ;4,08235e+03
3505  ;-1,99398  ;10  ;0,889687  ;4,00965e+03
5487  ;-9,55888  ;0  ;1,19515  ;3,90722e+03
10480  ;-4,25  ;0  ;1,29904  ;3,78594e+03
7676  ;-0,429637  ;10  ;1,19776  ;3,75554e+03
11126  ;-4  ;0  ;0,866025  ;3,51413e+03
6487  ;-10  ;9,57036  ;1,19776  ;3,25294e+03
2427  ;-5,75  ;10  ;1,29904  ;3,12373e+03
6241  ;-3,75  ;10  ;1,29904  ;3,02675e+03
10311  ;-8,81256  ;10  ;1,13251  ;2,95786e+03
6054  ;-6,76434  ;10  ;1,30246  ;2,94246e+03
3649  ;-1,13241  ;0  ;1,18812  ;2,89438e+03
4209  ;-4,25  ;10  ;1,29904  ;2,83688e+03
10653  ;-3,75  ;0  ;1,29904  ;2,74510e+03
6484  ;-10  ;10  ;1,5  ;2,53740e+03
6059  ;-5,25  ;10  ;1,29904  ;2,46009e+03
6921  ;-5,7521  ;4,99108  ;10  ;2,44489e+03
561  ;-5,14457  ;4,98301  ;10  ;2,42823e+03
10663  ;-4,39925  ;4,97532  ;10  ;2,42109e+03
9012  ;-4,77756  ;4,67826  ;10  ;2,41776e+03
7269  ;-4,76626  ;5,28007  ;10  ;2,41632e+03
6922  ;-5,36714  ;4,62068  ;10  ;2,40401e+03
7270  ;-5,35756  ;5,35594  ;10  ;2,39767e+03
7271  ;-4,97926  ;5,653  ;10  ;2,37586e+03
6520  ;-5,00013  ;4,31593  ;10  ;2,37306e+03
8519  ;-3,95217  ;5,28517  ;10  ;2,36767e+03
10662  ;-3,96346  ;4,68336  ;10  ;2,36042e+03
6923  ;-5,97466  ;4,62874  ;10  ;2,35165e+03
8570  ;-5,96509  ;5,364  ;10  ;2,35164e+03
553  ;-6,35962  ;4,99914  ;10  ;2,34291e+03
559  ;-4,38796  ;5,57713  ;10  ;2,34130e+03
45  ;-9,11776  ;0  ;1,3903  ;2,33757e+03
558  ;-4,41055  ;4,37351  ;10  ;2,33514e+03
9523  ;0  ;0,429637  ;1,19776  ;2,32613e+03
555  ;-3,51637  ;4,99321  ;10  ;2,32154e+03
9655  ;-8,73722  ;9,74703  ;0,869387  ;2,30391e+03
557  ;-5,5897  ;4,25835  ;10  ;2,29110e+03
560  ;-5,57055  ;5,72886  ;10  ;2,28879e+03
