13:21; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SX (N/m^2)
9203  ;-6,83588  ;5,26887  ;10  ;2,24607e+03
8002  ;-6,83596  ;4,73115  ;10  ;2,23717e+03
11239  ;-3,09265  ;4,72301  ;10  ;2,23622e+03
8003  ;-6,33634  ;4,33918  ;10  ;2,23435e+03
9202  ;-6,33444  ;5,65902  ;10  ;2,23417e+03
4810  ;-3,09296  ;5,27033  ;10  ;2,23353e+03
10671  ;-3,60145  ;4,33902  ;10  ;2,23112e+03
8518  ;-3,60266  ;5,65246  ;10  ;2,23075e+03
8249  ;-4,03846  ;5,94442  ;10  ;2,19102e+03
7737  ;-4,69109  ;6,04773  ;10  ;2,18351e+03
7526  ;-4,04854  ;4,02917  ;10  ;2,18173e+03
6521  ;-4,70477  ;3,92344  ;10  ;2,17821e+03
10380  ;-7,31223  ;5,00088  ;10  ;2,16859e+03
60  ;-0,869348  ;0  ;1,5169  ;2,16675e+03
11240  ;-2,66924  ;5,00013  ;10  ;2,16551e+03
8155  ;-5,95139  ;3,96878  ;10  ;2,16272e+03
10929  ;-6,25  ;0  ;1,29904  ;2,15652e+03
9162  ;-5,93991  ;6,02388  ;10  ;2,15587e+03
8261  ;-5,28239  ;6,1236  ;10  ;2,15154e+03
6519  ;-5,29435  ;3,86586  ;10  ;2,15115e+03
546  ;-7,31214  ;5,53859  ;10  ;2,10150e+03
536  ;-2,66892  ;4,45281  ;10  ;2,09943e+03
538  ;-2,66955  ;5,54745  ;10  ;2,09858e+03
547  ;-7,31231  ;4,46317  ;10  ;2,08410e+03
10381  ;-7,79013  ;4,73158  ;10  ;2,08010e+03
9117  ;-3,17772  ;4,06882  ;10  ;2,07247e+03
9201  ;-6,8107  ;5,92875  ;10  ;2,07068e+03
10604  ;-3,17925  ;5,92959  ;10  ;2,06628e+03
8004  ;-6,81269  ;4,07119  ;10  ;2,05738e+03
9598  ;-2,20049  ;4,72641  ;10  ;2,05166e+03
308  ;-0,859274  ;10  ;1,39553  ;2,04757e+03
2403  ;-2,2008  ;5,27373  ;10  ;2,04402e+03
10670  ;-4,837  ;4,97938  ;9,67952  ;2,04181e+03
9013  ;-5,13658  ;4,67151  ;9,6965  ;2,03261e+03
10379  ;-7,79005  ;5,2693  ;10  ;2,03172e+03
6925  ;-5,42405  ;4,96538  ;9,6628  ;2,02848e+03
10666  ;-4,45869  ;5,27644  ;9,67952  ;2,01161e+03
6821  ;-4,34159  ;6,41503  ;10  ;2,00982e+03
10665  ;-4,46998  ;4,67463  ;9,67952  ;2,00842e+03
8631  ;-5,65174  ;6,41862  ;10  ;2,00697e+03
9519  ;0  ;0  ;1,5  ;2,00372e+03
6776  ;-5,65603  ;3,57629  ;10  ;2,00362e+03
9034  ;-4,34276  ;3,5791  ;10  ;1,99958e+03
6523  ;-4,76957  ;4,36676  ;9,6965  ;1,99942e+03
10664  ;-4,0229  ;4,98448  ;9,67952  ;1,99802e+03
6924  ;-6,03157  ;4,97344  ;9,6628  ;1,98766e+03
550  ;-3,68895  ;6,31172  ;10  ;1,98128e+03
551  ;-3,68652  ;3,68483  ;10  ;1,98126e+03
508  ;-8,26795  ;5  ;10  ;1,97664e+03
6522  ;-5,35914  ;4,30918  ;9,6965  ;1,97640e+03
552  ;-6,31307  ;3,67921  ;10  ;1,97570e+03
8571  ;-5,63704  ;5,3383  ;9,6628  ;1,96623e+03
520  ;-1,73205  ;5  ;10  ;1,96610e+03
6926  ;-5,64662  ;4,60304  ;9,6628  ;1,96372e+03
9720  ;-7,79005  ;5,7693  ;10  ;1,96200e+03
549  ;-6,30926  ;6,3189  ;10  ;1,95744e+03
7273  ;-5,15281  ;5,33667  ;9,62215  ;1,95693e+03
9597  ;-2,20049  ;4,22641  ;10  ;1,95618e+03
2404  ;-2,2008  ;5,77373  ;10  ;1,95610e+03
556  ;-4,999  ;3,47337  ;10  ;1,95109e+03
2428  ;-6,25  ;10  ;1,29904  ;1,94872e+03
554  ;-4,99422  ;6,51834  ;10  ;1,94766e+03
9719  ;-7,33187  ;6,02888  ;10  ;1,93479e+03
8788  ;-7,33613  ;3,97232  ;10  ;1,93434e+03
9238  ;-2,65443  ;3,96756  ;10  ;1,93376e+03
10372  ;-8,26795  ;5,5  ;10  ;1,93219e+03
8787  ;-7,79013  ;4,23158  ;10  ;1,92994e+03
8236  ;-2,65856  ;6,04181  ;10  ;1,92893e+03
3706  ;-8,26795  ;4,5  ;10  ;1,92693e+03
5020  ;-1,73205  ;4,5  ;10  ;1,92666e+03
9206  ;-6,26648  ;5,34473  ;9,64352  ;1,92567e+03
95  ;-4  ;0  ;1,73205  ;1,92448e+03
8826  ;-8,70096  ;5,25  ;10  ;1,92416e+03
2402  ;-1,73205  ;5,5  ;10  ;1,92382e+03
6741  ;-1,29904  ;5,25  ;10  ;1,92289e+03
7272  ;-4,7745  ;5,63373  ;9,62215  ;1,92144e+03
10672  ;-3,67828  ;4,68437  ;9,63866  ;1,92013e+03
8005  ;-6,33156  ;4,63903  ;9,64298  ;1,91409e+03
4811  ;-3,60244  ;5,28273  ;9,63232  ;1,91031e+03
7529  ;-4,12537  ;4,37452  ;9,63866  ;1,90616e+03
11034  ;-6,67774  ;5,03126  ;9,64667  ;1,90276e+03
7274  ;-5,3658  ;5,7096  ;9,62215  ;1,90263e+03
5021  ;-1,29904  ;4,75  ;10  ;1,90187e+03
8521  ;-4,03823  ;5,57469  ;9,63232  ;1,90071e+03
4813  ;-3,22236  ;4,96879  ;9,66008  ;1,89021e+03
9309  ;-5,87195  ;5,70959  ;9,64352  ;1,88886e+03
8099  ;-5,9466  ;4,26863  ;9,64298  ;1,87746e+03
8827  ;-8,70096  ;4,75  ;10  ;1,87668e+03
5388  ;-3,16323  ;3,58357  ;10  ;1,86200e+03
6742  ;-0,866025  ;5  ;10  ;1,86172e+03
10136  ;-6,83651  ;3,58035  ;10  ;1,86063e+03
7525  ;-4,42367  ;4,0767  ;9,64061  ;1,85513e+03
8821  ;-9,13398  ;5  ;10  ;1,85487e+03
7260  ;-2,7449  ;0  ;1,30211  ;1,84410e+03
11082  ;-3,16827  ;6,42395  ;10  ;1,83368e+03
10377  ;-6,83043  ;6,41903  ;10  ;1,83345e+03
1824  ;-5,06379  ;3,91669  ;9,6965  ;1,82966e+03
7739  ;-4,38343  ;5,97009  ;9,63038  ;1,82863e+03
501  ;-9,13398  ;4,5  ;10  ;1,82611e+03
8820  ;-9,56699  ;5,25  ;10  ;1,82581e+03
6260  ;-0,433013  ;5,25  ;10  ;1,82207e+03
8822  ;-9,56699  ;4,75  ;10  ;1,82172e+03
9118  ;-3,25455  ;4,41417  ;9,63866  ;1,82081e+03
4558  ;-2,79895  ;5,24591  ;9,66008  ;1,82024e+03
6682  ;-0,433013  ;4,75  ;10  ;1,81986e+03
10494  ;-2,79863  ;4,69859  ;9,66008  ;1,81940e+03
9204  ;-6,74274  ;5,61445  ;9,64352  ;1,81777e+03
10118  ;-8,70096  ;4,25  ;10  ;1,81730e+03
490  ;-0,866025  ;5,5  ;10  ;1,81604e+03
9656  ;-7,154  ;5,30098  ;9,64667  ;1,81508e+03
500  ;-9,13398  ;5,5  ;10  ;1,81254e+03
484  ;-0,866025  ;4,5  ;10  ;1,80872e+03
4812  ;-3,17902  ;5,55985  ;9,63232  ;1,80850e+03
6765  ;-6,8079  ;4,37105  ;9,64298  ;1,80748e+03
10606  ;-5,59567  ;3,94669  ;9,64234  ;1,80552e+03
6764  ;-7,15408  ;4,76327  ;9,64667  ;1,80453e+03
5019  ;-1,29904  ;4,25  ;10  ;1,80342e+03
7261  ;-2,9949  ;0  ;0,869102  ;1,77799e+03
10371  ;-8,70096  ;5,75  ;10  ;1,77545e+03
5796  ;-1,29904  ;5,75  ;10  ;1,77535e+03
518  ;-1,73205  ;6  ;10  ;1,77410e+03
507  ;-8,26795  ;4  ;10  ;1,77236e+03
7527  ;-3,76335  ;4,03018  ;9,63866  ;1,76666e+03
4615  ;-2,3302  ;4,97218  ;9,66008  ;1,76444e+03
521  ;-1,73205  ;4  ;10  ;1,76149e+03
9205  ;-6,2413  ;6,00461  ;9,64352  ;1,76079e+03
8520  ;-3,68873  ;5,94198  ;9,63232  ;1,75855e+03
8789  ;-7,81395  ;3,74074  ;10  ;1,75480e+03
509  ;-8,26795  ;6  ;10  ;1,75372e+03
379  ;-10  ;5  ;10  ;1,75243e+03
7738  ;-5,07763  ;6,10433  ;9,62215  ;1,74937e+03
8006  ;-6,30828  ;3,97907  ;9,64298  ;1,74923e+03
156  ;0  ;5  ;10  ;1,74824e+03
9163  ;-5,56252  ;6,13848  ;9,60184  ;1,73921e+03
6556  ;-9,56699  ;4,25  ;10  ;1,73531e+03
11348  ;-5,11647  ;4,96174  ;9,34231  ;1,73397e+03
9658  ;-7,17381  ;5,80826  ;9,65001  ;1,73355e+03
10382  ;-7,62052  ;5,07137  ;9,62409  ;1,73319e+03
10866  ;-2,186  ;3,74115  ;10  ;1,72762e+03
9116  ;-2,83695  ;4,15821  ;9,64802  ;1,72094e+03
1532  ;-4,52942  ;4,97575  ;9,35904  ;1,71959e+03
6261  ;-0,433013  ;5,75  ;10  ;1,71888e+03
8237  ;-2,18981  ;6,26809  ;10  ;1,71821e+03
4867  ;-7,6206  ;4,53366  ;9,62409  ;1,71761e+03
10536  ;-4,829  ;4,66788  ;9,37602  ;1,71722e+03
9086  ;-0,433013  ;4,25  ;10  ;1,71519e+03
4559  ;-2,82965  ;5,84266  ;9,63561  ;1,71510e+03
9132  ;-7,80977  ;6,25958  ;10  ;1,71393e+03
9313  ;-9,56699  ;5,75  ;10  ;1,71115e+03
7524  ;-4,06166  ;3,73236  ;9,64061  ;1,70954e+03
10100  ;-10  ;4,5  ;10  ;1,70548e+03
10863  ;0  ;4,5  ;10  ;1,70509e+03
6257  ;0  ;5,5  ;10  ;1,70321e+03
9310  ;-10  ;5,5  ;10  ;1,69786e+03
1825  ;-4,71789  ;3,62663  ;9,64061  ;1,69750e+03
6820  ;-4,07159  ;6,82595  ;10  ;1,69739e+03
6850  ;-5,41606  ;4,65387  ;9,3593  ;1,69522e+03
6299  ;-5,92731  ;6,82968  ;10  ;1,69019e+03
6775  ;-5,93027  ;3,1699  ;10  ;1,68916e+03
535  ;-2,63994  ;3,4823  ;10  ;1,68907e+03
545  ;-7,3516  ;6,51916  ;10  ;1,68610e+03
678  ;-5,12858  ;4,36001  ;9,393  ;1,68383e+03
5411  ;-4,07091  ;3,17281  ;10  ;1,68182e+03
539  ;-2,64758  ;6,53618  ;10  ;1,67616e+03
548  ;-7,35995  ;3,48148  ;10  ;1,67522e+03
6777  ;-5,95735  ;3,65713  ;9,64234  ;1,67510e+03
3707  ;-8,09842  ;4,80208  ;9,62409  ;1,67407e+03
6824  ;-4,03393  ;6,33738  ;9,63038  ;1,67308e+03
9599  ;-2,33103  ;4,35135  ;9,6014  ;1,67214e+03
1364  ;-5,70353  ;4,94774  ;9,32559  ;1,67184e+03
5391  ;-3,34575  ;3,77422  ;9,64802  ;1,67019e+03
1646  ;-5,30031  ;3,55421  ;9,64234  ;1,66813e+03
6822  ;-4,72423  ;6,92926  ;10  ;1,66771e+03
2407  ;-2,3475  ;5,62102  ;9,57686  ;1,66750e+03
1647  ;-5,27323  ;3,06698  ;10  ;1,66676e+03
8630  ;-5,26979  ;6,9294  ;10  ;1,66578e+03
6557  ;-9,13398  ;4  ;10  ;1,66413e+03
10375  ;-9,13398  ;6  ;10  ;1,66351e+03
9228  ;-7,25124  ;0,288726  ;1,01066  ;1,66155e+03
9085  ;-0,866025  ;4  ;10  ;1,66103e+03
5795  ;-0,866025  ;6  ;10  ;1,65745e+03
8574  ;-7,06001  ;3,90817  ;9,66714  ;1,65587e+03
9963  ;-4,84523  ;5,33304  ;9,30166  ;1,65579e+03
6825  ;-4,68656  ;6,44069  ;9,63038  ;1,65506e+03
9014  ;-4,72715  ;3,06708  ;10  ;1,65486e+03
9136  ;-4,1848  ;4,67564  ;9,31818  ;1,65447e+03
10695  ;-6,67237  ;6,19842  ;9,65001  ;1,65305e+03
10185  ;-5,71604  ;4,31946  ;9,33948  ;1,64966e+03
9722  ;-7,64133  ;5,63308  ;9,54931  ;1,64901e+03
8178  ;-6,34969  ;5,00556  ;9,30947  ;1,64667e+03
3741  ;-8,51656  ;5,11692  ;9,62833  ;1,64645e+03
6857  ;-4,10896  ;5,274  ;9,31184  ;1,64498e+03
324  ;-4  ;10  ;1,73205  ;1,64381e+03
11141  ;-3,58451  ;6,83171  ;10  ;1,64328e+03
11071  ;-3,33936  ;6,22479  ;9,63561  ;1,64200e+03
6300  ;-6,42298  ;6,83588  ;10  ;1,63764e+03
8629  ;-5,43229  ;5,31903  ;9,28494  ;1,63725e+03
5387  ;-3,57496  ;3,16606  ;10  ;1,63587e+03
9703  ;-6,42409  ;3,1631  ;10  ;1,63532e+03
10605  ;-4,48311  ;4,37782  ;9,32013  ;1,63104e+03
8181  ;-5,93844  ;5,31902  ;9,30632  ;1,62991e+03
5024  ;-1,86259  ;4,62494  ;9,6014  ;1,62693e+03
4870  ;-7,6117  ;4,07375  ;9,63226  ;1,62650e+03
6743  ;-1,37974  ;5,04839  ;9,62508  ;1,62563e+03
7407  ;-6,00351  ;4,61333  ;9,30578  ;1,61941e+03
5797  ;-1,29904  ;6,25  ;10  ;1,61771e+03
6976  ;-5,93187  ;6,4335  ;9,60184  ;1,61493e+03
10524  ;-3,76434  ;4,97389  ;9,27098  ;1,61182e+03
9962  ;-4,45416  ;5,6694  ;9,3099  ;1,61155e+03
2406  ;-1,87875  ;5,34729  ;9,57686  ;1,60941e+03
8633  ;-5,27435  ;6,53322  ;9,60184  ;1,59676e+03
10119  ;-8,70096  ;3,75  ;10  ;1,59628e+03
10723  ;-8,11923  ;5,36378  ;9,54931  ;1,59535e+03
10169  ;-5,66719  ;5,69032  ;9,26567  ;1,59142e+03
8573  ;-6,56039  ;3,51619  ;9,66714  ;1,59131e+03
8964  ;-1,29904  ;3,75  ;10  ;1,58983e+03
3710  ;-8,66098  ;4,54687  ;9,6253  ;1,58599e+03
1681  ;-4,78269  ;4,06995  ;9,33711  ;1,58094e+03
5403  ;-3,38427  ;4,65995  ;9,29874  ;1,58037e+03
3708  ;-8,09842  ;4,30208  ;9,62409  ;1,58024e+03
10374  ;-8,70096  ;6,25  ;10  ;1,57680e+03
4814  ;-3,30842  ;5,25831  ;9,2924  ;1,57011e+03
1294  ;-2,92835  ;4,94437  ;9,32016  ;1,56593e+03
380  ;-10  ;4  ;10  ;1,56589e+03
1404  ;-3,84018  ;4,37554  ;9,27732  ;1,56538e+03
8825  ;-8,94958  ;4,86691  ;9,62833  ;1,56288e+03
8180  ;-6,5846  ;5,37684  ;9,29019  ;1,56109e+03
1680  ;-5,36511  ;3,99752  ;9,33884  ;1,56063e+03
157  ;0  ;6  ;10  ;1,56051e+03
6767  ;-6,64967  ;4,67115  ;9,28965  ;1,55958e+03
10373  ;-8,51656  ;5,61692  ;9,62833  ;1,55911e+03
8824  ;-8,94958  ;5,36691  ;9,62833  ;1,55533e+03
4869  ;-7,37123  ;4,2271  ;9,38183  ;1,55255e+03
7535  ;-1,37974  ;5,54839  ;9,62508  ;1,55182e+03
1362  ;-5,16105  ;5,69033  ;9,24429  ;1,55147e+03
155  ;0  ;4  ;10  ;1,55125e+03
6744  ;-0,946729  ;5,29839  ;9,62508  ;1,55024e+03
1341  ;-6,99585  ;5,06338  ;9,29334  ;1,54946e+03
5022  ;-1,42958  ;4,37494  ;9,6014  ;1,54751e+03
5392  ;-2,82246  ;3,67295  ;9,64802  ;1,54707e+03
378  ;-10  ;6  ;10  ;1,54641e+03
6060  ;-5  ;10  ;0,866025  ;1,54452e+03
1589  ;-6,17334  ;5,69031  ;9,28705  ;1,54385e+03
10694  ;-7,19354  ;6,29855  ;9,65001  ;1,54324e+03
6685  ;-0,946729  ;4,79839  ;9,62508  ;1,53973e+03
1110  ;-3,6885  ;5,57225  ;9,26464  ;1,53925e+03
1522  ;-6,30349  ;4,27892  ;9,28596  ;1,53858e+03
2405  ;-1,87875  ;5,84729  ;9,57686  ;1,53647e+03
9327  ;-8,26795  ;3,5  ;10  ;1,53624e+03
5023  ;-1,86259  ;4,12494  ;9,6014  ;1,53601e+03
6660  ;-1,73544  ;6,51434  ;10  ;1,53164e+03
8963  ;-1,73205  ;3,5  ;10  ;1,53162e+03
11070  ;-3,72546  ;6,62827  ;9,64351  ;1,53106e+03
8823  ;-9,38259  ;5,11692  ;9,62833  ;1,53084e+03
9131  ;-8,26795  ;6,5  ;10  ;1,52878e+03
11274  ;-0,433013  ;6,25  ;10  ;1,52705e+03
6558  ;-9,56699  ;3,75  ;10  ;1,52660e+03
5399  ;-2,96666  ;4,40398  ;9,3081  ;1,52362e+03
10826  ;-2,81867  ;6,33702  ;9,63561  ;1,52304e+03
7528  ;-4,13849  ;4,07771  ;9,27927  ;1,52204e+03
6683  ;-0,513716  ;5,04839  ;9,62508  ;1,51950e+03
9084  ;-0,433013  ;3,75  ;10  ;1,51935e+03
8214  ;-8,11923  ;5,86378  ;9,54931  ;1,51917e+03
8239  ;-6,2389  ;3,34472  ;9,63743  ;1,51753e+03
4561  ;-2,95905  ;5,54111  ;9,29569  ;1,51752e+03
5414  ;-3,75205  ;3,35345  ;9,62576  ;1,51584e+03
9323  ;-9,56699  ;6,25  ;10  ;1,51362e+03
9657  ;-7,01567  ;5,57066  ;9,29668  ;1,51166e+03
10867  ;-2,31653  ;3,86609  ;9,6014  ;1,50984e+03
6560  ;-9,094  ;4,29687  ;9,6253  ;1,50557e+03
7259  ;-3,25  ;0  ;1,29904  ;1,50507e+03
5488  ;-10  ;0  ;1,5  ;1,50327e+03
4840  ;-1,98213  ;4,98478  ;9,29213  ;1,50314e+03
10188  ;-6,94416  ;6,93601  ;10  ;1,49808e+03
6303  ;-6,21028  ;6,69562  ;9,65763  ;1,49728e+03
8238  ;-2,33651  ;6,11538  ;9,57686  ;1,49627e+03
9586  ;0  ;10  ;1,5  ;1,49517e+03
1650  ;-5,06753  ;3,16561  ;9,66653  ;1,49511e+03
8790  ;-8,08952  ;3,84217  ;9,63226  ;1,48957e+03
7389  ;-5,95256  ;3,95698  ;9,28532  ;1,48928e+03
5402  ;-3,42258  ;4,11957  ;9,28668  ;1,48880e+03
11284  ;-3,06382  ;6,94394  ;10  ;1,48775e+03
4998  ;-4,76998  ;6,02669  ;9,25253  ;1,48756e+03
9033  ;-4,0337  ;5,96765  ;9,2627  ;1,48602e+03
5389  ;-3,05167  ;3,06479  ;10  ;1,48571e+03
5607  ;-6,94753  ;3,06423  ;10  ;1,48516e+03
9721  ;-7,66105  ;6,12336  ;9,54931  ;1,48433e+03
3709  ;-8,66098  ;4,04687  ;9,6253  ;1,48410e+03
1828  ;-7,80977  ;6,75958  ;10  ;1,48102e+03
7405  ;-4,54509  ;4,75623  ;9,07145  ;1,48035e+03
9659  ;-6,60441  ;5,88412  ;9,29354  ;1,47784e+03
6732  ;-2,186  ;3,24115  ;10  ;1,47455e+03
9332  ;-7,46237  ;4,83377  ;9,27076  ;1,47321e+03
6550  ;-1,89008  ;3,73212  ;9,69173  ;1,47191e+03
8699  ;-2,1932  ;6,78243  ;10  ;1,46719e+03
6977  ;-6,2341  ;6,35899  ;9,34613  ;1,46710e+03
9487  ;-3,33913  ;5,85505  ;9,26793  ;1,46704e+03
7380  ;-4,84467  ;4,44836  ;9,08843  ;1,46454e+03
1682  ;-5,01921  ;3,70747  ;9,28295  ;1,46448e+03
10137  ;-7,08382  ;3,41733  ;9,66714  ;1,46351e+03
679  ;-4,43679  ;3,77989  ;9,28123  ;1,45966e+03
7404  ;-4,75018  ;4,94134  ;9,01247  ;1,45555e+03
9514  ;-4,44604  ;3,22034  ;9,64061  ;1,45547e+03
9328  ;-7,81395  ;3,24074  ;10  ;1,45230e+03
10587  ;-2,46074  ;4,59712  ;9,26148  ;1,45036e+03
10103  ;-9,56699  ;4,5  ;9,56699  ;1,44922e+03
4557  ;-2,4769  ;5,31948  ;9,23694  ;1,44751e+03
5799  ;-1,01051  ;5,83622  ;9,56059  ;1,44430e+03
6262  ;-0,433013  ;5,5  ;9,56699  ;1,44190e+03
11005  ;-4,97365  ;6,91169  ;9,66343  ;1,44058e+03
6848  ;-5,04977  ;4,63346  ;9,02945  ;1,44056e+03
6735  ;-2,34403  ;3,47327  ;9,69173  ;1,44047e+03
502  ;-9,13398  ;3,5  ;10  ;1,43858e+03
5800  ;-1,44353  ;6,08622  ;9,56059  ;1,43749e+03
487  ;-0,866025  ;6,5  ;10  ;1,43732e+03
8791  ;-7,63551  ;3,58291  ;9,63226  ;1,43658e+03
6681  ;-0,433013  ;4,5  ;9,56699  ;1,43622e+03
499  ;-9,13398  ;6,5  ;10  ;1,43565e+03
6860  ;-5,35776  ;6,11922  ;9,22398  ;1,43547e+03
9314  ;-9,56699  ;5,5  ;9,56699  ;1,43329e+03
5003  ;-5,33724  ;4,92733  ;8,99575  ;1,43314e+03
11395  ;-7,48318  ;5,39547  ;9,19598  ;1,43020e+03
483  ;-0,866025  ;3,5  ;10  ;1,42772e+03
9308  ;-5,86391  ;6,1192  ;9,24536  ;1,42556e+03
7818  ;-6,5556  ;3,81605  ;9,31012  ;1,42343e+03
6859  ;-4,26937  ;4,88862  ;8,97988  ;1,41720e+03
11072  ;-3,68433  ;6,25045  ;9,26599  ;1,41373e+03
6858  ;-4,5735  ;5,22762  ;8,94503  ;1,41204e+03
1645  ;-5,57455  ;3,14782  ;9,64234  ;1,41182e+03
7406  ;-6,00569  ;4,98484  ;8,9841  ;1,41119e+03
8700  ;-1,95889  ;6,40051  ;9,67223  ;1,40966e+03
1514  ;-7,03548  ;6,07794  ;9,30002  ;1,40921e+03
1363  ;-4,37891  ;6,36305  ;9,26076  ;1,40571e+03
11083  ;-3,20477  ;6,7405  ;9,64351  ;1,40528e+03
7362  ;-4,20047  ;4,45612  ;9,03059  ;1,40486e+03
1140  ;-7,92889  ;4,60415  ;9,24818  ;1,40433e+03
663  ;-5,60163  ;3,63504  ;9,28468  ;1,40325e+03
6823  ;-4,41657  ;6,85162  ;9,63038  ;1,40292e+03
1827  ;-7,4096  ;6,9667  ;10  ;1,40238e+03
10378  ;-6,75916  ;6,81266  ;9,65987  ;1,40053e+03
1108  ;-3,00498  ;3,8636  ;9,29605  ;1,39829e+03
6731  ;-2,58617  ;3,03403  ;10  ;1,39528e+03
5606  ;-7,41278  ;3,03363  ;10  ;1,39442e+03
9089  ;-0,896549  ;4,17946  ;9,47421  ;1,39223e+03
5490  ;-10  ;0,441206  ;1,19503  ;1,39110e+03
10907  ;-3,82888  ;3,69881  ;9,26442  ;1,38991e+03
3742  ;-8,34703  ;4,91899  ;9,25242  ;1,38523e+03
5008  ;-5,066  ;5,29862  ;8,9551  ;1,38475e+03
10102  ;-10  ;4,75  ;9,56699  ;1,38392e+03
1295  ;-2,98976  ;6,13786  ;9,27122  ;1,38374e+03
7817  ;-6,23411  ;3,64458  ;9,28041  ;1,38370e+03
6559  ;-9,52701  ;4,04687  ;9,6253  ;1,38213e+03
10938  ;-4,96669  ;6,45557  ;9,23222  ;1,38152e+03
6680  ;0  ;4,75  ;9,56699  ;1,38130e+03
9311  ;-10  ;5,25  ;9,56699  ;1,38060e+03
