13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UZ (mm)
8796  ;-10  ;4  ;9,13398  ;-7,37073e-07
7775  ;-10  ;0,434705  ;8,74164  ;-7,37231e-07
402  ;-10  ;6,5  ;9,13398  ;-7,37259e-07
405  ;-10  ;3,5  ;9,13398  ;-7,37343e-07
1888  ;-10  ;9,55871  ;8,80471  ;-7,37371e-07
7776  ;-10  ;1,13247  ;8,81201  ;-7,37430e-07
9779  ;-10  ;8,79383  ;8,88239  ;-7,37586e-07
9261  ;-10  ;7  ;9,13398  ;-7,37671e-07
10345  ;-10  ;2,9949  ;9,1309  ;-7,37773e-07
10102  ;-10  ;4,75  ;9,56699  ;-7,38055e-07
9311  ;-10  ;5,25  ;9,56699  ;-7,38059e-07
409  ;-10  ;7,5  ;9,13398  ;-7,38091e-07
406  ;-10  ;2,4898  ;9,12782  ;-7,38189e-07
9312  ;-10  ;5,75  ;9,56699  ;-7,38241e-07
10101  ;-10  ;4,25  ;9,56699  ;-7,38309e-07
8078  ;-10  ;7,98511  ;9,14467  ;-7,38620e-07
259  ;-10  ;10  ;9  ;-7,38620e-07
9320  ;-10  ;6,25  ;9,56699  ;-7,38643e-07
10156  ;-10  ;3,75  ;9,56699  ;-7,38726e-07
11151  ;-10  ;1,94266  ;9,13427  ;-7,38787e-07
36  ;-10  ;0  ;9  ;-7,38826e-07
408  ;-10  ;8,47023  ;9,15537  ;-7,39018e-07
3239  ;-10  ;0,697764  ;9,07036  ;-7,39210e-07
407  ;-10  ;1,39553  ;9,14073  ;-7,39227e-07
9321  ;-10  ;6,75  ;9,56699  ;-7,39273e-07
7982  ;-10  ;3,25  ;9,56699  ;-7,39329e-07
379  ;-10  ;5  ;10  ;-7,39543e-07
9310  ;-10  ;5,5  ;10  ;-7,39746e-07
10100  ;-10  ;4,5  ;10  ;-7,39750e-07
8807  ;-10  ;7,25  ;9,56699  ;-7,39938e-07
10549  ;-10  ;2,7449  ;9,56391  ;-7,40032e-07
378  ;-10  ;6  ;10  ;-7,40170e-07
380  ;-10  ;4  ;10  ;-7,40184e-07
10893  ;-10  ;9,05871  ;9,30471  ;-7,40426e-07
8077  ;-10  ;7,75  ;9,56699  ;-7,40693e-07
10548  ;-10  ;2,2449  ;9,56391  ;-7,40847e-07
9319  ;-10  ;6,5  ;10  ;-7,40894e-07
10396  ;-10  ;3,5  ;10  ;-7,40987e-07
8075  ;-10  ;8,23511  ;9,57768  ;-7,41417e-07
10336  ;-10  ;1,69776  ;9,57036  ;-7,41642e-07
377  ;-10  ;7  ;10  ;-7,41763e-07
381  ;-10  ;3  ;10  ;-7,41924e-07
11057  ;-10  ;9,5  ;9,5  ;-7,41973e-07
10880  ;-10  ;10  ;9,5  ;-7,41993e-07
6657  ;-10  ;8,73511  ;9,57768  ;-7,42043e-07
3241  ;-10  ;0,5  ;9,5  ;-7,42175e-07
6335  ;-10  ;0  ;9,5  ;-7,42213e-07
3240  ;-10  ;1,19776  ;9,57036  ;-7,42238e-07
8806  ;-10  ;7,5  ;10  ;-7,42828e-07
10547  ;-10  ;2,5  ;10  ;-7,42968e-07
376  ;-10  ;8  ;10  ;-7,43851e-07
382  ;-10  ;2  ;10  ;-7,43999e-07
8074  ;-10  ;8,5  ;10  ;-7,44746e-07
10335  ;-10  ;1,5  ;10  ;-7,44946e-07
375  ;-10  ;9  ;10  ;-7,45407e-07
383  ;-10  ;1  ;10  ;-7,45619e-07
5240  ;-10  ;9,5  ;10  ;-7,45710e-07
8  ;-10  ;10  ;10  ;-7,45789e-07
6336  ;-10  ;0,5  ;10  ;-7,45929e-07
4  ;-10  ;0  ;10  ;-7,46029e-07
