13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UZ (mm)
10302  ;0  ;6,03245  ;7,35013  ;7,34635e-07
7599  ;0  ;3,96642  ;7,3518  ;7,34590e-07
11316  ;0  ;9,5653  ;8,24165  ;7,34570e-07
9942  ;0  ;2,392  ;8,18814  ;7,34563e-07
199  ;0  ;8,10105  ;8,18914  ;7,34482e-07
9111  ;0  ;5,92838  ;6,82743  ;7,34407e-07
8253  ;0  ;6,75976  ;7,81396  ;7,34382e-07
6803  ;0  ;4,07302  ;6,83015  ;7,34353e-07
5547  ;0  ;3,22626  ;7,81804  ;7,34291e-07
8533  ;0  ;5,65569  ;6,42523  ;7,34247e-07
6802  ;0  ;4,34528  ;6,42787  ;7,34196e-07
8251  ;0  ;7,20719  ;7,86687  ;7,34081e-07
231  ;0  ;6,51951  ;7,35997  ;7,34046e-07
232  ;0  ;3,47737  ;7,36314  ;7,33975e-07
203  ;0  ;1,80884  ;8,10334  ;7,33967e-07
11279  ;0  ;2,77177  ;7,87733  ;7,33963e-07
10598  ;0  ;4,71491  ;6,13266  ;7,33900e-07
8532  ;0  ;5,30672  ;6,06316  ;7,33711e-07
10300  ;0  ;6,41545  ;6,83726  ;7,33651e-07
5884  ;0  ;3,58397  ;6,84149  ;7,33566e-07
8252  ;0  ;6,96694  ;7,41287  ;7,33530e-07
6667  ;0  ;7,75771  ;7,82746  ;7,33487e-07
7575  ;0  ;0,865481  ;8,05743  ;7,33484e-07
8100  ;0  ;9,11031  ;8,00602  ;7,33426e-07
6716  ;0  ;3,02287  ;7,42243  ;7,33408e-07
144  ;0  ;10  ;8  ;7,33355e-07
11276  ;0  ;2,18861  ;7,79254  ;7,33194e-07
19  ;0  ;0  ;8  ;7,33126e-07
217  ;0  ;7,41437  ;7,46578  ;7,32939e-07
6127  ;0  ;8,59554  ;7,85894  ;7,32920e-07
229  ;0  ;2,56838  ;7,48173  ;7,32808e-07
240  ;0  ;6,31139  ;6,31456  ;7,32707e-07
10291  ;0  ;6,93603  ;6,94746  ;7,32690e-07
239  ;0  ;3,69057  ;6,31985  ;7,32650e-07
10599  ;0  ;4,06019  ;6,02463  ;7,32623e-07
5883  ;0  ;3,06311  ;6,95055  ;7,32592e-07
7549  ;0  ;1,34048  ;7,80709  ;7,32516e-07
7663  ;0  ;5,96241  ;5,95249  ;7,32370e-07
6126  ;0  ;8,18105  ;7,6089  ;7,32329e-07
8834  ;0  ;5,02162  ;5,65992  ;7,32203e-07
2608  ;0  ;9,54502  ;7,76438  ;7,32150e-07
248  ;0  ;4,42981  ;5,72942  ;7,32036e-07
2678  ;0  ;0,436063  ;7,75542  ;7,31875e-07
7550  ;0  ;1,77045  ;7,55167  ;7,31870e-07
7629  ;0  ;7,38346  ;7,00037  ;7,31781e-07
6715  ;0  ;2,60861  ;7,00985  ;7,31676e-07
10299  ;0  ;6,83197  ;6,42476  ;7,31633e-07
6666  ;0  ;7,83771  ;7,24722  ;7,31577e-07
5573  ;0  ;3,16971  ;6,42891  ;7,31545e-07
9511  ;0  ;2,15022  ;7,24086  ;7,31379e-07
245  ;0  ;5,61343  ;5,59042  ;7,31260e-07
162  ;0  ;9,09004  ;7,52875  ;7,31125e-07
179  ;0  ;0,872127  ;7,51083  ;7,30820e-07
7491  ;0  ;10  ;7,5  ;7,30808e-07
8958  ;0  ;0  ;7,5  ;7,30596e-07
218  ;0  ;7,35255  ;6,53495  ;7,30376e-07
5377  ;0  ;8,67554  ;7,27871  ;7,30332e-07
219  ;0  ;2,64884  ;6,53797  ;7,30245e-07
8833  ;0  ;4,64449  ;5,35777  ;7,30081e-07
7551  ;0  ;1,30209  ;7,25542  ;7,30001e-07
7628  ;0  ;7,8068  ;6,78181  ;7,29958e-07
216  ;0  ;8,26104  ;7,02867  ;7,29872e-07
8485  ;0  ;2,19045  ;6,76898  ;7,29749e-07
6035  ;0  ;3,66619  ;5,65939  ;7,29711e-07
8832  ;0  ;5,2363  ;5,28827  ;7,29617e-07
7662  ;0  ;6,39561  ;5,65734  ;7,29576e-07
7492  ;0  ;9,54502  ;7,26438  ;7,29561e-07
214  ;0  ;1,73205  ;7  ;7,29553e-07
10952  ;0  ;6,82018  ;5,93191  ;7,29538e-07
5574  ;0  ;3,18926  ;5,9311  ;7,29461e-07
7355  ;0  ;0,436063  ;7,25542  ;7,29254e-07
10656  ;0  ;4,03581  ;5,36417  ;7,28818e-07
5375  ;0  ;9,11201  ;7,01438  ;7,28459e-07
7356  ;0  ;0,869076  ;7,00542  ;7,28190e-07
7659  ;0  ;6,04663  ;5,29527  ;7,28024e-07
10951  ;0  ;7,34076  ;6,0421  ;7,28015e-07
145  ;0  ;10  ;7  ;7,27938e-07
5575  ;0  ;2,66839  ;6,04016  ;7,27925e-07
20  ;0  ;0  ;7  ;7,27702e-07
5376  ;0  ;8,69751  ;6,76433  ;7,27629e-07
11196  ;0  ;7,81025  ;6,26748  ;7,27442e-07
8390  ;0  ;1,29904  ;6,75  ;7,27362e-07
7798  ;0  ;8,2645  ;6,51433  ;7,27310e-07
8486  ;0  ;2,19045  ;6,26898  ;7,27292e-07
5395  ;0  ;1,73205  ;6,5  ;7,27006e-07
249  ;0  ;4,85916  ;4,98612  ;7,26738e-07
7805  ;0  ;9,56699  ;6,75  ;7,26402e-07
7658  ;0  ;5,61488  ;4,99647  ;7,26262e-07
7357  ;0  ;0,433013  ;6,75  ;7,26161e-07
11052  ;0  ;4,25049  ;4,99253  ;7,25863e-07
163  ;0  ;9,13398  ;6,5  ;7,25092e-07
164  ;0  ;0,866025  ;6,5  ;7,24866e-07
7803  ;0  ;10  ;6,5  ;7,24486e-07
220  ;0  ;7,32897  ;5,54926  ;7,24483e-07
234  ;0  ;2,68794  ;5,54236  ;7,24401e-07
2804  ;0  ;3,16488  ;5,27064  ;7,24347e-07
10019  ;0  ;0  ;6,5  ;7,24234e-07
7797  ;0  ;8,70096  ;6,25  ;7,24204e-07
10946  ;0  ;6,9044  ;5,27469  ;7,24168e-07
10218  ;0  ;1,29904  ;6,25  ;7,23971e-07
11195  ;0  ;7,79846  ;5,77463  ;7,23958e-07
8968  ;0  ;2,21  ;5,77118  ;7,23840e-07
215  ;0  ;8,26795  ;6  ;7,23669e-07
241  ;0  ;3,64181  ;4,99893  ;7,23603e-07
213  ;0  ;1,73205  ;6  ;7,23491e-07
244  ;0  ;6,47983  ;5,00012  ;7,23255e-07
8527  ;0  ;5,23775  ;4,69432  ;7,22855e-07
7804  ;0  ;9,56699  ;6,25  ;7,22471e-07
7571  ;0  ;0,433013  ;6,25  ;7,22247e-07
8526  ;0  ;4,64188  ;4,62428  ;7,21597e-07
7090  ;0  ;6,04808  ;4,70132  ;7,21073e-07
10159  ;0  ;9,13398  ;6  ;7,20803e-07
7572  ;0  ;0,866025  ;6  ;7,20601e-07
8382  ;0  ;4,03321  ;4,63068  ;7,20121e-07
146  ;0  ;10  ;6  ;7,19854e-07
21  ;0  ;0  ;6  ;7,19600e-07
10160  ;0  ;8,70096  ;5,75  ;7,19516e-07
6573  ;0  ;1,29904  ;5,75  ;7,19288e-07
10845  ;0  ;7,79846  ;5,27463  ;7,18842e-07
11243  ;0  ;8,26795  ;5,5  ;7,18761e-07
10797  ;0  ;2,21  ;5,27118  ;7,18645e-07
7583  ;0  ;1,73205  ;5,5  ;7,18574e-07
10844  ;0  ;7,32895  ;5,0016  ;7,18278e-07
2806  ;0  ;2,68793  ;5,00309  ;7,18242e-07
2805  ;0  ;3,16487  ;4,73137  ;7,17319e-07
246  ;0  ;5,61634  ;4,40252  ;7,17264e-07
6097  ;0  ;9,56699  ;5,75  ;7,17192e-07
7573  ;0  ;0,433013  ;5,75  ;7,16994e-07
8530  ;0  ;6,90438  ;4,72704  ;7,16932e-07
8525  ;0  ;5,02047  ;4,33248  ;7,16534e-07
165  ;0  ;9,13398  ;5,5  ;7,14914e-07
188  ;0  ;0,866025  ;5,5  ;7,14706e-07
247  ;0  ;4,4246  ;4,26243  ;7,14293e-07
6096  ;0  ;10  ;5,5  ;7,13636e-07
9488  ;0  ;0  ;5,5  ;7,13372e-07
7744  ;0  ;8,70096  ;5,25  ;7,13117e-07
8381  ;0  ;3,66537  ;4,33952  ;7,13073e-07
9973  ;0  ;1,29904  ;5,25  ;7,12874e-07
7091  ;0  ;6,3962  ;4,34295  ;7,12801e-07
212  ;0  ;8,26795  ;5  ;7,11789e-07
196  ;0  ;1,73205  ;5  ;7,11437e-07
6244  ;0  ;7,79844  ;4,72697  ;7,10392e-07
9516  ;0  ;2,20999  ;4,73191  ;7,10352e-07
5803  ;0  ;9,56699  ;5,25  ;7,10002e-07
9491  ;0  ;0,433013  ;5,25  ;7,09739e-07
235  ;0  ;2,68792  ;4,46381  ;7,08989e-07
222  ;0  ;7,32893  ;4,45395  ;7,08818e-07
458  ;-10  ;7,31211  ;4,46362  ;-7,08945e-07
7917  ;-10  ;9,56699  ;5,25  ;-7,09701e-07
2553  ;-10  ;0,433013  ;5,25  ;-7,09951e-07
11008  ;-10  ;7,79003  ;4,73181  ;-7,10282e-07
3567  ;-10  ;2,20159  ;4,7268  ;-7,10440e-07
419  ;-10  ;8,26795  ;5  ;-7,11486e-07
437  ;-10  ;1,73205  ;5  ;-7,11663e-07
6370  ;-10  ;3,60398  ;4,34238  ;-7,12737e-07
9137  ;-10  ;8,70096  ;5,25  ;-7,12864e-07
9302  ;-10  ;6,33472  ;4,33946  ;-7,12910e-07
8698  ;-10  ;1,29904  ;5,25  ;-7,13063e-07
11145  ;-10  ;10  ;5,5  ;-7,13353e-07
8696  ;-10  ;0  ;5,5  ;-7,13627e-07
470  ;-10  ;5,5754  ;4,26242  ;-7,14306e-07
411  ;-10  ;9,13398  ;5,5  ;-7,14578e-07
388  ;-10  ;0,866025  ;5,5  ;-7,14883e-07
10911  ;-10  ;4,97952  ;4,33245  ;-7,16481e-07
10333  ;-10  ;3,09566  ;4,72679  ;-7,16883e-07
11146  ;-10  ;9,56699  ;5,75  ;-7,16917e-07
8697  ;-10  ;0,433013  ;5,75  ;-7,17161e-07
469  ;-10  ;4,38364  ;4,40248  ;-7,17208e-07
9301  ;-10  ;6,83514  ;4,73116  ;-7,17231e-07
11007  ;-10  ;7,31212  ;5,00236  ;-7,18167e-07
3568  ;-10  ;2,6711  ;5,00142  ;-7,18213e-07
10854  ;-10  ;8,26795  ;5,5  ;-7,18521e-07
10855  ;-10  ;7,79003  ;5,27055  ;-7,18590e-07
3569  ;-10  ;2,20156  ;5,27462  ;-7,18733e-07
2907  ;-10  ;1,73205  ;5,5  ;-7,18747e-07
11257  ;-10  ;8,70096  ;5,75  ;-7,19246e-07
11105  ;-10  ;1,29904  ;5,75  ;-7,19470e-07
262  ;-10  ;10  ;6  ;-7,19562e-07
39  ;-10  ;0  ;6  ;-7,19840e-07
8628  ;-10  ;5,96678  ;4,63056  ;-7,20116e-07
11259  ;-10  ;9,13398  ;6  ;-7,20535e-07
11339  ;-10  ;0,866025  ;6  ;-7,20747e-07
6369  ;-10  ;3,95192  ;4,70124  ;-7,21031e-07
8547  ;-10  ;5,35811  ;4,62426  ;-7,21539e-07
4137  ;-10  ;9,56699  ;6,25  ;-7,22196e-07
5702  ;-10  ;0,433013  ;6,25  ;-7,22421e-07
6439  ;-10  ;4,76223  ;4,69429  ;-7,22805e-07
467  ;-10  ;3,5202  ;5  ;-7,23219e-07
425  ;-10  ;8,26795  ;6  ;-7,23448e-07
464  ;-10  ;6,35816  ;4,9987  ;-7,23633e-07
438  ;-10  ;1,73205  ;6  ;-7,23649e-07
9712  ;-10  ;7,79003  ;5,77055  ;-7,23773e-07
4078  ;-10  ;8,70096  ;6,25  ;-7,23945e-07
8022  ;-10  ;2,20156  ;5,77462  ;-7,23968e-07
7312  ;-10  ;1,29904  ;6,25  ;-7,24138e-07
10241  ;-10  ;3,09563  ;5,27462  ;-7,24140e-07
6169  ;-10  ;10  ;6,5  ;-7,24195e-07
9295  ;-10  ;6,83514  ;5,2699  ;-7,24335e-07
457  ;-10  ;7,31212  ;5,5411  ;-7,24340e-07
442  ;-10  ;2,67106  ;5,54924  ;-7,24421e-07
5699  ;-10  ;0  ;6,5  ;-7,24452e-07
403  ;-10  ;9,13398  ;6,5  ;-7,24827e-07
387  ;-10  ;0,866025  ;6,5  ;-7,25025e-07
3563  ;-10  ;5,74949  ;4,9924  ;-7,25793e-07
6171  ;-10  ;9,56699  ;6,75  ;-7,26110e-07
6438  ;-10  ;4,3851  ;4,99644  ;-7,26223e-07
5700  ;-10  ;0,433013  ;6,75  ;-7,26335e-07
472  ;-10  ;5,14082  ;4,9861  ;-7,26709e-07
10930  ;-10  ;8,26461  ;6,51437  ;-7,27034e-07
9710  ;-10  ;7,81093  ;6,26621  ;-7,27204e-07
7313  ;-10  ;1,7355  ;6,51433  ;-7,27246e-07
8812  ;-10  ;2,18977  ;6,26748  ;-7,27343e-07
10555  ;-10  ;8,69763  ;6,76437  ;-7,27394e-07
7314  ;-10  ;1,30249  ;6,76433  ;-7,27561e-07
261  ;-10  ;10  ;7  ;-7,27653e-07
9711  ;-10  ;7,33301  ;6,03677  ;-7,27835e-07
38  ;-10  ;0  ;7  ;-7,27891e-07
6513  ;-10  ;2,65928  ;6,0421  ;-7,28006e-07
6417  ;-10  ;3,95338  ;5,2952  ;-7,28013e-07
10556  ;-10  ;9,10889  ;7,02331  ;-7,28250e-07
11158  ;-10  ;0,887995  ;7,01438  ;-7,28398e-07
3561  ;-10  ;5,96416  ;5,36404  ;-7,28761e-07
11016  ;-10  ;9,5419  ;7,27331  ;-7,29304e-07
9293  ;-10  ;6,8109  ;5,92969  ;-7,29417e-07
11227  ;-10  ;0,454982  ;7,26438  ;-7,29463e-07
6514  ;-10  ;3,17994  ;5,93196  ;-7,29491e-07
7884  ;-10  ;3,60451  ;5,65734  ;-7,29537e-07
6440  ;-10  ;4,76369  ;5,28825  ;-7,29581e-07
428  ;-10  ;8,26128  ;7,02875  ;-7,29652e-07
9294  ;-10  ;6,33392  ;5,65849  ;-7,29669e-07
11144  ;-10  ;7,80759  ;6,78059  ;-7,29735e-07
439  ;-10  ;1,73896  ;7,02867  ;-7,29821e-07
10112  ;-10  ;2,19323  ;6,78182  ;-7,29913e-07
3562  ;-10  ;5,35549  ;5,35775  ;-7,29999e-07
10554  ;-10  ;8,67254  ;7,28769  ;-7,30107e-07
453  ;-10  ;7,3539  ;6,53243  ;-7,30125e-07
11159  ;-10  ;1,32446  ;7,27871  ;-7,30253e-07
441  ;-10  ;2,6475  ;6,53497  ;-7,30276e-07
11013  ;-10  ;10  ;7,5  ;-7,30518e-07
11224  ;-10  ;0  ;7,5  ;-7,30752e-07
401  ;-10  ;9,0838  ;7,54663  ;-7,30934e-07
386  ;-10  ;0,909964  ;7,52875  ;-7,31030e-07
468  ;-10  ;4,38657  ;5,59041  ;-7,31226e-07
10988  ;-10  ;7,83774  ;7,24712  ;-7,31360e-07
9734  ;-10  ;6,83179  ;6,42535  ;-7,31440e-07
10114  ;-10  ;2,1623  ;7,24722  ;-7,31488e-07
6515  ;-10  ;3,16816  ;6,42482  ;-7,31557e-07
9726  ;-10  ;7,38405  ;6,99896  ;-7,31582e-07
10113  ;-10  ;2,61657  ;7,00037  ;-7,31740e-07
10883  ;-10  ;9,5419  ;7,77331  ;-7,31932e-07
471  ;-10  ;5,57016  ;5,72939  ;-7,32018e-07
10989  ;-10  ;8,17975  ;7,60841  ;-7,32099e-07
11225  ;-10  ;0,454982  ;7,76438  ;-7,32102e-07
6881  ;-10  ;4,97836  ;5,6599  ;-7,32149e-07
11162  ;-10  ;1,81895  ;7,6089  ;-7,32262e-07
6606  ;-10  ;4,03769  ;5,95254  ;-7,32317e-07
9725  ;-10  ;6,93803  ;6,94122  ;-7,32490e-07
6874  ;-10  ;5,93992  ;6,02383  ;-7,32574e-07
460  ;-10  ;6,30968  ;6,31828  ;-7,32583e-07
10611  ;-10  ;3,06417  ;6,94746  ;-7,32631e-07
463  ;-10  ;3,68882  ;6,31467  ;-7,32643e-07
451  ;-10  ;7,4142  ;7,46548  ;-7,32720e-07
11325  ;-10  ;8,59101  ;7,86735  ;-7,32730e-07
440  ;-10  ;2,58564  ;7,46578  ;-7,32858e-07
10966  ;-10  ;1,40446  ;7,85894  ;-7,32871e-07
260  ;-10  ;10  ;8  ;-7,33055e-07
6796  ;-10  ;7,75621  ;7,82678  ;-7,33275e-07
37  ;-10  ;0  ;8  ;-7,33282e-07
6497  ;-10  ;6,96818  ;7,40774  ;-7,33324e-07
10965  ;-10  ;0,889687  ;8,00602  ;-7,33361e-07
10236  ;-10  ;2,2423  ;7,82746  ;-7,33421e-07
9374  ;-10  ;6,41592  ;6,83414  ;-7,33445e-07
10962  ;-10  ;3,03324  ;7,41287  ;-7,33455e-07
10882  ;-10  ;9,10061  ;8,07802  ;-7,33501e-07
8058  ;-10  ;3,58483  ;6,83732  ;-7,33551e-07
6607  ;-10  ;4,69328  ;6,06315  ;-7,33652e-07
6873  ;-10  ;5,28508  ;6,13264  ;-7,33852e-07
6498  ;-10  ;7,2071  ;7,86672  ;-7,33887e-07
452  ;-10  ;6,52216  ;7,35  ;-7,33904e-07
