13:21; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SY (N/m^2)
7661  ;-0,307955  ;5,59373  ;5,28932  ;-9,82069e+04
9300  ;-5,96229  ;10  ;5,95256  ;-9,82071e+04
1233  ;-9,28963  ;5,56239  ;3,66285  ;-9,82088e+04
7134  ;-1,2348  ;1,7767  ;5,25354  ;-9,82127e+04
4140  ;-4,10008  ;3,68666  ;1,58508  ;-9,82135e+04
1189  ;-4,39318  ;9,30079  ;3,7  ;-9,82137e+04
1406  ;-3,82156  ;9,29756  ;2,98206  ;-9,82141e+04
852  ;-0,60657  ;4,87509  ;4,36246  ;-9,82186e+04
11090  ;-2,48277  ;9,1323  ;4,21678  ;-9,82225e+04
2689  ;-7,95286  ;1,03806  ;5,16237  ;-9,82233e+04
8738  ;-9,28007  ;5,05198  ;3,68289  ;-9,82249e+04
6163  ;-8,28607  ;8,72006  ;5,35488  ;-9,82265e+04
11364  ;-0,680067  ;7,48217  ;5,74956  ;-9,82293e+04
11248  ;-9,31353  ;4,83137  ;4,03305  ;-9,82295e+04
7781  ;-2,4845  ;9,17675  ;5,17129  ;-9,82298e+04
7697  ;-4,03251  ;9,28982  ;4,00312  ;-9,82321e+04
9818  ;-8,25828  ;8,88029  ;3,77735  ;-9,82327e+04
9119  ;-8,65284  ;8,35687  ;4,74573  ;-9,82333e+04
9817  ;-8,61456  ;8,5215  ;3,78452  ;-9,82333e+04
6390  ;-3,41177  ;0,735547  ;3,44258  ;-9,82338e+04
11167  ;-0,723713  ;6,73548  ;2,92416  ;-9,82355e+04
8109  ;-0,711963  ;6,60722  ;4,14912  ;-9,82360e+04
3173  ;-4,78395  ;4,17791  ;1,66489  ;-9,82364e+04
1976  ;-5,58343  ;9,68618  ;5,29079  ;-9,82376e+04
8951  ;-2,35058  ;0,303255  ;6,58932  ;-9,82385e+04
7403  ;-4,36278  ;0,309811  ;5,33148  ;-9,82399e+04
9121  ;-8,41971  ;8,68754  ;4,27344  ;-9,82406e+04
9453  ;-3,22233  ;0,681022  ;4,68804  ;-9,82408e+04
9891  ;-8,98001  ;1,35013  ;6,75856  ;-9,82423e+04
6421  ;-9,67985  ;4,32797  ;5,29577  ;-9,82435e+04
4460  ;-0,726214  ;3,06583  ;4,44792  ;-9,82440e+04
11201  ;-2,33777  ;9,6502  ;6,51964  ;-9,82442e+04
4130  ;-8,32791  ;8,87111  ;6,11934  ;-9,82449e+04
2071  ;-5,58311  ;4,72422  ;1,67877  ;-9,82482e+04
5844  ;-9,26276  ;7,53933  ;5,79612  ;-9,82490e+04
9037  ;-5,3005  ;0,681089  ;4,0982  ;-9,82497e+04
5193  ;-5,62845  ;5,24869  ;1,67371  ;-9,82498e+04
5947  ;-0,718336  ;5,03198  ;3,66955  ;-9,82498e+04
10788  ;-4,98066  ;0,32119  ;5,43851  ;-9,82505e+04
8268  ;-0,43609  ;7,5051  ;0,433013  ;-9,82540e+04
6629  ;-9,34616  ;7,69533  ;2,67819  ;-9,82559e+04
4091  ;-3,72987  ;2,91582  ;1,44248  ;-9,82562e+04
10655  ;-1,95665  ;1,96396  ;0,656949  ;-9,82562e+04
9820  ;-2,692  ;8,56237  ;0,670605  ;-9,82586e+04
10116  ;-9,67955  ;2,37384  ;6,5893  ;-9,82602e+04
11023  ;-6,64405  ;0,725751  ;4,10392  ;-9,82652e+04
11128  ;-8,776  ;8,32875  ;4,28061  ;-9,82658e+04
9227  ;-7  ;0  ;0,866025  ;-9,82669e+04
8676  ;-9,2872  ;5,84533  ;3,98737  ;-9,82700e+04
6874  ;-10  ;5,93992  ;6,02383  ;-9,82736e+04
10232  ;-1,4766  ;8,48857  ;5,03639  ;-9,82742e+04
1481  ;-2,02941  ;9,3004  ;6,50683  ;-9,82758e+04
6503  ;-7,79108  ;5,17582  ;1,26443  ;-9,82776e+04
3565  ;-9,67498  ;5,65378  ;5,38045  ;-9,82794e+04
5273  ;-4,06008  ;10  ;6,02383  ;-9,82797e+04
9717  ;-1,81619  ;8,76984  ;5,53934  ;-9,82800e+04
4818  ;-2,41524  ;6,33194  ;1,32081  ;-9,82803e+04
7111  ;-7,93017  ;6,84825  ;1,09663  ;-9,82804e+04
10331  ;-6,91095  ;9,30462  ;4,76501  ;-9,82809e+04
3204  ;-1,40938  ;5,70527  ;0,776415  ;-9,82809e+04
9564  ;-3,38831  ;2,12678  ;1,17884  ;-9,82813e+04
7617  ;-0,776644  ;8,34901  ;6,81174  ;-9,82816e+04
6242  ;-3,45557  ;9,68976  ;1,38642  ;-9,82844e+04
10067  ;-5,03317  ;0,733562  ;3,76128  ;-9,82860e+04
6659  ;-3,36417  ;0,727636  ;4,12579  ;-9,82865e+04
6474  ;-1,30697  ;9,04824  ;6,98445  ;-9,82873e+04
8315  ;-4,1405  ;0,745192  ;3,39677  ;-9,82893e+04
1440  ;-9,31939  ;2,69402  ;2,79001  ;-9,82914e+04
10937  ;-5,67412  ;0,320792  ;5,35153  ;-9,82915e+04
5129  ;-4,73324  ;0,68428  ;4,09383  ;-9,82920e+04
10565  ;-9,22855  ;2,93598  ;4,46531  ;-9,82926e+04
11214  ;-9,24674  ;2,82441  ;3,31823  ;-9,82939e+04
2101  ;-8,7911  ;8,50494  ;6,60756  ;-9,82940e+04
8866  ;-0,698045  ;4,33921  ;4,12825  ;-9,82962e+04
7540  ;-0,419807  ;2,36049  ;6,46946  ;-9,82976e+04
8438  ;-7,90989  ;1,03873  ;5,59487  ;-9,82986e+04
3434  ;-6,16  ;7,91933  ;1,26142  ;-9,82992e+04
9969  ;-3,76748  ;0,745721  ;3,71983  ;-9,83028e+04
10599  ;0  ;4,06019  ;6,02463  ;-9,83034e+04
7827  ;-3,27761  ;0,711993  ;2,92316  ;-9,83036e+04
1194  ;-6,67259  ;6,78034  ;1,40702  ;-9,83066e+04
10477  ;-2,3396  ;0,656474  ;2,65072  ;-9,83088e+04
11468  ;-0,604645  ;1,50967  ;7,20707  ;-9,83101e+04
9363  ;-4,63602  ;0  ;5,9653  ;-9,83102e+04
11384  ;-0,656746  ;7,02666  ;2,49981  ;-9,83115e+04
7846  ;-4,16742  ;0,727319  ;2,53443  ;-9,83126e+04
1263  ;-5,36714  ;6,88725  ;1,49336  ;-9,83135e+04
11053  ;-7,44971  ;9,33164  ;5,90991  ;-9,83178e+04
8421  ;-8,91109  ;2,00592  ;4,67  ;-9,83180e+04
7041  ;-4,14984  ;9,31003  ;2,51483  ;-9,83193e+04
3169  ;-5,07087  ;4,54843  ;1,70176  ;-9,83199e+04
6563  ;-9,31991  ;5,20247  ;2,36493  ;-9,83211e+04
7720  ;-5,32487  ;9,2945  ;2,43593  ;-9,83224e+04
5342  ;-5,37076  ;0  ;5,97575  ;-9,83224e+04
1411  ;-2,05397  ;0,60651  ;6,64352  ;-9,83226e+04
9465  ;-7,56637  ;9,36034  ;2,65459  ;-9,83247e+04
8395  ;-7,96306  ;2,64804  ;1,00133  ;-9,83261e+04
9628  ;-0,444511  ;7,67147  ;6,50879  ;-9,83273e+04
7774  ;-0,743657  ;6,60134  ;3,44564  ;-9,83289e+04
11067  ;-5,5625  ;0,785475  ;2,88535  ;-9,83305e+04
11452  ;-0,677067  ;6,64753  ;4,75015  ;-9,83309e+04
10141  ;-6,70953  ;0,708592  ;4,62337  ;-9,83310e+04
6871  ;-3,96065  ;0,352775  ;5,52804  ;-9,83331e+04
8394  ;-7,92598  ;3,12899  ;1,10925  ;-9,83331e+04
3151  ;-1,70907  ;1,11505  ;3,72592  ;-9,83337e+04
5232  ;-0,887062  ;6,73558  ;0,485592  ;-9,83344e+04
1689  ;-6,92936  ;9,32793  ;2,45709  ;-9,83360e+04
3678  ;-4,43511  ;5,05388  ;1,69693  ;-9,83374e+04
5778  ;-0,829663  ;5,21663  ;0,419937  ;-9,83379e+04
2680  ;-0,454982  ;0  ;7,76438  ;-9,83384e+04
11225  ;-10  ;0,454982  ;7,76438  ;-9,83390e+04
11254  ;-8,69069  ;0,847684  ;2,6687  ;-9,83392e+04
11025  ;-8,93475  ;1,87709  ;6,08454  ;-9,83393e+04
2678  ;0  ;0,436063  ;7,75542  ;-9,83421e+04
5478  ;-9,29985  ;1,19871  ;2,43429  ;-9,83443e+04
9520  ;-0,434674  ;0  ;1,25845  ;-9,83488e+04
6509  ;-9,28548  ;2,55395  ;5,91853  ;-9,83500e+04
2606  ;-0,454982  ;10  ;7,76438  ;-9,83507e+04
1235  ;-9,2705  ;4,54157  ;3,70294  ;-9,83511e+04
11392  ;-9,35506  ;6,88949  ;2,35125  ;-9,83517e+04
4772  ;-1,10359  ;8,5571  ;3,37239  ;-9,83526e+04
9650  ;-9,27945  ;4,19147  ;4,04532  ;-9,83547e+04
9421  ;-2,04567  ;1,05955  ;5,86531  ;-9,83547e+04
1586  ;-9,26329  ;6,18249  ;2,95169  ;-9,83548e+04
5195  ;-5,40123  ;5,83342  ;1,65152  ;-9,83554e+04
4170  ;-8,9967  ;8,86237  ;7,20512  ;-9,83558e+04
1385  ;-7,10196  ;1,2495  ;0,639208  ;-9,83583e+04
1375  ;-5,00057  ;0,631808  ;4,43074  ;-9,83590e+04
7699  ;-1,82411  ;7,51409  ;0,859787  ;-9,83591e+04
11382  ;-0,698038  ;3,58101  ;4,25589  ;-9,83597e+04
4018  ;-8,6193  ;8,95079  ;3,18393  ;-9,83616e+04
9102  ;-6,79059  ;0,665031  ;2,48282  ;-9,83621e+04
11015  ;-9,54502  ;10  ;7,76438  ;-9,83629e+04
11450  ;-2,85602  ;0,660852  ;5,54489  ;-9,83637e+04
1118  ;-9,283  ;2,91715  ;5,08418  ;-9,83638e+04
6515  ;-10  ;3,16816  ;6,42482  ;-9,83638e+04
7913  ;-8,78299  ;0,824851  ;7,3051  ;-9,83646e+04
10883  ;-10  ;9,5419  ;7,77331  ;-9,83684e+04
1190  ;-5,51967  ;9,26543  ;3,67861  ;-9,83689e+04
9987  ;-3,16431  ;0  ;6,42237  ;-9,83700e+04
7051  ;-4,72013  ;5,81441  ;1,65175  ;-9,83701e+04
6450  ;-0,724824  ;5,88999  ;4,06927  ;-9,83717e+04
6435  ;-6,83183  ;10  ;6,42484  ;-9,83726e+04
10622  ;-0,674391  ;5,56613  ;4,34158  ;-9,83730e+04
2103  ;-8,87266  ;8,20553  ;6,04311  ;-9,83746e+04
2608  ;0  ;9,54502  ;7,76438  ;-9,83746e+04
10765  ;-1,19755  ;1,19201  ;6,95525  ;-9,83761e+04
11357  ;-0,611241  ;5,22456  ;4,67534  ;-9,83767e+04
11246  ;-9,31511  ;4,40548  ;4,35204  ;-9,83769e+04
10292  ;-3,16823  ;10  ;6,42536  ;-9,83775e+04
4387  ;-4,44327  ;4,5329  ;1,70495  ;-9,83786e+04
9734  ;-10  ;6,83179  ;6,42535  ;-9,83788e+04
6071  ;-0,965145  ;1,79708  ;3,35524  ;-9,83791e+04
10299  ;0  ;6,83197  ;6,42476  ;-9,83811e+04
6472  ;-1,52529  ;9,37658  ;7,23588  ;-9,83815e+04
1599  ;-9,35655  ;5,12118  ;4,36316  ;-9,83818e+04
5724  ;-6,84151  ;0  ;6,41872  ;-9,83824e+04
5573  ;0  ;3,16971  ;6,42891  ;-9,83825e+04
2070  ;-5,89432  ;4,43078  ;1,65791  ;-9,83831e+04
8658  ;-2,60056  ;9,36827  ;2,46083  ;-9,83836e+04
2072  ;-5,89159  ;5,0655  ;1,68739  ;-9,83844e+04
7785  ;-9,54239  ;0  ;7,77368  ;-9,83853e+04
7664  ;-0,370887  ;6,01966  ;5,56724  ;-9,83870e+04
1509  ;-9,35911  ;2,10018  ;6,64364  ;-9,83890e+04
7635  ;-1,82047  ;8,85701  ;6,08929  ;-9,83894e+04
10482  ;-3,38311  ;9,21764  ;3,40955  ;-9,83898e+04
1089  ;-9,2523  ;7,0413  ;4,94736  ;-9,83906e+04
10811  ;-0,627018  ;1,16808  ;7,43363  ;-9,83926e+04
10660  ;-6,04339  ;0,351721  ;5,59903  ;-9,83948e+04
6321  ;-4,37119  ;9,65053  ;5,44836  ;-9,83950e+04
799  ;-5,24994  ;2,98007  ;1,50666  ;-9,83957e+04
7138  ;-0,720507  ;2,59248  ;5,81184  ;-9,83962e+04
2282  ;-0,64943  ;4,52389  ;4,4874  ;-9,84001e+04
9223  ;-9,27671  ;4,27778  ;2,44783  ;-9,84004e+04
6203  ;-7,21603  ;9,31037  ;5,62942  ;-9,84005e+04
4804  ;-9,23022  ;7,63542  ;3,2224  ;-9,84020e+04
9368  ;-2,23399  ;1,0331  ;5,0638  ;-9,84031e+04
2938  ;-8,5186  ;5,29461  ;0,86103  ;-9,84040e+04
9134  ;-9,24914  ;9,14362  ;7,56344  ;-9,84054e+04
4169  ;-8,70202  ;9,09959  ;7,21668  ;-9,84069e+04
5197  ;-5,19814  ;5,46596  ;1,71347  ;-9,84104e+04
4788  ;-0,644435  ;7,59761  ;2,62675  ;-9,84112e+04
8667  ;-9,29741  ;6,68575  ;2,84573  ;-9,84140e+04
9157  ;-5,3067  ;10  ;6,06316  ;-9,84148e+04
10024  ;-4,36022  ;0,684809  ;4,41689  ;-9,84151e+04
9605  ;-2,50636  ;9,19523  ;5,77296  ;-9,84157e+04
4118  ;-4,18171  ;4,78649  ;1,6969  ;-9,84159e+04
8817  ;-5,9505  ;9,27338  ;4,04795  ;-9,84166e+04
1339  ;-0,732871  ;5,55824  ;3,69494  ;-9,84173e+04
8532  ;0  ;5,30672  ;6,06316  ;-9,84186e+04
1372  ;-5,60043  ;0,730371  ;3,76565  ;-9,84191e+04
1334  ;-9,33152  ;7,189  ;2,73977  ;-9,84199e+04
9423  ;-3,18749  ;0,664891  ;5,22926  ;-9,84202e+04
9777  ;-5,82865  ;9,25635  ;2,50228  ;-9,84211e+04
6607  ;-10  ;4,69328  ;6,06315  ;-9,84224e+04
9039  ;-5,93174  ;0,73445  ;4,08877  ;-9,84229e+04
1337  ;-9,3608  ;8,20166  ;2,61662  ;-9,84238e+04
3393  ;-9,17596  ;7,05523  ;4,38777  ;-9,84240e+04
9968  ;-4,0929  ;0,737281  ;4,07998  ;-9,84250e+04
1224  ;-0,839615  ;2,07214  ;6,40095  ;-9,84270e+04
8426  ;-0,713198  ;6,50117  ;2,61229  ;-9,84275e+04
5165  ;-6,01986  ;6,8338  ;1,45019  ;-9,84278e+04
5339  ;-7,08672  ;0,687252  ;5,4743  ;-9,84280e+04
1498  ;-3,81509  ;0,753631  ;3,03662  ;-9,84289e+04
1979  ;-5,94349  ;9,63951  ;5,6082  ;-9,84298e+04
6418  ;-9,63739  ;4,07069  ;5,59334  ;-9,84300e+04
3995  ;-4,6368  ;9,27618  ;4,09783  ;-9,84305e+04
8602  ;-9,32065  ;5,62472  ;4,33752  ;-9,84314e+04
9038  ;-5,63181  ;0,685168  ;4,42132  ;-9,84320e+04
7434  ;-6,08851  ;0,43915  ;1,44492  ;-9,84321e+04
3677  ;-4,51704  ;5,44695  ;1,71371  ;-9,84334e+04
7310  ;-1,04527  ;8,69751  ;7,06252  ;-9,84346e+04
6899  ;-9,3823  ;8,44624  ;7,28349  ;-9,84356e+04
7741  ;-1,80093  ;9,67204  ;7,25786  ;-9,84389e+04
9384  ;-1,29141  ;1,75705  ;5,77776  ;-9,84391e+04
8773  ;-8,91881  ;2,11674  ;5,31354  ;-9,84398e+04
5537  ;-9,2857  ;3,37926  ;4,73594  ;-9,84403e+04
8936  ;-9,67809  ;7,51455  ;1,44892  ;-9,84432e+04
1370  ;-4,46592  ;0,736752  ;3,75691  ;-9,84437e+04
11366  ;-2,94642  ;9,18258  ;4,38634  ;-9,84460e+04
9160  ;-5,29986  ;9,67369  ;5,55437  ;-9,84464e+04
8663  ;-9,21558  ;7,12908  ;3,28398  ;-9,84468e+04
5185  ;-8,32067  ;1,14296  ;6,54325  ;-9,84488e+04
6129  ;-0,327805  ;8,19911  ;7,25747  ;-9,84490e+04
6542  ;-8,23022  ;0,306092  ;7,30249  ;-9,84498e+04
9904  ;-9,37055  ;1,54469  ;7,28698  ;-9,84500e+04
6633  ;-9,5807  ;8,61352  ;1,93355  ;-9,84511e+04
5572  ;-6,60875  ;5,86547  ;1,52073  ;-9,84515e+04
7438  ;-9,56699  ;3,5  ;0,433013  ;-9,84519e+04
7308  ;-1,72784  ;8,9939  ;6,74552  ;-9,84527e+04
6016  ;-8,42971  ;9,08671  ;6,96974  ;-9,84529e+04
9772  ;-0,312742  ;1,86149  ;7,25374  ;-9,84545e+04
1559  ;-7,19984  ;0,705782  ;2,84595  ;-9,84553e+04
9135  ;-8,95446  ;9,38084  ;7,575  ;-9,84564e+04
5727  ;-7,18941  ;0,347925  ;6,31914  ;-9,84571e+04
1570  ;-3,67184  ;9,27885  ;4,30624  ;-9,84585e+04
8793  ;-8,69708  ;8,6386  ;0,325701  ;-9,84614e+04
9128  ;-7,61741  ;9,32371  ;6,35609  ;-9,84631e+04
9988  ;-2,81722  ;0,348736  ;6,32594  ;-9,84657e+04
7812  ;-3,31001  ;9,25314  ;4,62094  ;-9,84667e+04
1566  ;-0,889022  ;7,9904  ;6,48264  ;-9,84680e+04
11136  ;-9,23125  ;3,39808  ;4,11707  ;-9,84700e+04
1487  ;-2,94817  ;9,22744  ;4,93564  ;-9,84707e+04
6128  ;-0,327805  ;8,61361  ;7,50751  ;-9,84774e+04
2690  ;-8,03637  ;1,19762  ;4,57001  ;-9,84780e+04
10819  ;-7,49136  ;9,68333  ;1,42431  ;-9,84781e+04
60  ;-0,869348  ;0  ;1,5169  ;-9,84783e+04
8560  ;-1,38644  ;9,67204  ;7,5079  ;-9,84784e+04
6883  ;-9,68976  ;4,74195  ;5,63208  ;-9,84786e+04
10903  ;-7,4418  ;7,99113  ;0,994587  ;-9,84809e+04
240  ;0  ;6,31139  ;6,31456  ;-9,84817e+04
10897  ;-1,59673  ;0,627361  ;7,27837  ;-9,84827e+04
463  ;-10  ;3,68882  ;6,31467  ;-9,84828e+04
8835  ;-0,321951  ;5,24395  ;5,60159  ;-9,84837e+04
10787  ;-4,60783  ;0,32119  ;5,6514  ;-9,84849e+04
3394  ;-9,26853  ;6,58478  ;4,62963  ;-9,84870e+04
121  ;-6,32165  ;0  ;6,31291  ;-9,84900e+04
5525  ;-9,35879  ;1,20393  ;7,51732  ;-9,84909e+04
6436  ;-7,172  ;9,64642  ;6,34054  ;-9,84922e+04
9735  ;-9,63703  ;7,17921  ;6,33472  ;-9,84923e+04
356  ;-6,31117  ;10  ;6,3147  ;-9,84935e+04
5524  ;-9,09322  ;0,844785  ;7,57677  ;-9,84942e+04
9959  ;-1,86373  ;0,320262  ;7,2658  ;-9,84944e+04
11335  ;-9,62495  ;3,55009  ;1,47098  ;-9,84946e+04
2431  ;-6,07941  ;9,68859  ;1,33834  ;-9,84979e+04
11080  ;-0,659938  ;8,4224  ;7,31356  ;-9,84980e+04
124  ;-3,68142  ;0  ;6,30961  ;-9,84980e+04
9625  ;-0,349602  ;7,165  ;6,35639  ;-9,84987e+04
10126  ;-1,50812  ;0,984903  ;7,02883  ;-9,84990e+04
5272  ;-4,71492  ;10  ;6,13264  ;-9,84996e+04
7626  ;-1,25028  ;8,20201  ;6,07719  ;-9,85005e+04
6516  ;-9,64143  ;2,83197  ;6,34494  ;-9,85011e+04
8650  ;-8,12365  ;0,617687  ;7,0898  ;-9,85013e+04
460  ;-10  ;6,30968  ;6,31828  ;-9,85026e+04
11249  ;-9,35813  ;4,69528  ;4,68215  ;-9,85032e+04
239  ;0  ;3,69057  ;6,31985  ;-9,85035e+04
6873  ;-10  ;5,28508  ;6,13264  ;-9,85040e+04
7317  ;-7,87641  ;0  ;7,22819  ;-9,85040e+04
1422  ;-9,28841  ;3,84136  ;4,3877  ;-9,85040e+04
9292  ;-4,7275  ;0,625715  ;4,76156  ;-9,85048e+04
7552  ;-0,335115  ;1,5199  ;7,48031  ;-9,85051e+04
10124  ;-0,937589  ;0,960975  ;7,50722  ;-9,85058e+04
10815  ;-1,01308  ;9,21002  ;2,40024  ;-9,85065e+04
9992  ;-0,668281  ;7,02539  ;5,61726  ;-9,85070e+04
4238  ;-9,21906  ;4,19375  ;3,32682  ;-9,85071e+04
2683  ;-0,790097  ;0,653875  ;7,74468  ;-9,85081e+04
353  ;-3,69032  ;10  ;6,31828  ;-9,85082e+04
10294  ;-2,81902  ;9,63219  ;6,33571  ;-9,85082e+04
10598  ;0  ;4,71491  ;6,13266  ;-9,85083e+04
11081  ;-0,756518  ;5,88412  ;3,36579  ;-9,85084e+04
6653  ;-7,82884  ;9,67729  ;7,01593  ;-9,85092e+04
9186  ;-9,69366  ;8,12393  ;7,27943  ;-9,85106e+04
10509  ;-0,322307  ;2,46542  ;1,44553  ;-9,85126e+04
6540  ;-8,63606  ;0,306092  ;7,56368  ;-9,85130e+04
11188  ;-5,34256  ;0,32119  ;5,66185  ;-9,85136e+04
1511  ;-6,38134  ;9,28132  ;4,4173  ;-9,85138e+04
6799  ;-4,83927  ;7,40109  ;1,39133  ;-9,85156e+04
3427  ;-6,94563  ;7,94081  ;1,07364  ;-9,85190e+04
9860  ;-7,40079  ;0,322921  ;1,49298  ;-9,85213e+04
9958  ;-1,44923  ;0,320262  ;7,51584  ;-9,85214e+04
10658  ;-9,5605  ;9,23258  ;7,81833  ;-9,85221e+04
6018  ;-8,37763  ;9,3713  ;7,32148  ;-9,85247e+04
9563  ;-3,017  ;1,8411  ;0,985755  ;-9,85251e+04
7625  ;-1,51891  ;8,5505  ;6,32797  ;-9,85258e+04
7630  ;-0,327805  ;7,74486  ;7,01061  ;-9,85265e+04
10339  ;-9,35032  ;8,75078  ;7,51799  ;-9,85266e+04
3996  ;-5,20005  ;9,25849  ;4,08714  ;-9,85268e+04
1576  ;-0,780166  ;6,20999  ;3,03664  ;-9,85272e+04
8804  ;-4,31035  ;7,2106  ;1,43214  ;-9,85276e+04
11164  ;-9,68123  ;1,8954  ;7,28622  ;-9,85296e+04
8549  ;-9,35325  ;5,42929  ;4,69734  ;-9,85302e+04
1087  ;-9,28476  ;6,12826  ;4,31189  ;-9,85308e+04
5336  ;-6,7511  ;0,691049  ;5,2207  ;-9,85317e+04
9161  ;-4,70807  ;9,67369  ;5,62385  ;-9,85319e+04
9893  ;-1,48686  ;7,1517  ;0,759701  ;-9,85321e+04
8442  ;-7,66016  ;0,673095  ;2,64011  ;-9,85322e+04
9798  ;-9,10552  ;9,69068  ;7,80939  ;-9,85326e+04
6212  ;-1,94616  ;9,32224  ;6,99694  ;-9,85354e+04
9978  ;-5,30411  ;0,636696  ;4,77116  ;-9,85371e+04
6017  ;-8,10533  ;9,35843  ;7,07453  ;-9,85384e+04
7320  ;-7,76984  ;0,311595  ;7,0155  ;-9,85386e+04
8190  ;-8,11419  ;9,68114  ;7,30583  ;-9,85391e+04
3973  ;-9,36007  ;8,00501  ;6,97187  ;-9,85395e+04
10243  ;-9,32406  ;4,05537  ;4,69442  ;-9,85405e+04
11412  ;-9,2435  ;3,26997  ;2,87036  ;-9,85420e+04
2682  ;-0,335115  ;1,08994  ;7,73572  ;-9,85424e+04
8544  ;-5,6003  ;9,56596  ;1,37759  ;-9,85438e+04
9952  ;-0,356712  ;4,12842  ;5,7102  ;-9,85447e+04
415  ;-10  ;9,14073  ;1,39553  ;-9,85451e+04
9763  ;-3,18203  ;1,46325  ;0,809971  ;-9,85453e+04
1408  ;-7,97126  ;9,3721  ;2,5116  ;-9,85461e+04
8494  ;-3,20719  ;0,871666  ;0,501373  ;-9,85465e+04
10114  ;-10  ;2,1623  ;7,24722  ;-9,85472e+04
6650  ;-7,8377  ;10  ;7,24722  ;-9,85476e+04
9955  ;-2,1623  ;0  ;7,24722  ;-9,85488e+04
1501  ;-0,716778  ;6,22174  ;4,4436  ;-9,85500e+04
9511  ;0  ;2,15022  ;7,24086  ;-9,85508e+04
8596  ;-0,375619  ;3,4206  ;1,41769  ;-9,85513e+04
5576  ;-0,357302  ;2,86118  ;6,40457  ;-9,85516e+04
9512  ;-0,326368  ;2,19737  ;7,08001  ;-9,85516e+04
4185  ;-6,59567  ;3,59464  ;1,51435  ;-9,85525e+04
10332  ;-9,6431  ;5,84235  ;5,70781  ;-9,85525e+04
11203  ;-2,21075  ;9,68908  ;7,06579  ;-9,85537e+04
7615  ;-1,15765  ;8,3389  ;6,73342  ;-9,85546e+04
7657  ;-0,666344  ;5,89788  ;4,71591  ;-9,85547e+04
11477  ;-9,69366  ;8,5352  ;7,53837  ;-9,85552e+04
8837  ;-0,321951  ;4,65214  ;5,67109  ;-9,85554e+04
6217  ;-9,30344  ;7,51397  ;6,27532  ;-9,85572e+04
7691  ;-5,96739  ;9,32685  ;4,70423  ;-9,85581e+04
7690  ;-6,85706  ;9,30346  ;5,36935  ;-9,85603e+04
6062  ;-5,1003  ;9,56596  ;1,37759  ;-9,85603e+04
11163  ;-9,68123  ;1,48091  ;7,53626  ;-9,85603e+04
7875  ;-7,5387  ;0,65952  ;6,35667  ;-9,85605e+04
1330  ;-1,90072  ;9,35347  ;2,57173  ;-9,85642e+04
6884  ;-9,68976  ;5,33374  ;5,70158  ;-9,85643e+04
1382  ;-0,631422  ;5,81816  ;2,14643  ;-9,85659e+04
7590  ;-7,72005  ;7,71422  ;0,998398  ;-9,85660e+04
3060  ;-7,42055  ;0  ;6,97797  ;-9,85680e+04
9681  ;-7,30748  ;9,35762  ;2,36812  ;-9,85681e+04
10837  ;-3,30825  ;9,20828  ;4,07164  ;-9,85681e+04
10834  ;-2,16231  ;10  ;7,24716  ;-9,85681e+04
10125  ;-1,30388  ;0,643102  ;7,52886  ;-9,85690e+04
8189  ;-8,52869  ;9,68114  ;7,55587  ;-9,85690e+04
5858  ;-9,31736  ;5,93283  ;4,6717  ;-9,85715e+04
974  ;-0,748642  ;3,14234  ;4,99641  ;-9,85715e+04
7963  ;-8,96013  ;8,30988  ;0,325701  ;-9,85716e+04
10988  ;-10  ;7,83774  ;7,24712  ;-9,85719e+04
11108  ;-9,4039  ;0,781008  ;7,82605  ;-9,85745e+04
3390  ;-9,1922  ;6,59872  ;4,07003  ;-9,85754e+04
9073  ;-8,54794  ;1,77312  ;5,7051  ;-9,85756e+04
6900  ;-8,97386  ;8,43766  ;7,02542  ;-9,85759e+04
6679  ;-4,16947  ;9,63376  ;5,71411  ;-9,85760e+04
6666  ;0  ;7,83771  ;7,24722  ;-9,85774e+04
290  ;-6,5  ;10  ;0,866025  ;-9,85785e+04
8439  ;-7,34482  ;0,658641  ;2,44387  ;-9,85798e+04
10423  ;-0,720466  ;3,65752  ;4,80438  ;-9,85819e+04
1516  ;-3,71988  ;0,73781  ;4,40304  ;-9,85841e+04
10967  ;-9,66948  ;1,14015  ;7,7666  ;-9,85853e+04
180  ;0  ;4,5  ;0,866025  ;-9,85856e+04
6954  ;-0,865726  ;8,05734  ;0  ;-9,85861e+04
5181  ;-7,93387  ;1,03899  ;6,16381  ;-9,85872e+04
10702  ;-0,772316  ;8,06378  ;6,98445  ;-9,85886e+04
11389  ;-9,28293  ;2,9668  ;5,61954  ;-9,85887e+04
8780  ;-8,97025  ;1,88146  ;6,56528  ;-9,85903e+04
7304  ;-1,23222  ;9,38023  ;7,60789  ;-9,85935e+04
1567  ;-1,61154  ;8,41361  ;5,67174  ;-9,85951e+04
9993  ;-0,689566  ;6,74961  ;5,30038  ;-9,85957e+04
7814  ;-8,96414  ;1,61175  ;7,09706  ;-9,85963e+04
6473  ;-1,35719  ;9,01565  ;7,3774  ;-9,85972e+04
11448  ;-0,616929  ;3,99983  ;2,04351  ;-9,85984e+04
11461  ;-9,30113  ;6,38935  ;4,98944  ;-9,85987e+04
