13:21; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SY (N/m^2)
9449  ;-2,66801  ;3,97078  ;0  ;-8,75757e+04
6269  ;-3,57757  ;6,83557  ;0  ;-8,75796e+04
10923  ;-5,00171  ;2,66069  ;0  ;-8,75846e+04
8921  ;-6,04143  ;2,65404  ;0  ;-8,75948e+04
621  ;-4,45564  ;2,66063  ;0  ;-8,76039e+04
625  ;-7,35242  ;6,53504  ;0  ;-8,76090e+04
10749  ;-7,3455  ;3,96806  ;0  ;-8,76091e+04
628  ;-7,36  ;3,48087  ;0  ;-8,76480e+04
7418  ;-5,27389  ;2,1964  ;0  ;-8,76576e+04
622  ;-3,46664  ;2,63921  ;0  ;-8,76633e+04
637  ;-2,64845  ;6,52001  ;0  ;-8,76757e+04
630  ;-3,46485  ;7,35276  ;0  ;-8,77217e+04
633  ;-6,52097  ;7,35166  ;0  ;-8,77231e+04
10753  ;-6,94753  ;3,0641  ;0  ;-8,77307e+04
7251  ;-4,99737  ;7,34031  ;0  ;-8,77308e+04
634  ;-2,64848  ;3,48036  ;0  ;-8,77365e+04
7978  ;-7,33075  ;5,00275  ;0  ;-8,77400e+04
619  ;-6,53507  ;2,64733  ;0  ;-8,77404e+04
7955  ;-6,9367  ;6,94335  ;0  ;-8,77444e+04
11174  ;-3,05756  ;3,05978  ;0  ;-8,77523e+04
5762  ;-3,05665  ;6,93638  ;0  ;-8,77564e+04
597  ;-1,73205  ;5  ;0  ;-8,78125e+04
8285  ;-1,73205  ;4,5  ;0  ;-8,78322e+04
7954  ;-7,38339  ;7,00041  ;0  ;-8,78520e+04
7245  ;-7,4128  ;3,03332  ;0  ;-8,78671e+04
5967  ;-2,59134  ;6,96718  ;0  ;-8,79164e+04
8337  ;-2,99952  ;2,61249  ;0  ;-8,79501e+04
8580  ;-4,22586  ;7,80422  ;0  ;-8,79604e+04
7252  ;-4,72586  ;7,80422  ;0  ;-8,79753e+04
3199  ;-1,73205  ;5,5  ;0  ;-8,80023e+04
598  ;-1,73205  ;4  ;0  ;-8,80137e+04
7004  ;-2,21001  ;5,76833  ;0  ;-8,80717e+04
611  ;-8,26795  ;6  ;0  ;-8,80815e+04
7005  ;-2,21001  ;5,26833  ;0  ;-8,80825e+04
6275  ;-10  ;4,5  ;1,73205  ;-8,80852e+04
8287  ;-2,20979  ;4,7306  ;0  ;-8,81059e+04
8372  ;-2,59044  ;3,03306  ;0  ;-8,81268e+04
5966  ;-2,99954  ;7,38355  ;0  ;-8,81418e+04
5211  ;-7,00034  ;2,61655  ;0  ;-8,81446e+04
605  ;-4  ;8,26795  ;0  ;-8,81512e+04
10908  ;-7,79948  ;4,22763  ;0  ;-8,81630e+04
8370  ;-4,22782  ;2,19634  ;0  ;-8,81706e+04
7956  ;-6,96766  ;7,40872  ;0  ;-8,81876e+04
8368  ;-3,73332  ;2,18563  ;0  ;-8,81943e+04
10922  ;-4,72782  ;2,19634  ;0  ;-8,81991e+04
8288  ;-2,20979  ;4,2306  ;0  ;-8,82059e+04
7117  ;-7,79922  ;5,27513  ;0  ;-8,82404e+04
7083  ;-7,79922  ;5,77513  ;0  ;-8,82407e+04
23  ;0  ;0  ;4  ;-8,82541e+04
8343  ;-2,19027  ;3,74018  ;0  ;-8,82548e+04
8316  ;-6,26753  ;2,18969  ;0  ;-8,82572e+04
264  ;-10  ;10  ;4  ;-8,82671e+04
7977  ;-7,79948  ;4,72763  ;0  ;-8,82717e+04
10417  ;-6,26049  ;7,80981  ;0  ;-8,82761e+04
41  ;-10  ;0  ;4  ;-8,82850e+04
623  ;-2,53239  ;2,58577  ;0  ;-8,82855e+04
148  ;0  ;10  ;4  ;-8,82862e+04
629  ;-2,53422  ;7,41435  ;0  ;-8,82873e+04
4210  ;-4,5  ;10  ;1,73205  ;-8,82897e+04
5423  ;-2,19025  ;6,26  ;0  ;-8,82978e+04
7085  ;-7,81018  ;6,26752  ;0  ;-8,83138e+04
3518  ;-10  ;5,5  ;1,73205  ;-8,83139e+04
10198  ;-5,77151  ;7,80404  ;0  ;-8,83158e+04
618  ;-7,46561  ;2,58576  ;0  ;-8,83379e+04
5954  ;-3,73242  ;7,81036  ;0  ;-8,83431e+04
9995  ;0  ;4,5  ;1,73205  ;-8,83435e+04
9388  ;-7,80673  ;6,78185  ;0  ;-8,83488e+04
7250  ;-5,27151  ;7,80404  ;0  ;-8,83538e+04
624  ;-7,41435  ;7,46578  ;0  ;-8,83552e+04
9419  ;-8,2645  ;6,51433  ;0  ;-8,83711e+04
5513  ;-10  ;0,433013  ;3,25  ;-8,83979e+04
10452  ;-7,81397  ;3,74044  ;0  ;-8,84043e+04
10221  ;0  ;0,43609  ;2,2449  ;-8,84333e+04
596  ;-1,73205  ;6  ;0  ;-8,84492e+04
6188  ;-10  ;9,56699  ;3,25  ;-8,84501e+04
5669  ;-0,433013  ;0  ;3,25  ;-8,84504e+04
6083  ;0  ;9,56699  ;3,25  ;-8,84565e+04
5509  ;-9,56699  ;0  ;3,25  ;-8,84754e+04
5422  ;-2,19025  ;6,76  ;0  ;-8,84757e+04
6085  ;-0,433013  ;10  ;3,25  ;-8,84778e+04
7246  ;-7,81397  ;3,24044  ;0  ;-8,84869e+04
6185  ;-9,56699  ;10  ;3,25  ;-8,84924e+04
9579  ;0  ;0,433013  ;3,25  ;-8,84924e+04
609  ;-8,26795  ;4  ;0  ;-8,85175e+04
610  ;-8,26795  ;5  ;0  ;-8,85188e+04
5956  ;-3,48567  ;8,2645  ;0  ;-8,85285e+04
5210  ;-6,78191  ;2,19303  ;0  ;-8,85382e+04
614  ;-4  ;1,73205  ;0  ;-8,85497e+04
7839  ;-10  ;9,56391  ;2,7449  ;-8,85526e+04
11031  ;-8,26795  ;4,5  ;0  ;-8,85549e+04
2936  ;-8,26795  ;5,5  ;0  ;-8,85752e+04
1927  ;-10  ;0,458098  ;2,72853  ;-8,85835e+04
5955  ;-3,21809  ;7,8069  ;0  ;-8,85934e+04
616  ;-6  ;1,73205  ;0  ;-8,85976e+04
8344  ;-2,19027  ;3,24018  ;0  ;-8,86050e+04
5667  ;-0,454983  ;0  ;2,73546  ;-8,86220e+04
8575  ;-6,76049  ;7,80981  ;0  ;-8,86281e+04
6254  ;0  ;9,5419  ;2,72853  ;-8,86350e+04
10444  ;-3,48565  ;1,73545  ;0  ;-8,86423e+04
8912  ;-5,5  ;0  ;1,73205  ;-8,86484e+04
8338  ;-3,21897  ;2,18902  ;0  ;-8,86641e+04
6414  ;-9,56391  ;10  ;2,2449  ;-8,86796e+04
9529  ;0  ;0,43609  ;2,7449  ;-8,86875e+04
7840  ;-9,56391  ;10  ;2,74491  ;-8,86959e+04
6495  ;-10  ;9,56391  ;2,2449  ;-8,87124e+04
3822  ;-2,75278  ;7,8377  ;0  ;-8,87318e+04
9389  ;-7,8377  ;7,24722  ;0  ;-8,87800e+04
613  ;-2,9713  ;1,73884  ;0  ;-8,87884e+04
6252  ;-0,43609  ;10  ;2,7449  ;-8,88033e+04
6993  ;-0,43609  ;10  ;2,2449  ;-8,88187e+04
599  ;-1,73205  ;3  ;0  ;-8,88220e+04
604  ;-5  ;8,26795  ;0  ;-8,88231e+04
5212  ;-7,24718  ;2,16225  ;0  ;-8,88270e+04
10453  ;-8,26795  ;3,5  ;0  ;-8,88279e+04
7930  ;-7,20718  ;7,86686  ;0  ;-8,88627e+04
7244  ;-7,86678  ;2,79288  ;0  ;-8,88630e+04
10776  ;-10  ;3,5  ;1,73205  ;-8,88674e+04
10631  ;-2,13314  ;7,20717  ;0  ;-8,88904e+04
8336  ;-2,75185  ;2,16231  ;0  ;-8,88988e+04
8373  ;-2,13222  ;2,79288  ;0  ;-8,89029e+04
1924  ;-9,54239  ;0  ;2,72632  ;-8,89246e+04
615  ;-5  ;1,73205  ;0  ;-8,89268e+04
612  ;-8,26104  ;7,02867  ;0  ;-8,89305e+04
5914  ;-3,5  ;0  ;1,73205  ;-8,89425e+04
1925  ;-9,54239  ;0  ;2,22632  ;-8,89512e+04
602  ;-7  ;8,26795  ;0  ;-8,89526e+04
8552  ;-5,5  ;8,26795  ;0  ;-8,89618e+04
6240  ;-3,48567  ;10  ;1,7355  ;-8,89687e+04
7239  ;-10  ;5,27414  ;2,19576  ;-8,89826e+04
8312  ;-4,22682  ;0  ;2,20079  ;-8,89870e+04
603  ;-6  ;8,26795  ;0  ;-8,89956e+04
5201  ;0  ;5,27283  ;2,1959  ;-8,90188e+04
11026  ;-10  ;4,22849  ;2,19593  ;-8,90315e+04
7241  ;-10  ;4,72849  ;2,19593  ;-8,90404e+04
595  ;-1,73205  ;7  ;0  ;-8,90571e+04
606  ;-2,97133  ;8,26104  ;0  ;-8,90585e+04
8309  ;-4,5  ;1,73205  ;0  ;-8,90639e+04
7420  ;-5,5  ;1,73205  ;0  ;-8,90772e+04
8641  ;-4,5  ;8,26795  ;0  ;-8,90902e+04
