13:36; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 10
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SX (N/m^2)
9013  ;-5,13658  ;4,67151  ;9,6965  ;1,70761e+05
10379  ;-7,79005  ;5,2693  ;10  ;1,70688e+05
6925  ;-5,42405  ;4,96538  ;9,6628  ;1,70415e+05
10666  ;-4,45869  ;5,27644  ;9,67952  ;1,68997e+05
6821  ;-4,34159  ;6,41503  ;10  ;1,68848e+05
10665  ;-4,46998  ;4,67463  ;9,67952  ;1,68729e+05
8631  ;-5,65174  ;6,41862  ;10  ;1,68609e+05
6776  ;-5,65603  ;3,57629  ;10  ;1,68328e+05
9519  ;0  ;0  ;1,5  ;1,68313e+05
9034  ;-4,34276  ;3,5791  ;10  ;1,67988e+05
6523  ;-4,76957  ;4,36676  ;9,6965  ;1,67973e+05
10664  ;-4,0229  ;4,98448  ;9,67952  ;1,67855e+05
6924  ;-6,03157  ;4,97344  ;9,6628  ;1,66985e+05
550  ;-3,68895  ;6,31172  ;10  ;1,66451e+05
551  ;-3,68652  ;3,68483  ;10  ;1,66449e+05
508  ;-8,26795  ;5  ;10  ;1,66061e+05
6522  ;-5,35914  ;4,30918  ;9,6965  ;1,66039e+05
552  ;-6,31307  ;3,67921  ;10  ;1,65982e+05
8571  ;-5,63704  ;5,3383  ;9,6628  ;1,65185e+05
520  ;-1,73205  ;5  ;10  ;1,65175e+05
6926  ;-5,64662  ;4,60304  ;9,6628  ;1,64974e+05
9720  ;-7,79005  ;5,7693  ;10  ;1,64832e+05
549  ;-6,30926  ;6,3189  ;10  ;1,64448e+05
7273  ;-5,15281  ;5,33667  ;9,62215  ;1,64404e+05
9597  ;-2,20049  ;4,22641  ;10  ;1,64342e+05
2404  ;-2,2008  ;5,77373  ;10  ;1,64336e+05
556  ;-4,999  ;3,47337  ;10  ;1,63914e+05
2428  ;-6,25  ;10  ;1,29904  ;1,63687e+05
554  ;-4,99422  ;6,51834  ;10  ;1,63626e+05
9719  ;-7,33187  ;6,02888  ;10  ;1,62546e+05
8788  ;-7,33613  ;3,97232  ;10  ;1,62507e+05
9238  ;-2,65443  ;3,96756  ;10  ;1,62458e+05
10372  ;-8,26795  ;5,5  ;10  ;1,62327e+05
8787  ;-7,79013  ;4,23158  ;10  ;1,62138e+05
8236  ;-2,65856  ;6,04181  ;10  ;1,62053e+05
3706  ;-8,26795  ;4,5  ;10  ;1,61884e+05
5020  ;-1,73205  ;4,5  ;10  ;1,61862e+05
9206  ;-6,26648  ;5,34473  ;9,64352  ;1,61777e+05
95  ;-4  ;0  ;1,73205  ;1,61656e+05
8826  ;-8,70096  ;5,25  ;10  ;1,61653e+05
2402  ;-1,73205  ;5,5  ;10  ;1,61624e+05
6741  ;-1,29904  ;5,25  ;10  ;1,61546e+05
7272  ;-4,7745  ;5,63373  ;9,62215  ;1,61421e+05
10672  ;-3,67828  ;4,68437  ;9,63866  ;1,61312e+05
8005  ;-6,33156  ;4,63903  ;9,64298  ;1,60805e+05
4811  ;-3,60244  ;5,28273  ;9,63232  ;1,60487e+05
7529  ;-4,12537  ;4,37452  ;9,63866  ;1,60138e+05
11034  ;-6,67774  ;5,03126  ;9,64667  ;1,59853e+05
7274  ;-5,3658  ;5,7096  ;9,62215  ;1,59842e+05
5021  ;-1,29904  ;4,75  ;10  ;1,59779e+05
8521  ;-4,03823  ;5,57469  ;9,63232  ;1,59681e+05
4813  ;-3,22236  ;4,96879  ;9,66008  ;1,58798e+05
