13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UY (mm)
9253  ;-6,82051  ;5,93124  ;0  ;0,00000e+00
7833  ;-8,30224  ;9,57036  ;0  ;0,00000e+00
3767  ;-3,75  ;9,56699  ;0  ;0,00000e+00
9287  ;-9,56529  ;8,74164  ;0  ;0,00000e+00
9290  ;-5,23324  ;5,28067  ;0  ;0,00000e+00
3765  ;-3,25  ;9,56699  ;0  ;0,00000e+00
3764  ;-3,5  ;10  ;0  ;0,00000e+00
9388  ;-7,80673  ;6,78185  ;0  ;0,00000e+00
9389  ;-7,8377  ;7,24722  ;0  ;0,00000e+00
9395  ;-10  ;5,5  ;0  ;0,00000e+00
9397  ;-10  ;7,5  ;0  ;0,00000e+00
11333  ;-8,70096  ;4,75  ;0  ;0,00000e+00
9398  ;-9,54502  ;7,76438  ;0  ;0,00000e+00
9400  ;-9,54502  ;7,26438  ;0  ;0,00000e+00
7759  ;-5  ;9,13398  ;0  ;0,00000e+00
9413  ;-9,56699  ;6,75  ;0  ;0,00000e+00
9416  ;-8,18105  ;7,6089  ;0  ;0,00000e+00
9418  ;-8,70096  ;6,25  ;0  ;0,00000e+00
9419  ;-8,2645  ;6,51433  ;0  ;0,00000e+00
11309  ;-5,65526  ;6,42406  ;0  ;0,00000e+00
11308  ;-4,05985  ;6,02362  ;0  ;0,00000e+00
2272  ;-10  ;0,5  ;0  ;0,00000e+00
11306  ;-5,27151  ;6,93802  ;0  ;0,00000e+00
9431  ;-5,27444  ;3,06707  ;0  ;0,00000e+00
9432  ;-5,65746  ;3,57946  ;0  ;0,00000e+00
9439  ;-2,72853  ;0,458097  ;0  ;0,00000e+00
9440  ;-3,25  ;0,433013  ;0  ;0,00000e+00
7685  ;-2,73562  ;9,54502  ;0  ;0,00000e+00
7683  ;-2,23562  ;9,54502  ;0  ;0,00000e+00
9449  ;-2,66801  ;3,97078  ;0  ;0,00000e+00
7682  ;-2,5  ;10  ;0  ;0,00000e+00
7647  ;-3,23567  ;8,69751  ;0  ;0,00000e+00
134  ;0  ;1  ;0  ;0,00000e+00
135  ;0  ;2  ;0  ;0,00000e+00
136  ;0  ;3  ;0  ;0,00000e+00
137  ;0  ;4  ;0  ;0,00000e+00
138  ;0  ;5  ;0  ;0,00000e+00
139  ;0  ;6  ;0  ;0,00000e+00
140  ;0  ;7  ;0  ;0,00000e+00
141  ;0  ;8  ;0  ;0,00000e+00
142  ;0  ;9  ;0  ;0,00000e+00
