13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UX (mm)
9754  ;-2,44948  ;10  ;8,22852  ;7,34823e-07
358  ;-5  ;10  ;6,5359  ;7,34819e-07
10823  ;-3,73891  ;10  ;7,80898  ;7,34817e-07
10877  ;-6,25958  ;10  ;7,81396  ;7,34792e-07
9149  ;-6,03125  ;10  ;7,35008  ;7,34711e-07
10822  ;-3,96587  ;10  ;7,34525  ;7,34666e-07
1886  ;-9,56529  ;10  ;8,24165  ;7,34592e-07
11301  ;-0,434705  ;10  ;8,24165  ;7,34531e-07
314  ;-8,10105  ;10  ;8,18914  ;7,34502e-07
313  ;-1,89896  ;10  ;8,18909  ;7,34452e-07
8222  ;-5,92725  ;10  ;6,82745  ;7,34442e-07
11079  ;-6,75958  ;10  ;7,81396  ;7,34440e-07
11003  ;-4,07212  ;10  ;6,82939  ;7,34436e-07
6811  ;-3,23891  ;10  ;7,80898  ;7,34407e-07
8223  ;-5,65558  ;10  ;6,4253  ;7,34284e-07
5271  ;-4,34516  ;10  ;6,42709  ;7,34278e-07
349  ;-6,51916  ;10  ;7,35996  ;7,34135e-07
11078  ;-7,20718  ;10  ;7,86686  ;7,34110e-07
6813  ;-2,79284  ;10  ;7,8668  ;7,34093e-07
345  ;-3,47782  ;10  ;7,35  ;7,34075e-07
5272  ;-4,71492  ;10  ;6,13264  ;7,33980e-07
9157  ;-5,3067  ;10  ;6,06316  ;7,33764e-07
6826  ;-6,41516  ;10  ;6,83733  ;7,33633e-07
10998  ;-3,58407  ;10  ;6,83414  ;7,33618e-07
6896  ;-6,96676  ;10  ;7,41287  ;7,33565e-07
11268  ;-7,7577  ;10  ;7,82746  ;7,33521e-07
6812  ;-3,03175  ;10  ;7,40783  ;7,33507e-07
10833  ;-2,24232  ;10  ;7,82737  ;7,33478e-07
9796  ;-9,11031  ;10  ;8,00602  ;7,33462e-07
3304  ;-0,889687  ;10  ;8,00602  ;7,33374e-07
260  ;-10  ;10  ;8  ;7,33368e-07
144  ;0  ;10  ;8  ;7,33262e-07
8188  ;-8,59554  ;10  ;7,85894  ;7,32959e-07
333  ;-7,41436  ;10  ;7,46578  ;7,32944e-07
344  ;-2,58568  ;10  ;7,46565  ;7,32906e-07
3303  ;-1,40446  ;10  ;7,85892  ;7,32875e-07
356  ;-6,31117  ;10  ;6,3147  ;7,32760e-07
353  ;-3,69032  ;10  ;6,31828  ;7,32750e-07
6827  ;-6,93583  ;10  ;6,94747  ;7,32728e-07
5273  ;-4,06008  ;10  ;6,02383  ;7,32721e-07
8242  ;-3,06198  ;10  ;6,94122  ;7,32681e-07
9300  ;-5,96229  ;10  ;5,95256  ;7,32404e-07
8187  ;-8,18105  ;10  ;7,6089  ;7,32353e-07
8559  ;-1,81895  ;10  ;7,60888  ;7,32302e-07
9158  ;-5,02163  ;10  ;5,65991  ;7,32249e-07
11015  ;-9,54502  ;10  ;7,76438  ;7,32180e-07
364  ;-4,42984  ;10  ;5,72939  ;7,32142e-07
