13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UX (mm)
11328  ;-10  ;0  ;8,5  ;-7,35688e-07
7344  ;-4,75  ;0  ;8,70096  ;-7,35731e-07
10409  ;-5,25  ;0  ;8,70096  ;-7,35742e-07
8982  ;-5,75  ;0  ;8,70096  ;-7,35743e-07
5553  ;-4,25  ;0  ;8,70096  ;-7,35758e-07
8387  ;0  ;0  ;8,5  ;-7,35807e-07
3193  ;-6,25  ;0  ;8,70096  ;-7,35844e-07
5552  ;-3,75  ;0  ;8,70096  ;-7,35873e-07
5872  ;-3,25  ;0  ;8,70096  ;-7,35978e-07
3195  ;-6,75  ;0  ;8,70096  ;-7,35994e-07
9501  ;-7,25  ;0  ;8,70096  ;-7,36112e-07
9354  ;-2,19437  ;0  ;8,65848  ;-7,36129e-07
62  ;-9,11776  ;0  ;8,6097  ;-7,36132e-07
5871  ;-2,7449  ;0  ;8,69789  ;-7,36144e-07
9502  ;-7,80023  ;0  ;8,66197  ;-7,36149e-07
7949  ;-8,28541  ;0  ;8,67281  ;-7,36294e-07
8481  ;-1,64724  ;0  ;8,66493  ;-7,36353e-07
10410  ;-5  ;0  ;9,13398  ;-7,36654e-07
66  ;-4,5  ;0  ;9,13398  ;-7,36674e-07
73  ;-5,5  ;0  ;9,13398  ;-7,36698e-07
8981  ;-6  ;0  ;9,13398  ;-7,36936e-07
5551  ;-4  ;0  ;9,13398  ;-7,36964e-07
7569  ;-0,434705  ;0  ;8,74164  ;-7,37080e-07
71  ;-6,5  ;0  ;9,13398  ;-7,37195e-07
67  ;-3,5  ;0  ;9,13398  ;-7,37215e-07
5563  ;-1,13247  ;0  ;8,81201  ;-7,37269e-07
10134  ;-9,55888  ;0  ;8,80485  ;-7,37330e-07
8433  ;-8,79407  ;0  ;8,88268  ;-7,37563e-07
8404  ;-7  ;0  ;9,13398  ;-7,37616e-07
5870  ;-2,9949  ;0  ;9,1309  ;-7,37654e-07
11234  ;-5,25  ;0  ;9,56699  ;-7,37956e-07
10574  ;-4,75  ;0  ;9,56699  ;-7,37958e-07
63  ;-7,5  ;0  ;9,13398  ;-7,38033e-07
68  ;-2,4898  ;0  ;9,12782  ;-7,38038e-07
5569  ;-4,25  ;0  ;9,56699  ;-7,38185e-07
11232  ;-5,75  ;0  ;9,56699  ;-7,38192e-07
9937  ;-7,98519  ;0  ;9,14482  ;-7,38557e-07
36  ;-10  ;0  ;9  ;-7,38585e-07
5568  ;-3,75  ;0  ;9,56699  ;-7,38600e-07
6886  ;-6,25  ;0  ;9,56699  ;-7,38606e-07
7352  ;-1,94266  ;0  ;9,13427  ;-7,38630e-07
18  ;0  ;0  ;9  ;-7,38662e-07
70  ;-8,47037  ;0  ;9,15567  ;-7,38993e-07
5106  ;-0,697764  ;0  ;9,07036  ;-7,39062e-07
69  ;-1,39553  ;0  ;9,14073  ;-7,39082e-07
6887  ;-6,75  ;0  ;9,56699  ;-7,39182e-07
9359  ;-3,25  ;0  ;9,56699  ;-7,39201e-07
31  ;-5  ;0  ;10  ;-7,39476e-07
11233  ;-5,5  ;0  ;10  ;-7,39662e-07
10573  ;-4,5  ;0  ;10  ;-7,39671e-07
8149  ;-7,25  ;0  ;9,56699  ;-7,39885e-07
9340  ;-2,7449  ;0  ;9,56391  ;-7,39887e-07
32  ;-4  ;0  ;10  ;-7,40069e-07
30  ;-6  ;0  ;10  ;-7,40077e-07
10132  ;-9,05888  ;0  ;9,30485  ;-7,40388e-07
10579  ;-7,75  ;0  ;9,56699  ;-7,40644e-07
7353  ;-2,2449  ;0  ;9,56391  ;-7,40676e-07
9358  ;-3,5  ;0  ;10  ;-7,40839e-07
6885  ;-6,5  ;0  ;10  ;-7,40853e-07
10580  ;-8,23519  ;0  ;9,57783  ;-7,41381e-07
7332  ;-1,69776  ;0  ;9,57036  ;-7,41480e-07
33  ;-3  ;0  ;10  ;-7,41750e-07
29  ;-7  ;0  ;10  ;-7,41772e-07
10135  ;-9,5  ;0  ;9,5  ;-7,41920e-07
6335  ;-10  ;0  ;9,5  ;-7,41948e-07
5108  ;-0,5  ;0  ;9,5  ;-7,41997e-07
7971  ;-8,73519  ;0  ;9,57783  ;-7,42001e-07
5107  ;-1,19776  ;0  ;9,57036  ;-7,42097e-07
11439  ;0  ;0  ;9,5  ;-7,42102e-07
11206  ;-7,5  ;0  ;10  ;-7,42817e-07
9496  ;-2,5  ;0  ;10  ;-7,42833e-07
28  ;-8  ;0  ;10  ;-7,43849e-07
34  ;-2  ;0  ;10  ;-7,43880e-07
10703  ;-8,5  ;0  ;10  ;-7,44727e-07
7331  ;-1,5  ;0  ;10  ;-7,44790e-07
27  ;-9  ;0  ;10  ;-7,45409e-07
35  ;-1  ;0  ;10  ;-7,45431e-07
10677  ;-9,5  ;0  ;10  ;-7,45709e-07
11440  ;-0,5  ;0  ;10  ;-7,45762e-07
4  ;-10  ;0  ;10  ;-7,45788e-07
3  ;0  ;0  ;10  ;-7,45854e-07
