13:21; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SZ (N/m^2)
9370  ;-2,30379  ;0,61921  ;5,30473  ;3,48810e+02
5834  ;-8,15835  ;8,67049  ;7,08492  ;3,48124e+02
6692  ;-1,36607  ;7,03679  ;9,67417  ;3,47984e+02
2964  ;-2,14858  ;6,69696  ;7,24707  ;3,47586e+02
2261  ;-8,30771  ;2,93028  ;8,03848  ;3,46692e+02
4360  ;-2,32661  ;2,12056  ;6,74194  ;3,46564e+02
7795  ;-2,97003  ;9,24591  ;5,53731  ;3,46516e+02
4750  ;-1,95856  ;6,20713  ;7,39556  ;3,46515e+02
6031  ;-1,29904  ;0  ;4,75  ;3,46257e+02
7547  ;-1,67903  ;1,1125  ;9,66806  ;3,46133e+02
8187  ;-8,18105  ;10  ;7,6089  ;3,45866e+02
8283  ;-1,72833  ;5,51282  ;7,96933  ;3,45759e+02
3338  ;-2,59451  ;3,51439  ;7,00082  ;3,45603e+02
7690  ;-6,85706  ;9,30346  ;5,36935  ;3,45535e+02
760  ;-5,75439  ;2,86941  ;6,73436  ;3,45453e+02
5357  ;-8,35449  ;8,0267  ;8,24517  ;3,45032e+02
1760  ;-4,12196  ;2,87499  ;6,75076  ;3,45004e+02
11019  ;-8,52094  ;9,68522  ;5,58685  ;3,44846e+02
5175  ;-8,23239  ;3,56528  ;7,86236  ;3,44543e+02
2733  ;-1,86729  ;7,37863  ;7,4981  ;3,44450e+02
9957  ;-1,81895  ;0  ;7,6089  ;3,44285e+02
6029  ;-1,29904  ;0  ;4,25  ;3,44285e+02
6538  ;-8,18677  ;0  ;7,60747  ;3,44246e+02
2731  ;-1,77258  ;7,60757  ;7,9022  ;3,44149e+02
7424  ;-8,35352  ;9,04124  ;8,15743  ;3,43798e+02
10898  ;-1,62946  ;0,610354  ;6,84867  ;3,42962e+02
7308  ;-1,72784  ;8,9939  ;6,74552  ;3,42729e+02
193  ;0  ;1,81087  ;1,89895  ;3,42313e+02
6643  ;-8,32526  ;0,651655  ;8,40379  ;3,42167e+02
2507  ;-7,64231  ;4,00816  ;7,07018  ;3,41616e+02
10286  ;0  ;4,22696  ;2,19581  ;3,40890e+02
5596  ;-1,33509  ;9,67163  ;5,02366  ;3,40633e+02
5019  ;-1,29904  ;4,25  ;10  ;3,40613e+02
9786  ;-8,56662  ;7,39132  ;9,68725  ;3,40453e+02
10803  ;0  ;1,34152  ;2,19438  ;3,40114e+02
6019  ;-8,29172  ;9,09057  ;7,47819  ;3,39788e+02
11215  ;-9,10938  ;0  ;2,97632  ;3,39724e+02
7743  ;-1,60854  ;9,35474  ;6,74577  ;3,39457e+02
5021  ;-1,29904  ;4,75  ;10  ;3,39029e+02
1226  ;-1,8113  ;1,35561  ;7,00385  ;3,38889e+02
4616  ;-2,30795  ;4,72142  ;7,10737  ;3,38622e+02
3436  ;-6,2418  ;2,95088  ;6,77895  ;3,38615e+02
7169  ;-1,52791  ;3,04506  ;8,48815  ;3,38602e+02
6013  ;-8,33557  ;8,9072  ;9,66788  ;3,38180e+02
7036  ;-6,31578  ;1,07824  ;5,85337  ;3,37773e+02
52  ;-0,909966  ;0  ;2,47092  ;3,37527e+02
875  ;-3,90412  ;8,55319  ;6,14941  ;3,37029e+02
4448  ;-8,13526  ;6,11652  ;7,50382  ;3,36752e+02
4661  ;-8,30615  ;5,20556  ;7,84259  ;3,36683e+02
8713  ;-0,309386  ;4,54523  ;1,39487  ;3,35965e+02
5188  ;-8,34238  ;1,97208  ;7,86009  ;3,35926e+02
2561  ;-8,02901  ;3,67065  ;7,45318  ;3,35797e+02
7184  ;0  ;2,75278  ;2,1623  ;3,35238e+02
3518  ;-10  ;5,5  ;1,73205  ;3,34963e+02
4697  ;-8,36469  ;7,29464  ;8,12338  ;3,34642e+02
6011  ;-8,49629  ;8,17627  ;9,6727  ;3,34553e+02
2534  ;-5,18839  ;5,18149  ;6,89976  ;3,34415e+02
5972  ;-7,19438  ;8,23561  ;6,33999  ;3,34384e+02
5595  ;-1,33509  ;9,67163  ;5,52366  ;3,33664e+02
2203  ;-7,4915  ;6,08845  ;6,91191  ;3,33438e+02
6322  ;-4,58585  ;9,65053  ;5,07671  ;3,33380e+02
5587  ;-1,29904  ;10  ;3,75  ;3,33183e+02
3945  ;-2,75989  ;2,49974  ;6,76379  ;3,32925e+02
2549  ;-1,44009  ;7,50782  ;9,68296  ;3,32833e+02
7914  ;-10  ;10  ;2,5  ;3,32267e+02
5948  ;0  ;6,76054  ;2,1911  ;3,32121e+02
830  ;-7,61842  ;7,1858  ;6,85792  ;3,31901e+02
2538  ;-4,57468  ;6,56737  ;6,82299  ;3,31895e+02
307  ;-0,872179  ;10  ;2,4898  ;3,31261e+02
6486  ;-10  ;9,57036  ;1,69776  ;3,30538e+02
7174  ;-1,40707  ;2,78508  ;9,0212  ;3,30229e+02
6741  ;-1,29904  ;5,25  ;10  ;3,30003e+02
10202  ;-8,45983  ;9,20544  ;5,93741  ;3,29721e+02
7618  ;-1,89874  ;8,44892  ;6,59648  ;3,27587e+02
8435  ;-8,70096  ;0  ;5,25  ;3,27377e+02
8132  ;-8,44837  ;1,02064  ;8,6588  ;3,27367e+02
10918  ;-8,03377  ;9,21145  ;5,35544  ;3,27153e+02
10887  ;-8,35046  ;9,19059  ;9,47074  ;3,26808e+02
6595  ;-1,48643  ;1,28829  ;9,35311  ;3,26715e+02
1977  ;-5,59037  ;9,30844  ;5,5814  ;3,26096e+02
7340  ;-4,32882  ;1,02317  ;5,88123  ;3,25359e+02
2962  ;-2,50716  ;6,50899  ;6,9738  ;3,25258e+02
3999  ;-7,83995  ;4,88404  ;7,16438  ;3,25247e+02
3694  ;-8,13551  ;8,24579  ;6,90522  ;3,25093e+02
2522  ;-6,61681  ;6,1934  ;6,87626  ;3,23859e+02
9211  ;-1,48518  ;8,29455  ;8,94602  ;3,23804e+02
5904  ;-1,51611  ;0,946281  ;9,15364  ;3,23154e+02
2955  ;-3,05646  ;6,16994  ;6,81905  ;3,22356e+02
6135  ;-1,76497  ;9,57772  ;10  ;3,22356e+02
3492  ;-4,95806  ;2,52505  ;6,66568  ;3,21915e+02
8826  ;-8,70096  ;5,25  ;10  ;3,21717e+02
1148  ;-8,76517  ;5,23383  ;9,25666  ;3,21164e+02
5829  ;-1,29904  ;10  ;4,25  ;3,21038e+02
4920  ;-8,59072  ;1,65517  ;9,32054  ;3,20241e+02
10122  ;-1,60706  ;1,01381  ;7,50387  ;3,20192e+02
1137  ;-1,58173  ;4,98255  ;8,07728  ;3,20018e+02
3739  ;-2,37409  ;3,06386  ;6,86876  ;3,19750e+02
5520  ;-8,43944  ;0,974617  ;7,96121  ;3,19573e+02
6202  ;-7,25099  ;8,65979  ;5,96628  ;3,18975e+02
4699  ;-8,04638  ;6,78195  ;7,34447  ;3,18499e+02
6018  ;-8,37763  ;9,3713  ;7,32148  ;3,18384e+02
8194  ;-1,39346  ;2,3596  ;8,90899  ;3,18119e+02
1907  ;-4,00803  ;6,26287  ;6,82916  ;3,18056e+02
2614  ;-8,57299  ;0,31134  ;5,48086  ;3,17697e+02
5593  ;-1,29904  ;10  ;5,25  ;3,17149e+02
2521  ;-7,55926  ;5,40539  ;6,97593  ;3,16906e+02
5584  ;-8,32623  ;1,47996  ;7,143  ;3,16854e+02
70  ;-8,47037  ;0  ;9,15567  ;3,16742e+02
5830  ;-1,87647  ;9,56344  ;4,79826  ;3,16373e+02
8284  ;-1,76375  ;5,34299  ;7,56957  ;3,16188e+02
10897  ;-1,59673  ;0,627361  ;7,27837  ;3,16173e+02
6769  ;-8,50543  ;4,78307  ;8,29116  ;3,15552e+02
6475  ;-1,78074  ;8,01088  ;7,30406  ;3,15472e+02
4508  ;-8,16645  ;2,48782  ;7,40958  ;3,14785e+02
4613  ;-1,51685  ;4,22879  ;8,20367  ;3,14599e+02
1452  ;-2,02083  ;9,12607  ;5,40694  ;3,14372e+02
9553  ;-1,56984  ;9,34773  ;7,85906  ;3,14146e+02
3399  ;-1,45986  ;9,70454  ;6,49235  ;3,14084e+02
4614  ;-1,67895  ;3,64053  ;7,76538  ;3,14062e+02
8102  ;-1,71569  ;8,67164  ;10  ;3,13984e+02
6478  ;-1,57722  ;8,58982  ;8,16306  ;3,13477e+02
4450  ;-8,24698  ;5,66581  ;7,63256  ;3,13445e+02
1892  ;-1,75406  ;8,48733  ;7,08028  ;3,13445e+02
7949  ;-8,28541  ;0  ;8,67281  ;3,13249e+02
3072  ;-8,70096  ;10  ;5,25  ;3,13181e+02
7579  ;-1,65088  ;0,336003  ;8,09652  ;3,12950e+02
1519  ;-1,34264  ;8,03168  ;9,33601  ;3,11805e+02
6845  ;-8,07839  ;9,6747  ;4,56682  ;3,11409e+02
5657  ;-8,5843  ;1,32655  ;8,98405  ;3,10557e+02
1280  ;-6,28537  ;1,45304  ;6,10017  ;3,10508e+02
2822  ;-6,81096  ;4,889  ;6,81961  ;3,10274e+02
10118  ;-8,70096  ;4,25  ;10  ;3,10261e+02
10371  ;-8,70096  ;5,75  ;10  ;3,10194e+02
3335  ;-2,90909  ;7,02415  ;6,70353  ;3,10185e+02
9935  ;0  ;0,869102  ;2,9949  ;3,10040e+02
1893  ;-1,64459  ;9,01574  ;7,23562  ;3,09928e+02
10144  ;-8,36227  ;1,07278  ;9,66737  ;3,09738e+02
8438  ;-7,90989  ;1,03873  ;5,59487  ;3,09326e+02
5361  ;-8,64445  ;7,87534  ;8,90333  ;3,09314e+02
9760  ;-1,46142  ;0,617722  ;6,32607  ;3,09231e+02
1225  ;-2,20856  ;1,50492  ;6,0942  ;3,08909e+02
6584  ;-8,70096  ;0  ;4,25  ;3,08680e+02
8195  ;-1,44852  ;2,00947  ;8,60691  ;3,08579e+02
1730  ;-4,21877  ;3,75069  ;6,79512  ;3,08568e+02
9945  ;-1,73763  ;0,720982  ;5,07728  ;3,08477e+02
11010  ;-8,70096  ;10  ;5,75  ;3,08235e+02
7397  ;-8,70096  ;0  ;3,75  ;3,07738e+02
3491  ;-5,25712  ;2,19466  ;6,5528  ;3,07711e+02
4439  ;-8,22666  ;4,54654  ;7,54738  ;3,07469e+02
816  ;-5,68651  ;7,1588  ;6,66648  ;3,07224e+02
7454  ;-7,584  ;0,650667  ;5,14828  ;3,07189e+02
7170  ;-1,4948  ;2,63166  ;8,2849  ;3,07067e+02
224  ;0  ;7,41487  ;2,53226  ;3,06928e+02
9906  ;-8,72142  ;4,21242  ;8,83683  ;3,06322e+02
2262  ;-8,24402  ;3,17877  ;7,49412  ;3,05873e+02
2366  ;-3,39771  ;7,50735  ;6,58325  ;3,05675e+02
11012  ;-8,63986  ;9,52022  ;6,10056  ;3,05656e+02
5370  ;-8,39072  ;8,2501  ;7,64668  ;3,05597e+02
7607  ;-8,5063  ;0,668566  ;8,93686  ;3,05331e+02
3705  ;-2,37528  ;5,07339  ;7,00209  ;3,05266e+02
8827  ;-8,70096  ;4,75  ;10  ;3,05095e+02
9463  ;-1,30046  ;0,314467  ;6,0043  ;3,05079e+02
9522  ;0  ;0,429637  ;1,69776  ;3,04771e+02
1220  ;-3,7188  ;1,41994  ;6,06958  ;3,04455e+02
3947  ;-1,97648  ;2,88843  ;7,1672  ;3,04412e+02
3691  ;-1,30458  ;5,03966  ;8,66372  ;3,04373e+02
1748  ;-3,42402  ;2,25515  ;6,51107  ;3,03474e+02
8436  ;-8,73786  ;0,491945  ;5,08361  ;3,03437e+02
5435  ;-1,72201  ;1,70957  ;7,2427  ;3,03376e+02
4130  ;-8,32791  ;8,87111  ;6,11934  ;3,02949e+02
5236  ;-5,90188  ;7,97675  ;6,44273  ;3,02860e+02
5178  ;-8,42594  ;4,12404  ;7,99596  ;3,02760e+02
7368  ;-1,93389  ;5,53722  ;7,25855  ;3,02751e+02
4610  ;-1,74383  ;4,39429  ;7,63899  ;3,02703e+02
11305  ;-1,36836  ;5,5775  ;8,59923  ;3,02686e+02
6768  ;-8,6936  ;5,23443  ;8,70796  ;3,02619e+02
5191  ;-8,31036  ;1,74158  ;7,4815  ;3,02125e+02
1024  ;-8,54365  ;8,37205  ;8,57037  ;3,02063e+02
7172  ;-1,33113  ;3,21505  ;8,86312  ;3,02031e+02
7565  ;-1,29904  ;0  ;5,75  ;3,01902e+02
3453  ;-6,31291  ;5,01407  ;6,83364  ;3,01884e+02
6015  ;-8,51562  ;9,36745  ;6,81302  ;3,01687e+02
1308  ;-1,45197  ;3,47503  ;8,33007  ;3,01319e+02
2195  ;-6,95936  ;6,44141  ;6,79079  ;3,01197e+02
3306  ;-1,58786  ;9,67569  ;8,21008  ;3,01146e+02
10146  ;-7,94502  ;8,07398  ;6,49276  ;3,01137e+02
8855  ;-1,47448  ;6,97532  ;8,18244  ;3,00869e+02
5185  ;-8,32067  ;1,14296  ;6,54325  ;3,00773e+02
3340  ;-2,48061  ;4,1248  ;6,92003  ;3,00763e+02
2819  ;-7,2351  ;4,539  ;6,85989  ;3,00742e+02
6016  ;-8,42971  ;9,08671  ;6,96974  ;3,00404e+02
6985  ;-7,60553  ;8,27443  ;6,29145  ;3,00046e+02
5621  ;-1,91792  ;7,08235  ;7,16748  ;2,99897e+02
4494  ;-6,84061  ;1,93803  ;6,39126  ;2,99275e+02
6758  ;-8,6271  ;3,21076  ;8,45579  ;2,99057e+02
7794  ;-3,0659  ;8,82795  ;5,84915  ;2,98707e+02
7277  ;-10  ;5,77414  ;2,19576  ;2,98583e+02
10186  ;-8,40688  ;8,66201  ;6,79004  ;2,98489e+02
6472  ;-1,52529  ;9,37658  ;7,23588  ;2,98275e+02
1075  ;-1,90593  ;3,80604  ;7,20069  ;2,98074e+02
841  ;-8,56404  ;6,90792  ;8,32679  ;2,97765e+02
7566  ;-1,37441  ;0,307093  ;5,56822  ;2,97035e+02
8250  ;-8,52391  ;2,68204  ;8,28409  ;2,96697e+02
4823  ;-1,30485  ;9,42142  ;6,08845  ;2,96494e+02
2031  ;-4,6281  ;5,28639  ;6,82841  ;2,96342e+02
9179  ;-5,20631  ;9,68618  ;4,98863  ;2,96340e+02
3260  ;-4,6969  ;7,31595  ;6,71289  ;2,96062e+02
446  ;-10  ;7,46578  ;2,58565  ;2,95948e+02
9949  ;-1,46  ;0,303255  ;6,57176  ;2,95859e+02
1413  ;-2,37122  ;8,21044  ;6,20876  ;2,95676e+02
5796  ;-1,29904  ;5,75  ;10  ;2,95642e+02
11398  ;-5,27609  ;0,641982  ;5,42188  ;2,95343e+02
5611  ;-8,59697  ;0,311595  ;6,54979  ;2,95218e+02
3956  ;-2,05569  ;2,58767  ;6,80194  ;2,94971e+02
10151  ;-8,62735  ;1,97434  ;9,65317  ;2,94548e+02
4132  ;-8,05654  ;8,45489  ;6,23452  ;2,94344e+02
7635  ;-1,82047  ;8,85701  ;6,08929  ;2,94250e+02
4133  ;-8,1602  ;8,87904  ;5,67315  ;2,93663e+02
11064  ;-8,35276  ;10  ;8,66493  ;2,93594e+02
10569  ;-8,30498  ;0,441239  ;10  ;2,93535e+02
8883  ;-1,47195  ;0,307099  ;7,04124  ;2,93465e+02
5190  ;-8,13443  ;2,25732  ;7,03099  ;2,93415e+02
9191  ;-8,52448  ;9,69016  ;7,04432  ;2,93194e+02
5332  ;-8,70096  ;0  ;5,75  ;2,93140e+02
7279  ;-1,36453  ;7,73245  ;8,54606  ;2,93115e+02
3331  ;-3,51091  ;4,221  ;6,80617  ;2,93087e+02
4698  ;-8,26977  ;7,197  ;7,45035  ;2,92853e+02
3693  ;-8,09443  ;7,57762  ;6,93596  ;2,92411e+02
749  ;-1,52672  ;8,62222  ;7,77009  ;2,92256e+02
1491  ;-1,21028  ;2,95507  ;9,39617  ;2,92185e+02
10354  ;-8,85083  ;3,54659  ;9,33608  ;2,91777e+02
7201  ;-4,69948  ;0,631001  ;5,41229  ;2,91670e+02
4746  ;-1,61715  ;4,81271  ;7,67752  ;2,91566e+02
2245  ;-8,70379  ;6,91246  ;8,79591  ;2,91261e+02
6479  ;-1,45224  ;8,95439  ;8,39355  ;2,90823e+02
8481  ;-1,64724  ;0  ;8,66493  ;2,90798e+02
1479  ;-7,44055  ;9,32791  ;5,11273  ;2,90731e+02
6153  ;-1,64758  ;10  ;8,66492  ;2,90442e+02
5797  ;-1,29904  ;6,25  ;10  ;2,90355e+02
1407  ;-1,63271  ;2,06353  ;7,48155  ;2,90185e+02
6646  ;-8,49758  ;0,632118  ;7,85168  ;2,89432e+02
11062  ;-8,30499  ;9,55877  ;10  ;2,88196e+02
5677  ;-8,56254  ;1,3436  ;8,21622  ;2,87703e+02
8201  ;-1,46295  ;1,7337  ;8,02457  ;2,87684e+02
7606  ;-8,64224  ;0,974481  ;9,26211  ;2,87639e+02
7333  ;-1,69501  ;0,441227  ;10  ;2,87348e+02
5622  ;-1,56919  ;6,74638  ;7,77833  ;2,87277e+02
3330  ;-3,1692  ;3,83315  ;6,72016  ;2,87124e+02
7339  ;-3,68449  ;1,06274  ;5,77753  ;2,86663e+02
5620  ;-1,83136  ;7,71459  ;6,97345  ;2,86382e+02
3398  ;-1,46331  ;9,70454  ;7,00669  ;2,85778e+02
9688  ;-10  ;1,40879  ;2,13469  ;2,85687e+02
6598  ;-8,53387  ;6,53172  ;8,03301  ;2,85627e+02
10374  ;-8,70096  ;6,25  ;10  ;2,84963e+02
7903  ;-3,1389  ;8,28165  ;6,25832  ;2,84943e+02
9423  ;-3,18749  ;0,664891  ;5,22926  ;2,84775e+02
7951  ;-8,45413  ;0,326026  ;8,15665  ;2,84443e+02
2562  ;-8,07633  ;4,25448  ;7,18585  ;2,84377e+02
1000  ;-2,04219  ;6,37115  ;6,92973  ;2,84259e+02
2479  ;-3,37858  ;5,37718  ;6,78157  ;2,84230e+02
8964  ;-1,29904  ;3,75  ;10  ;2,83977e+02
3556  ;-3,33583  ;4,75243  ;6,79114  ;2,83969e+02
1935  ;-6,14322  ;3,93713  ;6,75618  ;2,83891e+02
2672  ;-8,07052  ;6,39508  ;7,12458  ;2,83126e+02
3271  ;-4,65228  ;7,84787  ;6,47291  ;2,83018e+02
75  ;-9,13398  ;0  ;3,5  ;2,83001e+02
2533  ;-5,79927  ;5,16262  ;6,7938  ;2,82980e+02
9761  ;-1,37583  ;0,62156  ;5,82252  ;2,82799e+02
6234  ;-1,40841  ;1,56764  ;9,68505  ;2,82732e+02
10119  ;-8,70096  ;3,75  ;10  ;2,82643e+02
4005  ;-8,04064  ;3,28413  ;7,08493  ;2,82457e+02
4821  ;-1,29904  ;10  ;5,75  ;2,82225e+02
1727  ;-3,87705  ;3,36284  ;6,70912  ;2,81671e+02
8202  ;-1,51777  ;1,36777  ;7,74273  ;2,81648e+02
6131  ;-3,15224  ;1,50111  ;6,1009  ;2,80413e+02
76  ;-9,08478  ;0  ;2,45264  ;2,80077e+02
8125  ;-1,38837  ;9,15769  ;9,13167  ;2,79496e+02
10126  ;-1,50812  ;0,984903  ;7,02883  ;2,79486e+02
9442  ;-1,29904  ;0  ;3,75  ;2,79428e+02
4626  ;-1,64583  ;3,22714  ;7,56214  ;2,78918e+02
6464  ;-8,70096  ;10  ;3,75  ;2,78740e+02
4481  ;-4,33241  ;9,0434  ;5,70681  ;2,78696e+02
3071  ;-8,71657  ;9,43587  ;4,87331  ;2,77660e+02
2729  ;-1,35375  ;7,46076  ;8,22475  ;2,77310e+02
5183  ;-8,1503  ;1,9957  ;6,69249  ;2,75834e+02
1447  ;-1,155  ;6,17245  ;9,12118  ;2,74918e+02
6022  ;-8,64731  ;9,00996  ;9,33464  ;2,74852e+02
9371  ;-1,813  ;1,02808  ;5,3955  ;2,74348e+02
5407  ;-8,36789  ;7,8254  ;7,46698  ;2,74330e+02
3077  ;-7,96706  ;5,26482  ;6,96404  ;2,74222e+02
2673  ;-7,99631  ;6,94923  ;6,91933  ;2,74131e+02
6132  ;-3,00143  ;1,14175  ;5,75984  ;2,73918e+02
306  ;-0,866025  ;10  ;3,5  ;2,73745e+02
5483  ;-8,27054  ;0  ;3,4875  ;2,73070e+02
4935  ;-4,69897  ;1,35177  ;6,05188  ;2,72849e+02
6134  ;-1,46307  ;9,57772  ;9,57038  ;2,72688e+02
2503  ;-7,71229  ;3,31855  ;6,75989  ;2,72282e+02
9715  ;-2,19602  ;8,66826  ;5,80785  ;2,72205e+02
281  ;-9,13398  ;10  ;3,5  ;2,71932e+02
8240  ;-8,54417  ;9,37182  ;7,83651  ;2,71858e+02
7670  ;-1,50923  ;2,35589  ;7,70256  ;2,71602e+02
8105  ;-1,43629  ;8,59356  ;9,66801  ;2,71152e+02
4922  ;-8,75051  ;2,38218  ;8,97671  ;2,71108e+02
2197  ;-7,41729  ;6,64259  ;6,70667  ;2,70759e+02
2960  ;-2,5915  ;6,0321  ;6,77498  ;2,70716e+02
6585  ;-8,22349  ;0,470899  ;4,63849  ;2,70362e+02
5495  ;-9,68694  ;2,78931  ;1,84704  ;2,70111e+02
6351  ;-1,19667  ;2,5296  ;9,28396  ;2,69816e+02
6293  ;-5,39889  ;1,38138  ;6,04642  ;2,69805e+02
6201  ;-6,92112  ;8,85431  ;5,77021  ;2,69701e+02
2519  ;-7,85535  ;5,71553  ;6,83529  ;2,69448e+02
8189  ;-8,52869  ;9,68114  ;7,55587  ;2,69444e+02
10507  ;0  ;2,3911  ;1,81895  ;2,69217e+02
8611  ;-1,27885  ;0,372894  ;5,02617  ;2,68300e+02
3667  ;-6,63993  ;7,55045  ;6,42301  ;2,68255e+02
1400  ;-1,40282  ;0,672005  ;8,0039  ;2,68241e+02
4627  ;-1,41886  ;3,06163  ;8,12682  ;2,68071e+02
2363  ;-3,37509  ;7,97733  ;6,2693  ;2,67796e+02
6476  ;-1,50317  ;8,17836  ;7,60093  ;2,67767e+02
300  ;-8,60447  ;10  ;9,14073  ;2,67659e+02
6480  ;-1,40174  ;8,9868  ;8,00058  ;2,67547e+02
51  ;-0,866025  ;0  ;3,5  ;2,67203e+02
3082  ;-8,15825  ;5,80835  ;7,17572  ;2,66269e+02
905  ;-7,68963  ;4,59199  ;6,80285  ;2,66040e+02
6311  ;-6,98952  ;1,51472  ;6,11725  ;2,65560e+02
7470  ;-8,60597  ;9,3225  ;8,51576  ;2,64871e+02
6021  ;-8,66219  ;9,29335  ;9,13749  ;2,64762e+02
5369  ;-8,57988  ;8,59545  ;7,97188  ;2,64715e+02
6140  ;-8,56286  ;5,69527  ;7,94924  ;2,64455e+02
4006  ;-8,10276  ;2,7363  ;6,86522  ;2,64419e+02
9383  ;-1,45353  ;9,07161  ;6,34186  ;2,64346e+02
3743  ;-8,9096  ;4,66378  ;9,25362  ;2,64324e+02
825  ;-6,84137  ;5,29199  ;6,7223  ;2,63753e+02
7970  ;-8,54017  ;0,441239  ;9,57783  ;2,63704e+02
1896  ;-1,47649  ;8,65481  ;7,37715  ;2,63614e+02
6463  ;-8,26795  ;10  ;3,5  ;2,63566e+02
301  ;-1,3962  ;10  ;9,14075  ;2,63420e+02
4700  ;-8,46912  ;6,81029  ;7,65377  ;2,63379e+02
4942  ;-5,33508  ;1,81033  ;6,28006  ;2,62800e+02
2174  ;-6,76693  ;7,00667  ;6,57761  ;2,62629e+02
69  ;-1,39553  ;0  ;9,14073  ;2,62609e+02
3297  ;-3,92684  ;7,10452  ;6,55101  ;2,62275e+02
6661  ;-1,30243  ;6,76434  ;10  ;2,61645e+02
1318  ;-8,62203  ;5,23503  ;8,15926  ;2,61485e+02
11281  ;-1,09122  ;5,63461  ;9,18567  ;2,61397e+02
1275  ;-8,50369  ;6,15552  ;7,73922  ;2,61368e+02
9958  ;-1,44923  ;0,320262  ;7,51584  ;2,61261e+02
2730  ;-1,44847  ;7,23182  ;7,82065  ;2,61082e+02
2201  ;-7,75138  ;6,43665  ;6,72205  ;2,61040e+02
6964  ;-4,87101  ;9,08334  ;5,61655  ;2,60803e+02
9154  ;-5,97692  ;0,672513  ;5,35907  ;2,60366e+02
9634  ;-8,54254  ;4,576  ;7,86406  ;2,59689e+02
2957  ;-3,43823  ;6,62132  ;6,67129  ;2,59681e+02
5567  ;-1,34801  ;1,03793  ;8,28575  ;2,59369e+02
3284  ;-5,05369  ;3,32726  ;6,71072  ;2,59151e+02
5358  ;-8,68881  ;7,79524  ;8,41403  ;2,59089e+02
4619  ;-1,77925  ;4,22446  ;7,23923  ;2,58985e+02
3336  ;-2,44412  ;6,88631  ;6,65946  ;2,58940e+02
5447  ;-1,53871  ;1,06693  ;6,0514  ;2,58816e+02
840  ;-8,84353  ;6,91699  ;9,26502  ;2,58743e+02
4430  ;-9,13398  ;0  ;4  ;2,58698e+02
11011  ;-8,70096  ;10  ;6,25  ;2,58614e+02
7452  ;-7,24765  ;0,339328  ;4,64465  ;2,58504e+02
5334  ;-8,78266  ;0,553596  ;6,05454  ;2,58459e+02
9443  ;-1,32408  ;0,344477  ;4,01091  ;2,58133e+02
9461  ;-1,29904  ;0  ;6,25  ;2,58094e+02
3069  ;-8,6741  ;8,31292  ;8,95789  ;2,58062e+02
5434  ;-1,64972  ;2,25134  ;6,84787  ;2,57461e+02
6010  ;-8,399  ;8,60814  ;10  ;2,57299e+02
5180  ;-7,76349  ;1,89173  ;6,31305  ;2,56836e+02
702  ;-4,36595  ;2,11209  ;6,38275  ;2,56823e+02
10768  ;-1,2544  ;4,42074  ;8,51285  ;2,56375e+02
3339  ;-2,10473  ;3,59878  ;6,77427  ;2,56138e+02
9794  ;-8,70096  ;6,75  ;10  ;2,55858e+02
9144  ;-8,63501  ;1,39651  ;9,66737  ;2,55684e+02
5331  ;-8,70096  ;0  ;6,25  ;2,55595e+02
5613  ;-8,67867  ;0,865191  ;6,35434  ;2,55227e+02
2260  ;-8,65521  ;3,26405  ;8,02104  ;2,55216e+02
2504  ;-7,46104  ;3,72472  ;6,72525  ;2,55106e+02
3397  ;-1,29904  ;10  ;6,25  ;2,54863e+02
5714  ;-1,97604  ;7,67618  ;6,48966  ;2,54623e+02
3342  ;-1,94939  ;4,41869  ;6,9282  ;2,54540e+02
10593  ;-8,82404  ;7,58539  ;9,30521  ;2,54415e+02
5564  ;-1,34436  ;0,70193  ;8,85416  ;2,54305e+02
5184  ;-8,19458  ;1,55876  ;6,10747  ;2,54156e+02
8996  ;-1,37917  ;6,25654  ;7,92682  ;2,53889e+02
2823  ;-7,2655  ;4,94199  ;6,76258  ;2,53489e+02
4178  ;-1,73901  ;1,89737  ;6,60902  ;2,52635e+02
7238  ;-1,16797  ;7,53829  ;9,34218  ;2,52475e+02
748  ;-1,42627  ;8,6874  ;6,9842  ;2,52302e+02
5658  ;-8,74408  ;2,05356  ;8,64022  ;2,51868e+02
8962  ;-1,29904  ;3,25  ;10  ;2,51698e+02
4161  ;-4,04237  ;1,76601  ;6,22616  ;2,51513e+02
912  ;-8,46304  ;3,91697  ;7,56885  ;2,51357e+02
3998  ;-7,7744  ;2,77072  ;6,54018  ;2,50315e+02
9902  ;-8,85726  ;2,52334  ;9,36395  ;2,50089e+02
4651  ;-8,02307  ;2,37968  ;6,56043  ;2,49932e+02
5144  ;-5,82923  ;8,3669  ;6,15317  ;2,49843e+02
7543  ;-1,601  ;1,39186  ;10  ;2,49665e+02
1311  ;-1,38574  ;2,64824  ;7,92358  ;2,49631e+02
5994  ;-1,18952  ;3,66698  ;8,63924  ;2,48981e+02
10307  ;-10  ;9,13427  ;1,94266  ;2,48910e+02
3911  ;-8,26997  ;5,35764  ;7,30446  ;2,48556e+02
5566  ;-1,39917  ;0,336003  ;8,57232  ;2,48390e+02
8686  ;-1,33947  ;2,02605  ;8,24559  ;2,48165e+02
225  ;0  ;2,53423  ;2,58565  ;2,47967e+02
