13:23; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: 
Referencia seleccionada: Todos
Elemento  ;X (mm)  ;Y (mm)  ;Z (mm)  ;EPSY
2995  ;-9,29515  ;6,01591  ;3,47589  ;-4,84549e-07
3673  ;-8,90628  ;5,78109  ;2,46057  ;-4,84560e-07
4264  ;-2,87706  ;0,156058  ;4,99397  ;-4,84566e-07
2028  ;-2,5935  ;3,77969  ;2,48101  ;-4,84600e-07
6589  ;-2,0583  ;9,50186  ;1,96934  ;-4,84611e-07
1233  ;-1,66826  ;4,40282  ;2,32539  ;-4,84617e-07
5637  ;-9,16497  ;7,12436  ;2,17334  ;-4,84620e-07
4778  ;-8,5545  ;3,522  ;2,17637  ;-4,84628e-07
7208  ;-1,33013  ;0,857718  ;5,46299  ;-4,84628e-07
3990  ;-7,0903  ;0,169664  ;4,95813  ;-4,84633e-07
6099  ;-2,96568  ;6,92617  ;2,45548  ;-4,84659e-07
3329  ;-4,87056  ;8,95035  ;2,61525  ;-4,84666e-07
5028  ;-9,45249  ;0,752684  ;6,53482  ;-4,84667e-07
4698  ;-7,06996  ;0,824649  ;2,28278  ;-4,84675e-07
913  ;-9,00579  ;8,79553  ;3,22645  ;-4,84678e-07
2226  ;-0,425621  ;8,27705  ;0,422541  ;-4,84694e-07
4268  ;-3,34241  ;9,07199  ;2,52085  ;-4,84695e-07
5485  ;-9,01016  ;7,62374  ;1,33704  ;-4,84717e-07
2839  ;-7,35948  ;1,8612  ;1,94931  ;-4,84723e-07
5658  ;-8,71135  ;7,82215  ;1,51236  ;-4,84745e-07
5945  ;-4,43611  ;9,13226  ;3,09134  ;-4,84771e-07
6017  ;-2,45239  ;0,609169  ;0,762128  ;-4,84771e-07
7490  ;-8,93982  ;8,5793  ;3,96416  ;-4,84819e-07
3000  ;-7,14447  ;9,83198  ;5,02963  ;-4,84826e-07
2352  ;-5,87999  ;8,54977  ;2,30137  ;-4,84872e-07
3074  ;-6,05769  ;9,28628  ;3,52619  ;-4,84885e-07
5164  ;-2,24978  ;0,309605  ;5,28939  ;-4,84912e-07
6173  ;-2,60292  ;0,48839  ;4,42241  ;-4,84917e-07
5039  ;-3,24612  ;0,896386  ;2,44933  ;-4,84999e-07
4719  ;-0,159339  ;7,05277  ;5,01501  ;-4,85007e-07
350  ;-3,52784  ;6,3936  ;2,67062  ;-4,85008e-07
4636  ;-5,68601  ;1,13201  ;2,44945  ;-4,85017e-07
3861  ;-8,18005  ;3,41239  ;2,22075  ;-4,85059e-07
7153  ;-9,38076  ;9,27007  ;6,55949  ;-4,85065e-07
7271  ;-9,11603  ;5,42504  ;3,07809  ;-4,85066e-07
385  ;-0,732837  ;9,34647  ;6,5404  ;-4,85068e-07
5093  ;-0,173072  ;4,27457  ;4,71496  ;-4,85080e-07
6323  ;-1,04103  ;1,23203  ;5,39201  ;-4,85084e-07
4188  ;-0,680307  ;3,55768  ;3,59509  ;-4,85093e-07
2462  ;-4,64848  ;1,34819  ;2,38938  ;-4,85136e-07
6723  ;-2,38512  ;9,38818  ;4,10186  ;-4,85151e-07
6745  ;-6,64507  ;9,12777  ;2,64961  ;-4,85178e-07
180  ;-6,54516  ;4,87017  ;2,75204  ;-4,85186e-07
1497  ;-7,43063  ;4,49105  ;2,55968  ;-4,85191e-07
7327  ;-1,04084  ;4,91746  ;2,63015  ;-4,85218e-07
4909  ;-0,494953  ;7,32737  ;4,41508  ;-4,85230e-07
4089  ;-9,82075  ;2,94489  ;5,02175  ;-4,85232e-07
5539  ;-0,889844  ;7,16049  ;1,70594  ;-4,85254e-07
1610  ;-4,72608  ;1,81537  ;2,462  ;-4,85261e-07
3435  ;-6,40536  ;9,2963  ;3,52535  ;-4,85289e-07
815  ;-6,79761  ;6,4999  ;2,59188  ;-4,85300e-07
6441  ;-1,38023  ;0,308861  ;6,28803  ;-4,85306e-07
1544  ;-3,85513  ;4,67562  ;2,79417  ;-4,85323e-07
1988  ;-2,99145  ;9,80686  ;4,98476  ;-4,85345e-07
4035  ;-0,879546  ;4,40583  ;3,1156  ;-4,85346e-07
5570  ;-9,25658  ;3,98298  ;3,50647  ;-4,85391e-07
1086  ;-7,60341  ;3,8116  ;2,45676  ;-4,85400e-07
5063  ;-0,71045  ;6,09195  ;3,56836  ;-4,85402e-07
2917  ;-8,48721  ;9,16721  ;3,18266  ;-4,85406e-07
4720  ;-0,993618  ;2,19074  ;1,23727  ;-4,85407e-07
4912  ;-9,81307  ;7,00592  ;4,9877  ;-4,85414e-07
6396  ;-0,363107  ;3,11535  ;4,58964  ;-4,85419e-07
2357  ;-9,82434  ;1,36106  ;6,40944  ;-4,85424e-07
6960  ;-0,483398  ;7,57592  ;4,78175  ;-4,85427e-07
6971  ;-7,73633  ;9,67459  ;5,33399  ;-4,85447e-07
4198  ;-9,26135  ;1,73736  ;5,19858  ;-4,85501e-07
2149  ;-1,08729  ;4,11833  ;2,55112  ;-4,85523e-07
4945  ;-7,56914  ;9,50179  ;1,30352  ;-4,85525e-07
7320  ;-7,46165  ;0,325334  ;5,07381  ;-4,85526e-07
357  ;-0,187161  ;3,04  ;5,00038  ;-4,85562e-07
954  ;-9,59726  ;8,83706  ;6,43449  ;-4,85597e-07
7580  ;-0,515356  ;2,42434  ;1,3096  ;-4,85603e-07
7184  ;-1,16585  ;9,56298  ;6,4154  ;-4,85686e-07
2974  ;-9,83749  ;5,70295  ;4,81968  ;-4,85709e-07
4631  ;-7,22496  ;9,14075  ;1,77902  ;-4,85714e-07
5180  ;-9,48273  ;5,59681  ;4,15008  ;-4,85735e-07
6914  ;-0,324572  ;7,42953  ;5,0953  ;-4,85749e-07
1711  ;-8,68981  ;0,432596  ;6,30217  ;-4,85750e-07
1829  ;-4,09807  ;6,98138  ;2,66742  ;-4,85757e-07
2697  ;-0,70402  ;6,45056  ;3,60828  ;-4,85779e-07
5112  ;-8,93027  ;3,01496  ;1,92049  ;-4,85785e-07
4649  ;-0,880912  ;0,567887  ;6,61727  ;-4,85794e-07
6587  ;-0,910255  ;8,50535  ;3,24614  ;-4,85816e-07
6309  ;-7,42484  ;0,583356  ;4,34056  ;-4,85829e-07
52  ;-5,56881  ;3,92876  ;2,82262  ;-4,85843e-07
5557  ;-6,05109  ;0,746945  ;3,53267  ;-4,85858e-07
5610  ;-0,324715  ;4,58289  ;4,55584  ;-4,85863e-07
5942  ;-8,91751  ;6,76626  ;2,18474  ;-4,85869e-07
2567  ;-0,219415  ;8,62645  ;6,42639  ;-4,85870e-07
6174  ;-3,14215  ;0,340511  ;4,70771  ;-4,85889e-07
47  ;-5,85606  ;3,6771  ;2,77101  ;-4,85897e-07
2418  ;-7,67158  ;0,560783  ;4,757  ;-4,85901e-07
7152  ;-8,66425  ;9,59876  ;6,3168  ;-4,85902e-07
3765  ;-2,05465  ;0,669516  ;4,88523  ;-4,85902e-07
3901  ;-6,82124  ;0,354296  ;4,67504  ;-4,85918e-07
2463  ;-4,75617  ;1,07086  ;2,70832  ;-4,85941e-07
7404  ;-0,669904  ;9,03783  ;2,27113  ;-4,85955e-07
5611  ;-0,500665  ;4,49453  ;4,22035  ;-4,85957e-07
4256  ;-0,772917  ;1,53875  ;2,89714  ;-4,86040e-07
6347  ;-6,90757  ;9,65231  ;4,74658  ;-4,86049e-07
2625  ;-8,52108  ;9,44979  ;2,31979  ;-4,86055e-07
6997  ;-8,65555  ;1,84077  ;1,35243  ;-4,86068e-07
5334  ;-7,94401  ;9,4377  ;5,2059  ;-4,86073e-07
3843  ;-7,55455  ;1,41524  ;1,69927  ;-4,86091e-07
4622  ;-4,30954  ;9,82526  ;4,85364  ;-4,86092e-07
5799  ;-9,43244  ;2,60322  ;4,44482  ;-4,86100e-07
7448  ;-1,58037  ;9,03993  ;4,86296  ;-4,86104e-07
6277  ;-0,543136  ;2,68348  ;4,44507  ;-4,86105e-07
2994  ;-9,24764  ;6,3926  ;3,51722  ;-4,86119e-07
7220  ;-0,829634  ;7,23294  ;2,16607  ;-4,86171e-07
4875  ;-5,4874  ;0,936092  ;3,09476  ;-4,86178e-07
4715  ;-9,11783  ;5,01481  ;3,2659  ;-4,86198e-07
1908  ;-2,78687  ;4,21987  ;2,64433  ;-4,86200e-07
7162  ;-9,34042  ;0,993171  ;2,29941  ;-4,86224e-07
7424  ;-0,589949  ;0,257104  ;6,98385  ;-4,86231e-07
7084  ;-6,40724  ;0,742595  ;3,54024  ;-4,86248e-07
6403  ;-2,92841  ;0,867181  ;2,17633  ;-4,86249e-07
6915  ;-0,338534  ;6,77596  ;4,73859  ;-4,86274e-07
6056  ;-0,897883  ;6,74084  ;2,71585  ;-4,86285e-07
2873  ;-9,64278  ;2,35293  ;5,32889  ;-4,86292e-07
152  ;-5,97401  ;6,00741  ;2,81376  ;-4,86293e-07
5905  ;-8,39264  ;8,99543  ;4,10875  ;-4,86293e-07
5017  ;-2,49781  ;0,947571  ;1,36881  ;-4,86310e-07
7374  ;-9,46149  ;7,58758  ;4,82083  ;-4,86333e-07
2378  ;-0,145952  ;0,691642  ;6,97937  ;-4,86343e-07
6193  ;-9,40196  ;7,99383  ;2,16518  ;-4,86363e-07
5373  ;-1,02206  ;8,64665  ;5,55431  ;-4,86370e-07
6016  ;-4,39044  ;0,907443  ;3,18797  ;-4,86371e-07
5442  ;-3,23744  ;9,62657  ;4,67605  ;-4,86374e-07
6544  ;-9,62594  ;7,43491  ;5,10183  ;-4,86374e-07
6943  ;-1,00384  ;1,55339  ;4,99501  ;-4,86376e-07
5166  ;-0,145952  ;1,33964  ;6,60166  ;-4,86395e-07
2102  ;-1,91723  ;0,860149  ;3,75172  ;-4,86400e-07
4707  ;-1,30391  ;7,71538  ;1,59137  ;-4,86407e-07
4374  ;-0,473688  ;8,05284  ;1,93295  ;-4,86417e-07
998  ;-1,99505  ;6,29509  ;2,41986  ;-4,86440e-07
5418  ;-4,34251  ;9,4578  ;4,19108  ;-4,86445e-07
4222  ;-2,71905  ;9,16014  ;2,35148  ;-4,86447e-07
6831  ;-9,63426  ;6,70996  ;4,68039  ;-4,86460e-07
4150  ;-1,22532  ;8,86462  ;3,30505  ;-4,86467e-07
3945  ;-9,12229  ;1,59314  ;3,21556  ;-4,86502e-07
7346  ;-9,64285  ;3,23746  ;4,73137  ;-4,86506e-07
5558  ;-6,94585  ;0,532539  ;4,37429  ;-4,86508e-07
6947  ;-0,548792  ;2,46401  ;4,80834  ;-4,86554e-07
6392  ;-3,02824  ;0,519876  ;4,41985  ;-4,86555e-07
113  ;-6,43195  ;3,65977  ;2,71272  ;-4,86572e-07
1741  ;-9,39935  ;0,259379  ;7,01939  ;-4,86580e-07
6445  ;-9,42353  ;7,33634  ;4,41407  ;-4,86580e-07
6948  ;-0,368763  ;2,65741  ;5,08877  ;-4,86580e-07
5918  ;-1,63442  ;0,462407  ;6,07214  ;-4,86588e-07
7434  ;-9,40032  ;9,72647  ;7,0164  ;-4,86608e-07
3647  ;-5,93954  ;8,90376  ;2,61201  ;-4,86625e-07
3319  ;-6,88215  ;8,75685  ;2,12076  ;-4,86642e-07
5503  ;-4,40206  ;0,526592  ;4,24484  ;-4,86644e-07
410  ;-3,32292  ;5,85284  ;2,76035  ;-4,86646e-07
6503  ;-9,84466  ;0,703377  ;7,01474  ;-4,86654e-07
6408  ;-7,25185  ;9,16531  ;2,20903  ;-4,86658e-07
601  ;-1,40478  ;9,30845  ;0,584857  ;-4,86661e-07
2478  ;-7,95132  ;8,26827  ;1,73884  ;-4,86666e-07
3191  ;-5,62267  ;0,525177  ;4,25509  ;-4,86681e-07
5819  ;-9,23247  ;3,58629  ;3,54235  ;-4,86692e-07
4953  ;-2,47418  ;0,539324  ;1,24828  ;-4,86710e-07
5446  ;-0,30562  ;5,23115  ;4,68483  ;-4,86719e-07
6899  ;-0,462983  ;9,31267  ;6,90639  ;-4,86724e-07
2575  ;-1,71946  ;5,13727  ;2,50867  ;-4,86727e-07
7120  ;-1,13806  ;8,57682  ;5,11035  ;-4,86736e-07
2562  ;-2,58619  ;9,58838  ;5,08682  ;-4,86737e-07
7344  ;-9,669  ;1,18742  ;6,66699  ;-4,86747e-07
971  ;-4,06905  ;2,34183  ;2,54118  ;-4,86773e-07
3986  ;-9,30051  ;6,00235  ;3,81594  ;-4,86777e-07
2375  ;-0,740913  ;9,85227  ;7,00336  ;-4,86778e-07
571  ;-1,38117  ;9,85227  ;6,62834  ;-4,86779e-07
2931  ;-9,67663  ;5,3937  ;4,6608  ;-4,86782e-07
6237  ;-0,515321  ;6,90417  ;4,45222  ;-4,86787e-07
5008  ;-9,84432  ;9,28091  ;7,02087  ;-4,86792e-07
4998  ;-9,84432  ;8,64227  ;6,6414  ;-4,86802e-07
5562  ;-9,65868  ;5,94981  ;4,65113  ;-4,86804e-07
3606  ;-4,04439  ;8,85095  ;2,53391  ;-4,86813e-07
5639  ;-9,06479  ;8,24568  ;4,12983  ;-4,86813e-07
5620  ;-0,608723  ;1,63614  ;5,94052  ;-4,86841e-07
4144  ;-4,74047  ;3,14685  ;2,74783  ;-4,86851e-07
5805  ;-3,50575  ;1,14731  ;2,35449  ;-4,86853e-07
7426  ;-0,573072  ;1,36539  ;6,32905  ;-4,86904e-07
6281  ;-0,674597  ;4,03672  ;3,9245  ;-4,86906e-07
576  ;-6,91881  ;8,313  ;2,16692  ;-4,86914e-07
4029  ;-1,36204  ;8,93144  ;5,57572  ;-4,86947e-07
5573  ;-9,67906  ;4,72875  ;4,68822  ;-4,86951e-07
5097  ;-1,35694  ;6,83247  ;2,1917  ;-4,86959e-07
4138  ;-0,883549  ;8,08107  ;3,81208  ;-4,86973e-07
5214  ;-8,47657  ;9,83864  ;6,52369  ;-4,86978e-07
7318  ;-8,40932  ;0,588266  ;6,0426  ;-4,86979e-07
6832  ;-9,13541  ;8,53163  ;2,94199  ;-4,86982e-07
5900  ;-8,08832  ;9,12202  ;3,78764  ;-4,86991e-07
7095  ;-0,479185  ;1,82054  ;1,78588  ;-4,86994e-07
6807  ;-8,96748  ;0,691975  ;6,55972  ;-4,87024e-07
5727  ;-9,66203  ;4,00364  ;4,69783  ;-4,87028e-07
5011  ;-0,592746  ;7,50909  ;1,08308  ;-4,87030e-07
6442  ;-1,24845  ;0,462411  ;6,55149  ;-4,87036e-07
5500  ;-0,488838  ;5,40592  ;4,36204  ;-4,87038e-07
1930  ;-8,68727  ;8,83807  ;5,41438  ;-4,87053e-07
3790  ;-2,02071  ;0,670096  ;5,19101  ;-4,87063e-07
4961  ;-8,96023  ;8,59349  ;5,51889  ;-4,87064e-07
6998  ;-9,1393  ;2,88006  ;2,22631  ;-4,87064e-07
7188  ;-0,166066  ;9,23291  ;7,0424  ;-4,87102e-07
4069  ;-0,333172  ;5,97298  ;4,70862  ;-4,87103e-07
3558  ;-6,66096  ;0,965803  ;2,70479  ;-4,87116e-07
173  ;-5,92817  ;5,18534  ;2,88209  ;-4,87124e-07
3566  ;-6,00768  ;9,66342  ;4,70277  ;-4,87139e-07
4347  ;-9,07773  ;9,33166  ;6,69948  ;-4,87140e-07
1696  ;-4,43138  ;6,10975  ;2,85974  ;-4,87140e-07
2505  ;-0,153978  ;5,82091  ;4,99532  ;-4,87152e-07
6222  ;-4,0127  ;9,64498  ;4,68367  ;-4,87153e-07
5389  ;-9,49669  ;4,57894  ;4,36743  ;-4,87170e-07
6491  ;-5,8903  ;8,04457  ;2,48306  ;-4,87185e-07
3578  ;-5,8157  ;9,84309  ;4,99606  ;-4,87186e-07
3608  ;-3,15657  ;7,62206  ;2,40794  ;-4,87205e-07
2388  ;-8,43374  ;0,155798  ;6,53114  ;-4,87209e-07
3994  ;-9,83993  ;4,13995  ;4,99851  ;-4,87212e-07
2398  ;-4,15289  ;0,154905  ;5,01291  ;-4,87218e-07
6901  ;-2,6504  ;9,37301  ;4,45821  ;-4,87223e-07
914  ;-5,00185  ;9,13798  ;3,46964  ;-4,87247e-07
3338  ;-6,69834  ;9,12732  ;3,03927  ;-4,87250e-07
1817  ;-2,24403  ;6,71298  ;2,39116  ;-4,87257e-07
4504  ;-9,36176  ;7,7014  ;1,06378  ;-4,87266e-07
6401  ;-0,99838  ;3,44543  ;2,62745  ;-4,87267e-07
2858  ;-9,2763  ;2,16526  ;4,85604  ;-4,87268e-07
1315  ;-4,14787  ;2,73116  ;2,65794  ;-4,87275e-07
7099  ;-1,98265  ;1,34686  ;1,48662  ;-4,87280e-07
4824  ;-8,67665  ;3,14454  ;2,16137  ;-4,87284e-07
5932  ;-9,39901  ;8,35149  ;6,01749  ;-4,87286e-07
7056  ;-4,01508  ;0,339358  ;4,72102  ;-4,87291e-07
1178  ;-1,76105  ;2,11642  ;1,76798  ;-4,87309e-07
5778  ;-0,694603  ;6,09489  ;3,9201  ;-4,87320e-07
5154  ;-9,28677  ;3,98184  ;3,86572  ;-4,87322e-07
5127  ;-0,153978  ;5,41574  ;4,99182  ;-4,87349e-07
381  ;-4,83957  ;4,72573  ;2,92605  ;-4,87371e-07
4339  ;-2,23038  ;0,153547  ;5,92991  ;-4,87379e-07
6515  ;-8,58123  ;1,04214  ;5,61651  ;-4,87381e-07
4708  ;-5,87536  ;0,160396  ;5,02853  ;-4,87382e-07
4623  ;-5,41058  ;9,84309  ;4,99255  ;-4,87392e-07
2046  ;-9,83993  ;4,5451  ;4,99503  ;-4,87405e-07
3992  ;-1,47804  ;8,86162  ;5,13176  ;-4,87408e-07
2104  ;-8,69848  ;8,16045  ;1,4182  ;-4,87422e-07
3768  ;-1,59775  ;0,151627  ;6,54305  ;-4,87435e-07
5530  ;-9,64607  ;7,91941  ;5,85249  ;-4,87444e-07
7305  ;-6,00598  ;0,345028  ;4,73363  ;-4,87450e-07
325  ;-8,32313  ;1,00045  ;4,94224  ;-4,87452e-07
7252  ;-8,35774  ;9,44137  ;6,11023  ;-4,87483e-07
7308  ;-4,72342  ;0,312857  ;4,76415  ;-4,87502e-07
5816  ;-9,47966  ;4,25899  ;4,37356  ;-4,87505e-07
680  ;-3,0832  ;5,30688  ;2,77073  ;-4,87515e-07
5783  ;-8,79424  ;9,44384  ;6,58179  ;-4,87520e-07
5728  ;-9,43638  ;3,09611  ;4,44298  ;-4,87539e-07
4373  ;-0,51639  ;5,74259  ;4,38232  ;-4,87543e-07
3337  ;-0,682397  ;9,02338  ;6,70061  ;-4,87544e-07
5612  ;-0,674593  ;3,65762  ;3,98832  ;-4,87550e-07
6153  ;-6,07548  ;0,706478  ;3,90389  ;-4,87572e-07
5222  ;-1,64208  ;9,66542  ;1,50558  ;-4,87581e-07
6386  ;-8,2836  ;0,326229  ;1,44507  ;-4,87591e-07
6913  ;-0,387488  ;7,89355  ;5,8383  ;-4,87603e-07
4498  ;-9,33343  ;8,51263  ;0,587249  ;-4,87606e-07
7442  ;-2,41945  ;9,3701  ;4,85068  ;-4,87607e-07
4817  ;-6,43163  ;0,702128  ;3,91146  ;-4,87609e-07
3786  ;-5,3129  ;0,318348  ;4,7748  ;-4,87642e-07
6115  ;-6,4769  ;9,29135  ;3,88695  ;-4,87646e-07
7157  ;-8,65057  ;1,06266  ;3,20605  ;-4,87647e-07
2588  ;-4,10868  ;1,14938  ;2,65346  ;-4,87661e-07
3022  ;-8,80225  ;1,48438  ;4,69605  ;-4,87674e-07
7176  ;-8,3022  ;3,03493  ;2,20574  ;-4,87682e-07
6916  ;-0,606903  ;8,27202  ;5,99521  ;-4,87686e-07
5796  ;-3,06314  ;9,411  ;4,38564  ;-4,87694e-07
2702  ;-0,688173  ;6,4535  ;3,96002  ;-4,87700e-07
3834  ;-1,03817  ;2,88697  ;2,22252  ;-4,87702e-07
3725  ;-8,19612  ;0,486331  ;1,84255  ;-4,87710e-07
5430  ;-5,22734  ;9,65598  ;4,71886  ;-4,87711e-07
3073  ;-6,12924  ;9,28133  ;3,88779  ;-4,87738e-07
118  ;-5,62175  ;3,27833  ;2,80852  ;-4,87751e-07
7451  ;-0,385481  ;8,73637  ;6,7116  ;-4,87760e-07
5460  ;-9,48615  ;1,75772  ;6,10872  ;-4,87760e-07
3896  ;-7,33087  ;9,30517  ;4,22017  ;-4,87764e-07
4637  ;-7,71432  ;9,84261  ;5,93955  ;-4,87765e-07
4382  ;-9,43047  ;8,55942  ;6,4129  ;-4,87786e-07
6289  ;-7,68944  ;9,32598  ;0,98804  ;-4,87787e-07
5091  ;-4,54106  ;0,154905  ;5,04911  ;-4,87805e-07
5747  ;-0,899403  ;5,05362  ;3,44069  ;-4,87814e-07
3090  ;-2,48161  ;9,00244  ;1,54137  ;-4,87833e-07
7478  ;-0,989682  ;0,663052  ;2,30005  ;-4,87849e-07
735  ;-7,12091  ;5,51388  ;2,739  ;-4,87871e-07
2461  ;-6,58698  ;1,28806  ;2,33878  ;-4,87876e-07
5928  ;-9,40917  ;6,88771  ;4,38776  ;-4,87889e-07
4413  ;-0,391506  ;2,1509  ;5,82396  ;-4,87895e-07
5821  ;-9,02408  ;3,30927  ;2,68555  ;-4,87901e-07
3071  ;-9,82203  ;2,28552  ;5,94159  ;-4,87909e-07
7197  ;-9,25301  ;6,37904  ;3,85727  ;-4,87915e-07
5765  ;-4,61918  ;9,63815  ;4,72788  ;-4,87917e-07
6814  ;-8,90026  ;1,40933  ;5,67163  ;-4,87934e-07
7187  ;-1,66499  ;9,31733  ;6,02266  ;-4,87963e-07
6238  ;-2,11754  ;9,60662  ;5,86372  ;-4,87969e-07
5161  ;-5,49791  ;0,160396  ;5,06499  ;-4,87974e-07
360  ;-5,3345  ;3,52999  ;2,86012  ;-4,87974e-07
4116  ;-9,66412  ;1,66959  ;6,44535  ;-4,87998e-07
4650  ;-0,891186  ;0,410654  ;6,99731  ;-4,88001e-07
5423  ;-3,20928  ;1,90765  ;2,30635  ;-4,88008e-07
3028  ;-8,37379  ;1,10466  ;3,79462  ;-4,88021e-07
5151  ;-9,26267  ;3,58515  ;3,9016  ;-4,88021e-07
4791  ;-5,50693  ;2,65012  ;2,69547  ;-4,88064e-07
3417  ;-1,45669  ;9,38808  ;6,41711  ;-4,88095e-07
2460  ;-0,373443  ;0,475136  ;7,23656  ;-4,88104e-07
2841  ;-0,145952  ;1,12465  ;6,97937  ;-4,88125e-07
1903  ;-2,69016  ;2,33545  ;2,3055  ;-4,88175e-07
1468  ;-5,48141  ;1,95051  ;2,56126  ;-4,88189e-07
5975  ;-0,823479  ;7,51842  ;2,22954  ;-4,88191e-07
2960  ;-9,49782  ;5,64056  ;4,49224  ;-4,88207e-07
6119  ;-7,46343  ;9,31077  ;4,57954  ;-4,88226e-07
6477  ;-1,75822  ;0,479954  ;1,84001  ;-4,88232e-07
7317  ;-7,65917  ;0,329632  ;5,77992  ;-4,88252e-07
4979  ;-8,22197  ;8,94423  ;4,42942  ;-4,88258e-07
5772  ;-1,73808  ;9,50379  ;1,93116  ;-4,88276e-07
4172  ;-8,26944  ;9,19593  ;2,87195  ;-4,88323e-07
4853  ;-0,173072  ;4,27587  ;5,08171  ;-4,88328e-07
3001  ;-5,27119  ;4,50105  ;2,95405  ;-4,88354e-07
6678  ;-9,0973  ;9,57155  ;7,03139  ;-4,88374e-07
7160  ;-9,00327  ;1,85869  ;3,77278  ;-4,88374e-07
4142  ;-1,06226  ;8,25919  ;4,09369  ;-4,88389e-07
6709  ;-0,673836  ;2,31811  ;0,979507  ;-4,88389e-07
7186  ;-0,44167  ;8,34055  ;6,42205  ;-4,88409e-07
6265  ;-6,32613  ;1,1739  ;2,53962  ;-4,88411e-07
2386  ;-8,96762  ;0,259379  ;7,02563  ;-4,88418e-07
4670  ;-8,96136  ;4,4502  ;3,17288  ;-4,88444e-07
4600  ;-9,57557  ;9,54466  ;1,68983  ;-4,88448e-07
5029  ;-9,84466  ;1,13812  ;7,0219  ;-4,88474e-07
7342  ;-9,61585  ;0,486871  ;7,27658  ;-4,88484e-07
7338  ;-8,71141  ;0,415177  ;6,78869  ;-4,88505e-07
2705  ;-1,37194  ;6,42928  ;2,39274  ;-4,88519e-07
5225  ;-0,690474  ;9,52918  ;7,16357  ;-4,88539e-07
3613  ;-9,8332  ;7,73935  ;6,12179  ;-4,88559e-07
5911  ;-4,98552  ;0,906948  ;3,52756  ;-4,88569e-07
4863  ;-0,52903  ;0,37333  ;1,69912  ;-4,88571e-07
1535  ;-1,17565  ;9,85227  ;7,01053  ;-4,88585e-07
472  ;-4,53735  ;4,39219  ;2,94484  ;-4,88586e-07
7429  ;-9,61683  ;9,49742  ;7,27806  ;-4,88597e-07
7050  ;-2,88954  ;8,53978  ;2,08489  ;-4,88607e-07
4302  ;-9,84432  ;8,84623  ;7,02806  ;-4,88609e-07
6562  ;-7,86922  ;9,18578  ;2,8462  ;-4,88611e-07
3308  ;-8,60657  ;9,68373  ;6,78868  ;-4,88618e-07
1493  ;-7,15387  ;6,27188  ;2,69544  ;-4,88627e-07
7256  ;-8,97484  ;8,17766  ;4,84095  ;-4,88646e-07
5044  ;-0,913113  ;6,79093  ;3,13252  ;-4,88674e-07
7459  ;-9,36877  ;2,11807  ;2,03472  ;-4,88681e-07
7150  ;-7,94292  ;9,68125  ;6,19369  ;-4,88688e-07
3820  ;-4,39919  ;0,49731  ;4,57871  ;-4,88689e-07
3824  ;-2,77755  ;1,92444  ;2,2126  ;-4,88691e-07
3099  ;-1,17997  ;0,15355  ;7,02781  ;-4,88712e-07
5343  ;-8,81824  ;9,84508  ;7,02935  ;-4,88733e-07
7312  ;-9,28016  ;2,22067  ;5,17781  ;-4,88737e-07
5294  ;-2,27387  ;9,8251  ;6,14509  ;-4,88759e-07
6737  ;-2,079  ;0,305174  ;6,20377  ;-4,88779e-07
3595  ;-7,57035  ;9,18152  ;2,30778  ;-4,88803e-07
1778  ;-8,02052  ;5,57468  ;2,57796  ;-4,88838e-07
6319  ;-2,52392  ;1,35729  ;1,86421  ;-4,88847e-07
1621  ;-0,355855  ;1,64116  ;6,5769  ;-4,88850e-07
5276  ;-9,39235  ;7,9432  ;1,86155  ;-4,88852e-07
5140  ;-1,13078  ;2,51719  ;1,6953  ;-4,88854e-07
6996  ;-7,85023  ;0,825089  ;2,86078  ;-4,88854e-07
2664  ;-6,88871  ;6,9706  ;2,61434  ;-4,88861e-07
2543  ;-1,26912  ;3,18682  ;2,30997  ;-4,88866e-07
4627  ;-5,62447  ;0,50298  ;4,59157  ;-4,88888e-07
3159  ;-0,209904  ;2,28525  ;6,12032  ;-4,88905e-07
5243  ;-9,16267  ;2,20566  ;2,8617  ;-4,88906e-07
4702  ;-9,67752  ;8,36463  ;6,61981  ;-4,88912e-07
1616  ;-0,166066  ;8,79817  ;7,04956  ;-4,88945e-07
7547  ;-0,837026  ;7,81913  ;2,8488  ;-4,88946e-07
5738  ;-9,14805  ;1,7959  ;2,88998  ;-4,88951e-07
5103  ;-0,222256  ;7,73497  ;6,14171  ;-4,88953e-07
2810  ;-8,16741  ;1,40812  ;1,47071  ;-4,88961e-07
5477  ;-7,42347  ;9,13388  ;3,43382  ;-4,88964e-07
648  ;-9,83749  ;5,70164  ;5,18643  ;-4,88969e-07
6325  ;-3,12464  ;0,332446  ;5,25165  ;-4,88973e-07
5010  ;-1,3752  ;8,60259  ;3,89749  ;-4,88979e-07
7158  ;-9,16779  ;2,49316  ;2,32129  ;-4,88980e-07
6705  ;-2,27612  ;0,839864  ;2,81909  ;-4,88993e-07
3482  ;-0,393557  ;9,44942  ;7,29959  ;-4,88994e-07
6191  ;-7,60531  ;9,13409  ;3,76784  ;-4,88998e-07
638  ;-2,16703  ;3,7575  ;2,53571  ;-4,89004e-07
6439  ;-1,46597  ;0,305177  ;6,8065  ;-4,89019e-07
487  ;-3,33019  ;2,87926  ;2,62464  ;-4,89021e-07
3895  ;-6,95399  ;9,28815  ;4,29108  ;-4,89042e-07
