13:23; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: 
Referencia seleccionada: Todos
Elemento  ;X (mm)  ;Y (mm)  ;Z (mm)  ;EPSY
3605  ;-7,98172  ;2,53418  ;0,154345  ;-3,56217e-07
5522  ;-5,27751  ;6,04839  ;0,349023  ;-3,56283e-07
2448  ;-2,26014  ;6,16274  ;0,23443  ;-3,56331e-07
4173  ;-6,496  ;7,96026  ;0,198629  ;-3,56404e-07
1847  ;-3,48758  ;7,97219  ;0,203933  ;-3,56438e-07
3599  ;-7,55698  ;2,06973  ;0,159669  ;-3,56525e-07
4195  ;-7,95674  ;3,523  ;0,208305  ;-3,56690e-07
2637  ;-7,4927  ;7,99424  ;0,1591  ;-3,56950e-07
4974  ;-7,9665  ;6,513  ;0,209082  ;-3,56986e-07
3838  ;-7,94708  ;7,54597  ;0,161006  ;-3,57063e-07
3118  ;-2,46743  ;2,07802  ;0,16717  ;-3,57165e-07
4852  ;-4,08079  ;3,95289  ;0,355119  ;-3,57176e-07
5507  ;-4,05782  ;5,98745  ;0,357517  ;-3,57206e-07
5523  ;-5,26949  ;6,82776  ;0,333983  ;-3,57263e-07
4241  ;-1,99388  ;2,51482  ;0,161682  ;-3,57286e-07
2611  ;-5,94352  ;4,0738  ;0,36463  ;-3,57623e-07
4701  ;-6,48894  ;1,58925  ;0,157103  ;-3,57720e-07
2288  ;-7,9634  ;5,50592  ;0,238234  ;-3,57831e-07
6781  ;-4,73421  ;3,07672  ;0,338917  ;-3,57876e-07
4133  ;-5,3083  ;3,13626  ;0,342371  ;-3,57896e-07
5756  ;-5,95176  ;5,95976  ;0,369987  ;-3,58106e-07
7126  ;-3,28661  ;4,67413  ;0,354356  ;-3,58153e-07
2408  ;-1,57698  ;3,49934  ;0,15712  ;-3,58187e-07
6005  ;-3,25968  ;5,28444  ;0,358957  ;-3,58580e-07
2932  ;-5,49417  ;8,60363  ;0,14128  ;-3,58866e-07
4395  ;-1,62018  ;7,48587  ;0,137055  ;-3,58927e-07
6299  ;-4,04245  ;3,21328  ;0,354772  ;-3,59157e-07
6084  ;-5,90406  ;3,28553  ;0,363133  ;-3,59245e-07
6817  ;-4,09146  ;6,71481  ;0,362427  ;-3,59353e-07
4282  ;-3,30741  ;4,06273  ;0,365145  ;-3,59439e-07
1632  ;-2,02116  ;6,52857  ;0,23443  ;-3,59577e-07
6051  ;-6,72766  ;5,90751  ;0,365652  ;-3,59606e-07
791  ;-2,43552  ;7,99736  ;0,183722  ;-3,60009e-07
6263  ;-6,51676  ;3,03617  ;0,339248  ;-3,60164e-07
6069  ;-6,83816  ;5,33177  ;0,377044  ;-3,60213e-07
5755  ;-6,82777  ;4,7643  ;0,378429  ;-3,60240e-07
6889  ;-6,9101  ;6,55151  ;0,339457  ;-3,60353e-07
5741  ;-6,75291  ;4,11663  ;0,377894  ;-3,60430e-07
6145  ;-5,87435  ;6,75937  ;0,378701  ;-3,60583e-07
5745  ;-2,61544  ;4,8723  ;0,340709  ;-3,60883e-07
2980  ;-4,51598  ;8,48491  ;0,185593  ;-3,60919e-07
4042  ;-3,24753  ;3,47759  ;0,364798  ;-3,61010e-07
6144  ;-6,47386  ;6,9734  ;0,347541  ;-3,61062e-07
5813  ;-3,98268  ;2,55531  ;0,335108  ;-3,61392e-07
6267  ;-6,96581  ;3,473  ;0,350846  ;-3,61542e-07
4529  ;-8,39881  ;2,51274  ;0,154345  ;-3,61605e-07
1773  ;-3,20338  ;7,00408  ;0,343671  ;-3,61661e-07
2093  ;-7,57724  ;1,65234  ;0,159669  ;-3,61857e-07
6780  ;-4,72944  ;2,24319  ;0,319253  ;-3,61857e-07
6060  ;-2,53226  ;7,11117  ;0,293377  ;-3,61932e-07
3437  ;-8,366  ;7,56171  ;0,161006  ;-3,62204e-07
4177  ;-6,49076  ;8,40584  ;0,198629  ;-3,62250e-07
6008  ;-2,58821  ;3,81211  ;0,344426  ;-3,62301e-07
6428  ;-6,16219  ;2,57852  ;0,339503  ;-3,62305e-07
4073  ;-7,51666  ;8,40976  ;0,1591  ;-3,62328e-07
6300  ;-3,09454  ;2,96198  ;0,350315  ;-3,62543e-07
5376  ;-4,74103  ;7,74139  ;0,332101  ;-3,62744e-07
5544  ;-3,25442  ;5,92414  ;0,408398  ;-3,62762e-07
6429  ;-6,76751  ;2,30807  ;0,313952  ;-3,63608e-07
6495  ;-7,47752  ;2,88546  ;0,311194  ;-3,63650e-07
3439  ;-8,65083  ;6,63844  ;0,145563  ;-3,63651e-07
4692  ;-5,48734  ;1,4511  ;0,160115  ;-3,63735e-07
2500  ;-3,35742  ;8,64368  ;0,15158  ;-3,64154e-07
6050  ;-7,4463  ;7,17334  ;0,317322  ;-3,64165e-07
6818  ;-3,2726  ;6,49443  ;0,413308  ;-3,64376e-07
6182  ;-3,02421  ;2,51508  ;0,327121  ;-3,64438e-07
4545  ;-3,82746  ;2,09991  ;0,311914  ;-3,64631e-07
3564  ;-5,26644  ;2,11699  ;0,321753  ;-3,64796e-07
4045  ;-2,12006  ;4,12884  ;0,321311  ;-3,65231e-07
3953  ;-5,41057  ;7,93388  ;0,339659  ;-3,65522e-07
4977  ;-5,11917  ;8,82013  ;0,14128  ;-3,65558e-07
4677  ;-5,86917  ;8,82013  ;0,14128  ;-3,65852e-07
5814  ;-4,34764  ;4,45429  ;0,497654  ;-3,65920e-07
6410  ;-6,14611  ;7,42068  ;0,389854  ;-3,66036e-07
5554  ;-5,43843  ;4,37668  ;0,502381  ;-3,66077e-07
6630  ;-3,81255  ;7,41643  ;0,391282  ;-3,66093e-07
6891  ;-7,4096  ;6,18503  ;0,392223  ;-3,66115e-07
5543  ;-4,32663  ;5,5141  ;0,502306  ;-3,66238e-07
2259  ;-1,57555  ;6,52357  ;0,23443  ;-3,66302e-07
1956  ;-2,41978  ;8,41628  ;0,183722  ;-3,66352e-07
5576  ;-2,25161  ;3,19096  ;0,329943  ;-3,66352e-07
5730  ;-5,85604  ;1,97182  ;0,317218  ;-3,66381e-07
6382  ;-7,27977  ;2,30079  ;0,316517  ;-3,66464e-07
2798  ;-5,11234  ;1,2346  ;0,160115  ;-3,66495e-07
6954  ;-2,1334  ;5,13404  ;0,358778  ;-3,66524e-07
4827  ;-5,43778  ;5,66326  ;0,509175  ;-3,66612e-07
5368  ;-8,66428  ;4,40098  ;0,187178  ;-3,66649e-07
6753  ;-7,43306  ;3,8617  ;0,402303  ;-3,66686e-07
5922  ;-7,21907  ;7,74502  ;0,315416  ;-3,66702e-07
7227  ;-7,69609  ;4,78649  ;0,388245  ;-3,66747e-07
5367  ;-8,66976  ;3,40415  ;0,170554  ;-3,66789e-07
6893  ;-6,74764  ;7,69134  ;0,354945  ;-3,67150e-07
4671  ;-8,67997  ;5,40395  ;0,192281  ;-3,67551e-07
6631  ;-3,20777  ;7,69972  ;0,360256  ;-3,67570e-07
7125  ;-4,38612  ;4,11528  ;0,516614  ;-3,67622e-07
5750  ;-4,36332  ;5,84082  ;0,519064  ;-3,67707e-07
4192  ;-2,31364  ;1,478  ;0,166792  ;-3,67774e-07
6357  ;-5,77534  ;4,40126  ;0,524782  ;-3,67924e-07
6004  ;-3,67913  ;4,79083  ;0,512676  ;-3,68046e-07
5568  ;-4,98434  ;3,79581  ;0,519509  ;-3,68166e-07
6359  ;-5,7844  ;5,63055  ;0,53014  ;-3,68343e-07
1838  ;-3,6521  ;5,13227  ;0,517277  ;-3,68445e-07
6358  ;-6,16998  ;5,00403  ;0,52656  ;-3,68522e-07
6062  ;-2,87685  ;2,11501  ;0,321469  ;-3,68532e-07
5521  ;-4,97577  ;6,21258  ;0,5241  ;-3,68547e-07
5385  ;-4,98482  ;6,55146  ;0,509061  ;-3,68628e-07
6180  ;-2,20291  ;2,73603  ;0,334505  ;-3,68921e-07
3809  ;-1,42215  ;2,35898  ;0,165178  ;-3,69223e-07
1260  ;-1,27954  ;5,61696  ;0,193621  ;-3,69392e-07
4226  ;-3,58726  ;1,34239  ;0,202094  ;-3,69475e-07
6782  ;-5,02424  ;3,36407  ;0,519651  ;-3,69688e-07
6635  ;-2,703  ;7,76662  ;0,340045  ;-3,69836e-07
6071  ;-7,70641  ;5,30148  ;0,432766  ;-3,70166e-07
6093  ;-7,89106  ;3,18529  ;0,36265  ;-3,70412e-07
6633  ;-4,406  ;6,90706  ;0,508934  ;-3,70444e-07
6553  ;-7,8011  ;2,29734  ;0,314014  ;-3,70903e-07
2788  ;-1,28086  ;4,60832  ;0,209969  ;-3,71146e-07
6138  ;-7,86886  ;4,14371  ;0,402017  ;-3,71196e-07
5600  ;-3,90534  ;6,2966  ;0,544866  ;-3,71489e-07
2950  ;-4,13245  ;7,9713  ;0,389526  ;-3,71583e-07
1559  ;-7,04433  ;1,19261  ;0,159802  ;-3,71658e-07
6764  ;-2,10455  ;6,86164  ;0,371485  ;-3,71763e-07
6765  ;-2,56017  ;6,2062  ;0,460389  ;-3,71776e-07
5538  ;-5,53384  ;6,95315  ;0,525208  ;-3,71863e-07
5927  ;-6,29165  ;6,10686  ;0,553128  ;-3,72069e-07
5656  ;-7,74566  ;7,80233  ;0,320106  ;-3,72101e-07
5553  ;-5,59276  ;3,01437  ;0,524771  ;-3,72122e-07
6067  ;-6,5697  ;5,05075  ;0,56094  ;-3,72207e-07
3456  ;-2,19937  ;2,28637  ;0,328852  ;-3,72275e-07
5974  ;-2,20909  ;7,76516  ;0,320777  ;-3,72343e-07
5638  ;-7,90248  ;6,88808  ;0,370087  ;-3,72441e-07
5579  ;-3,13633  ;4,37679  ;0,541662  ;-3,72772e-07
5743  ;-4,83572  ;1,51288  ;0,317731  ;-3,73329e-07
6888  ;-6,58634  ;6,67711  ;0,530682  ;-3,73460e-07
5380  ;-5,14769  ;7,63873  ;0,486167  ;-3,73671e-07
5754  ;-6,23132  ;6,46596  ;0,561842  ;-3,73671e-07
5695  ;-2,1057  ;5,89341  ;0,429016  ;-3,73823e-07
5742  ;-6,66053  ;3,34923  ;0,533246  ;-3,73858e-07
5555  ;-4,71702  ;5,15727  ;0,631493  ;-3,73908e-07
3590  ;-5,06289  ;5,17412  ;0,633325  ;-3,73923e-07
6355  ;-4,71621  ;4,80626  ;0,631441  ;-3,73977e-07
4776  ;-5,06207  ;4,82311  ;0,633273  ;-3,73992e-07
5733  ;-5,79558  ;2,56691  ;0,50114  ;-3,74209e-07
6054  ;-2,7032  ;4,44052  ;0,528015  ;-3,74509e-07
5924  ;-6,96003  ;5,62502  ;0,560185  ;-3,74511e-07
3197  ;-2,97523  ;8,8492  ;0,15158  ;-3,74789e-07
5757  ;-7,89256  ;5,87799  ;0,447316  ;-3,74933e-07
2315  ;-8,85635  ;7,02063  ;0,145563  ;-3,74963e-07
5375  ;-4,4459  ;7,41577  ;0,51945  ;-3,74998e-07
1639  ;-3,99525  ;8,90849  ;0,173704  ;-3,75235e-07
6264  ;-6,54505  ;2,61983  ;0,496351  ;-3,75336e-07
1892  ;-8,88079  ;4,02598  ;0,187178  ;-3,75368e-07
5753  ;-6,98446  ;4,49081  ;0,572427  ;-3,75499e-07
4161  ;-2,4468  ;4,08122  ;0,508617  ;-3,75808e-07
2323  ;-3,73119  ;2,40245  ;0,489407  ;-3,76003e-07
4191  ;-3,0827  ;5,57818  ;0,584915  ;-3,76041e-07
6820  ;-3,5373  ;6,28134  ;0,595747  ;-3,76183e-07
3327  ;-8,88627  ;3,02915  ;0,170554  ;-3,76216e-07
5582  ;-8,89647  ;5,02895  ;0,192281  ;-3,76242e-07
4237  ;-3,57468  ;1,63819  ;0,356393  ;-3,76456e-07
2261  ;-2,98763  ;3,25456  ;0,537621  ;-3,76696e-07
6493  ;-5,62319  ;2,18903  ;0,478856  ;-3,76719e-07
3507  ;-3,29484  ;2,60419  ;0,504614  ;-3,76851e-07
6890  ;-8,36349  ;6,63552  ;0,354645  ;-3,77007e-07
3686  ;-4,88515  ;8,60408  ;0,326873  ;-3,77048e-07
6059  ;-2,45123  ;5,11768  ;0,535296  ;-3,77049e-07
6406  ;-6,10993  ;8,52501  ;0,339909  ;-3,77152e-07
2792  ;-3,36096  ;8,36193  ;0,355513  ;-3,77164e-07
3737  ;-3,96943  ;1,12419  ;0,202094  ;-3,77465e-07
6137  ;-8,36714  ;4,4031  ;0,38089  ;-3,77487e-07
4185  ;-1,91832  ;1,2639  ;0,166792  ;-3,77584e-07
4404  ;-2,57835  ;3,39334  ;0,517248  ;-3,77637e-07
3706  ;-6,76443  ;1,46861  ;0,316905  ;-3,77712e-07
6163  ;-1,58506  ;4,62252  ;0,37416  ;-3,77726e-07
6821  ;-3,07022  ;6,70935  ;0,56963  ;-3,78185e-07
7231  ;-7,32861  ;6,59553  ;0,548539  ;-3,79153e-07
7097  ;-2,33788  ;1,77051  ;0,333962  ;-3,79197e-07
6407  ;-6,51199  ;7,38371  ;0,54617  ;-3,79259e-07
5971  ;-3,41981  ;7,37583  ;0,547605  ;-3,79418e-07
6068  ;-7,40664  ;4,51139  ;0,582243  ;-3,79498e-07
3717  ;-8,50547  ;1,40435  ;0,166927  ;-3,79581e-07
4530  ;-8,10328  ;1,25096  ;0,166927  ;-3,79684e-07
3477  ;-4,60113  ;2,8792  ;0,622645  ;-3,79874e-07
6955  ;-2,66357  ;5,52194  ;0,597063  ;-3,79938e-07
3826  ;-1,06304  ;5,99196  ;0,193621  ;-3,79978e-07
4386  ;-8,36904  ;3,43193  ;0,378859  ;-3,80060e-07
492  ;-1,57071  ;5,60264  ;0,388207  ;-3,80130e-07
3808  ;-1,20027  ;1,99146  ;0,165178  ;-3,80135e-07
6266  ;-7,37012  ;3,45439  ;0,559151  ;-3,80140e-07
4199  ;-3,93711  ;3,78669  ;0,680284  ;-3,80281e-07
6472  ;-1,68041  ;2,37704  ;0,32686  ;-3,80301e-07
4505  ;-8,03761  ;8,78027  ;0,16918  ;-3,80329e-07
3023  ;-8,57582  ;7,27071  ;0,306569  ;-3,80352e-07
7012  ;-7,52389  ;2,5284  ;0,470863  ;-3,80451e-07
6752  ;-7,59388  ;3,1418  ;0,519498  ;-3,80580e-07
7515  ;-7,30571  ;1,48927  ;0,319471  ;-3,80674e-07
4829  ;-6,06968  ;3,95329  ;0,694211  ;-3,80736e-07
4870  ;-4,97787  ;1,9466  ;0,479368  ;-3,80869e-07
3475  ;-4,23771  ;2,96453  ;0,6385  ;-3,80887e-07
3730  ;-4,19281  ;1,40248  ;0,35971  ;-3,81056e-07
183  ;-7,02012  ;2,15939  ;0,473621  ;-3,81131e-07
6471  ;-2,79605  ;2,37683  ;0,494291  ;-3,81184e-07
7115  ;-7,47204  ;7,55311  ;0,476422  ;-3,81207e-07
6845  ;-5,77633  ;7,85526  ;0,538288  ;-3,81260e-07
1777  ;-1,06435  ;4,98332  ;0,209969  ;-3,81484e-07
6886  ;-7,58886  ;6,92897  ;0,526404  ;-3,81644e-07
4040  ;-2,39173  ;6,90616  ;0,527807  ;-3,81749e-07
6086  ;-6,04025  ;3,59321  ;0,692715  ;-3,81897e-07
